转债名称,转债代码,股票日期,股票名称,股票代码,所属行业,转债价格,涨跌_1,盘中套,股价,涨跌_2,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价格,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
长城转债,113528,2019-03-20,长城科技,603897,机械装备制造,100.82,0.22,-0.13,18.81,0.21,2.0,0.3,24.03,1.94,-21.7,78.28,28.8,0.0,5.40,3.40,18.9,14.8,6.3,3.04,2.43,2.92,1.01,0.76,85.08,86.88,13.86,100.74,0.1,100.74,18,17,0.41,-0.18,1.01,325,6.0,46
今飞转债,128056,2019-03-22,今飞凯达,002863,汽车,101.5,0.00,-1.17,5.52,-2.30,2.1,0.6,6.78,2.15,-18.6,81.42,24.7,0.0,5.40,3.40,17.7,14.4,3.7,3.49,2.77,3.35,0.91,0.64,81.28,83.14,19.50,102.64,-1.1,102.64,15,17,0.51,-0.28,1.30,275,7.5,65
 中转债,110051,2019-03-22, 中科技,600522,通信互联网,106.81,-0.28,-0.08,8.64,-0.80,4.7,0.1,10.19,1.35,-15.2,84.79,26.0,0.0,5.40,3.40,15.0,12.7,39.7,1.29,0.80,1.19,-0.81,-1.01,88.88,90.57,13.32,103.89,2.8,103.89,21,16,0.45,-0.34,1.24,375,4.5,44
长青转2,128055,2019-04-03,长青股份,002391, 石油然气化工,118.15,0.05,-0.77,8.37,-0.95,2.2,0.2,7.41,1.35,13.0,112.96,4.6,0.0,5.39,3.39,20.3,22.9,9.1,-0.43,-0.94,-0.53,-3.56,-3.76,87.61,89.29,34.64,123.93,-4.7,123.93,2,16,0.76,1.50,0.09,200,5.0,35
中来转债,123019,2019-03-22,中来股份,300393,能源电力,109.7,-0.36,-0.31,13.03,-1.14,3.9,0.4,13.29,1.85,-2.0,98.04,11.9,0.0,5.39,3.39,21.4,21.0,10.0,2.50,1.70,2.34,-1.29,-1.54,85.44,91.94,25.59,117.53,-6.7,117.53,10,18,0.60,1.39,-0.12,325,6.0,61
中宠转债,128054,2019-03-14,中宠股份,002891,农业,109.04,-0.87,0.97,21.13,0.14,1.4,0.7,22.28,4.50,-5.2,94.84,15.0,0.0,5.36,3.36,5.4,5.1,1.9,1.12,0.59,1.01,-1.36,-1.58,80.76,79.11,30.00,109.11,-0.1,109.11,18,16,0.71,-0.19,1.61,275,7.5,32
尚荣转债,128053,2019-03-07,尚荣医疗,002551,医药,106.5,-0.06,-0.32,4.66,-0.64,1.8,0.2,4.89,1.42,-4.7,95.30,11.8,0.0,5.36,3.36,22.8,21.7,7.5,1.52,1.00,1.42,-0.73,-0.94,87.57,89.25,21.21,110.46,-3.6,110.46,12,16,0.60,1.00,0.23,200,5.0,80
维格转债,113527,2019-02-19,锦泓集团,603518,服装纺织,95.85,0.09,-0.70,7.36,-2.52,2.9,0.4,10.52,0.77,-30.0,69.96,37.0,0.0,5.30,3.30,40.2,28.1,7.5,4.54,3.83,4.40,2.42,2.18,88.03,93.72,6.97,100.69,-4.8,100.69,9,18,0.24,1.01,-0.46,200,5.0,80
联泰转债,113526,2019-02-18,联泰环保,603797,城市公用设施,139.6,-1.65,0.51,12.19,-1.14,22,5.8,8.72,3.23,39.8,139.79,-0.1,0.0,5.30,3.30,7.4,10.3,2.7,-4.29,-4.65,-4.36,-8.32,-8.49,87.63,86.23,53.56,139.79,-0.1,139.79,55,18,1.00,1.03,0.97,200,5.0,24
冰轮转债,127009,2019-02-21,冰轮环境,000811,机械装备制造,127.5,-0.39,-0.46,6.97,-0.85,0.6,0.4,5.47,1.51,27.4,127.42,0.1,0.0,5.27,3.27,2.3,3.0,1.2,-1.93,-2.42,-2.02,-5.86,-6.05,87.93,89.62,37.80,127.42,0.1,127.42,2,17,1.00,0.99,1.01,200,5.0,22
凯龙转债,128052,2019-01-21,凯龙股份,002783, 石油然气化工,181.6,-1.78,-0.30,11.8,-2.07,35,22.8,6.77,2.66,74.3,174.30,4.2,0.0,5.21,3.21,1.9,3.3,0.8,-8.47,-8.93,-8.56,-14.9,-15.0,88.41,90.10,84.19,174.30,4.2,174.30,100,17,1.00,0.16,1.84,200,5.0,23
溢利转债,123018,2019-01-23,溢多利,300381,医药,116.751,1.52,-0.25,9.45,1.61,0.8,0.1,8.35,1.87,13.2,113.17,3.2,0.0,5.20,3.20,11.8,13.3,4.8,-0.24,-0.77,-0.35,-3.46,-3.67,85.48,85.69,38.71,124.40,-6.1,124.40,2,17,0.79,1.69,-0.03,325,6.0,37
佳都转债,110050,2019-01-21,佳都科技,600728,计算机及应用,128.24,-1.35,0.18,10.18,-1.36,26,3.0,7.89,3.95,29.0,129.02,-0.6,0.0,5.20,3.20,4.0,5.2,6.7,-2.23,-2.70,-2.32,-6.15,-6.34,88.24,89.16,48.04,137.20,-6.5,137.20,2,16,0.86,2.13,-0.28,200,5.0,19
海尔转债,110049,2019-01-18,海尔智家,600690,家电,118.15,-0.18,-0.15,15.3,-0.46,15,0.4,14.20,2.36,7.7,107.75,9.7,0.0,5.20,3.20,3.1,3.3,30.1,-1.39,-1.74,-1.46,-3.89,-4.08,90.81,90.06,28.31,118.37,-0.2,118.37,17,16,0.71,0.68,0.75,300,4.0,26
