序号,转债名称,转债代码,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌.1,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度,转债名称.1
134,新泉转债!,113509,新泉股份,603179,汽车,111.0,-0.18%,-1.06%,17.15,-2.33%,3.0,0.6%,18.89,2.57,-9.2%,90.79,22.3%,转股中,4.50年,2.50年,11.5%,10.5%,4.5,-0.04%,-0.48%,-0.13%,-2.68%,-2.91%,90.79,89.34,17.38,106.71,4.0%,52%,23%,17%,0.53,-0.52,1.6,AA,5.0%,18,新泉转债!
135,新凤转债!,113508,新凤鸣,603225,服装纺织,104.5,0.92%,-1.04%,11.67,-0.60%,8.5,0.4%,16.83,1.58,-30.7%,69.34,50.7%,转股中,4.40年,2.40年,15.5%,10.7%,21.5,1.79%,1.24%,1.68%,-0.45%,-0.70%,91.26,91.42,4.76,96.18,8.7%,50%,30%,16%,0.21,-1.55,2.05,AA,5.0%,25,新凤转债!
136,金农转债!!,128036,金新农,2548,农业,109.0,0.25%,-0.26%,8.74,-0.34%,4.4,2.7%,9.62,2.25,-9.1%,90.85,20.0%,转股中,4.27年,2.27年,3.9%,3.5%,1.5,0.41%,-0.06%,0.32%,-2.17%,-2.43%,89.88,86.98,13.18,100.16,8.8%,42%,>100%,17%,0.04,-1.56,1.69,AA-,6.0%,20,金农转债!!
137,利欧转债!!,128038,利欧股份,2131,传媒娱乐,130.344,3.27%,-0.07%,2.26,3.20%,44.0,18.9%,1.72,1.86,31.4%,131.4,-0.8%,转股中,4.30年,2.30年,1.2%,1.6%,1.8,-3.16%,-3.71%,-3.27%,-9.07%,-9.29%,91.69,92.66,38.74,131.4,-0.8%,81%,<2%,16%,1.0,1.17,0.84,AA,5.0%,31,利欧转债!!
138,岩土转债!,128037,中化岩土,2542,建筑,94.92,-0.14%,0.14%,3.64,-0.27%,1.2,0.2%,8.01,1.7,-54.6%,45.44,109%,转股中,4.28年,2.28年,9.1%,4.1%,6.0,4.20%,3.62%,4.08%,3.55%,3.27%,91.78,91.93,0.58,92.51,2.6%,44%,33%,16%,0.01,-0.5,0.51,AA,5.0%,53,岩土转债!
139,敖东转债!,127006,吉林敖东,623,金融,104.22200000000001,0.02%,0.03%,15.48,0.19%,13.0,0.5%,20.62,0.84,-24.9%,75.07,38.8%,转股中,4.28年,2.28年,13.4%,10.0%,24.1,0.94%,0.56%,0.86%,-0.86%,-1.02%,91.73,90.04,6.95,96.99,7.5%,31%,30%,16%,0.26,-1.23,1.8,AA+,4.5%,40,敖东转债!
140,长证转债!,127005,长江证券,783,金融,113.5,-0.35%,0.55%,6.27,0.48%,13.0,0.2%,7.43,1.29,-15.6%,84.39,34.5%,转股中,4.27年,无权,14.4%,12.2%,50.0,-0.81%,-1.23%,-0.89%,无权,无权,无权,93.09,11.15,104.23,8.9%,32%,32%,18%,0.41,-1.3,2.2,AAA,4.0%,28,长证转债!
141,星源转债!,123009,星源材质,300568,汽车,111.035,0.10%,0.08%,24.84,0.32%,2.3,0.4%,26.64,2.35,-6.8%,93.24,19.1%,转股中,4.26年,2.26年,8.4%,7.8%,4.8,-0.16%,-0.61%,-0.25%,-3.06%,-3.29%,91.65,89.97,17.99,107.96,2.8%,60%,23%,17%,0.55,-0.24,1.34,AA,5.0%,11,星源转债!
142,杭电转债!,113505,杭电股份,603618,能源电力,99.36,0.19%,-0.24%,5.17,-0.19%,0.8,0.1%,7.24,1.45,-28.6%,71.41,39.1%,转股中,4.26年,2.26年,21.0%,15.0%,7.5,3.09%,2.51%,2.97%,1.63%,1.36%,91.89,92.04,5.2,97.25,2.2%,40%,21%,16%,0.23,-0.37,0.82,AA,5.0%,46,杭电转债!
143,艾华转债!,113504,艾华集团,603989,电子,109.72,0.81%,3.87%,20.38,8.06%,4.4,0.6%,21.43,3.99,-4.9%,95.1,15.4%,转股中,4.25年,2.25年,8.7%,8.3%,6.9,0.24%,-0.24%,0.14%,-2.49%,-2.75%,91.94,90.47,18.41,108.88,0.8%,37%,23%,16%,0.58,0.2,0.96,AA,5.0%,17,艾华转债!
144,玲珑转债!,113019,玲珑轮胎,601966,汽车,125.3,0.72%,-1.79%,20.19,-1.61%,7.1,0.3%,18.55,2.35,8.8%,108.84,15.1%,转股中,3.24年,1.24年,8.3%,9.0%,20.0,-3.18%,-3.87%,-3.31%,-12.7%,-12.9%,95.66,98.16,20.43,118.59,5.7%,30%,24%,16%,0.66,-0.54,1.88,AA+,4.5%,13,玲珑转债!
145,大族转债!,128035,大族激光,2008,机械装备制造,108.3,-0.62%,0.56%,34.79,-0.57%,1.7,0.1%,52.3,4.54,-33.5%,66.52,62.8%,转股中,4.18年,2.18年,6.2%,4.1%,23.0,0.02%,-0.36%,-0.05%,-1.40%,-1.79%,94.58,90.43,5.59,96.02,12.8%,42%,42%,16%,0.1,-2.21,2.59,AA+,4.5%,29,大族转债!
