转债名称,转债代码,股票日期,股票名称,股票代码,所属行业,转债价格,涨跌_1,盘中套,股价,涨跌_2,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
合兴转债,128071,,合兴包装,002228,造纸包装印刷,105.71,-0.18,0.18,3.91,0.00,7.9,1.3,4.38,1.59,-10.7,89.27,18.4,85.0,5.71,3.71,13.0,11.6,6.0,1.53,1.04,1.43,-0.52,-0.70,85.89,87.55,20.07,107.62,-1.8,107.62,17,18,0.54,0.52,0.57,200,5.0,20
欧派转债,113543,,欧派家居,603833,其他,117.91,-0.04,-0.84,99,-1.39,3.3,0.2,101.46,4.74,-2.4,97.58,20.8,85.0,5.71,4.71,3.6,3.5,15.0,-0.40,-0.87,-0.49,-2.26,-2.47,83.57,87.74,24.07,111.81,5.5,111.81,23,16,0.63,-0.76,2.07,200,5.0,19
好客转债,113542,,好莱客,603898,其他,105.6,-0.30,0.55,14.43,0.49,1.1,0.2,16.62,1.85,-13.2,86.82,21.6,68.0,5.67,3.67,14.1,12.2,6.3,1.59,1.10,1.49,-0.45,-0.64,86.25,87.91,17.43,105.34,0.2,105.34,19,17,0.51,0.10,0.91,200,5.0,24
荣晟转债,113541,,荣晟环保,603165,造纸包装印刷,100.93,-0.21,0.28,16.18,0.12,1.4,0.4,18.72,2.15,-13.6,86.43,16.8,59.0,5.64,3.64,11.5,9.9,3.3,2.47,1.96,2.37,0.80,0.59,83.51,83.71,21.29,105.01,-3.9,105.01,14,18,0.55,0.73,0.39,325,6.0,37
南威转债,113540,,南威软件,603636,计算机及应用,114.89,-0.28,0.61,10.29,0.49,7.7,1.0,10.13,3.09,1.6,101.58,13.1,49.0,5.62,3.62,12.2,12.4,6.6,0.49,-0.08,0.37,-2.60,-2.80,83.69,85.64,31.45,117.09,-1.9,117.09,18,18,0.68,0.48,0.88,325,6.0,28
圣达转债,113539,,圣达生物,603079,医药,116.08,-0.60,0.12,35.1,-0.57,11,3.2,28.78,4.78,22.0,121.96,-4.8,39.0,5.59,3.59,7.6,9.3,3.0,0.85,0.19,0.72,-2.73,-2.96,80.16,81.99,51.80,133.79,-13.2,133.79,2,17,0.85,3.29,-1.22,275,7.5,42
智能转债,128070,,智能自控,002877,机械装备制造,98.8,-0.38,0.31,7.6,-0.13,0.9,0.4,9.55,3.69,-20.4,79.58,24.2,38.0,5.59,0,9.1,7.2,2.3,3.32,2.72,3.20,0,0,0,79.61,20.86,100.47,-1.7,100.47,17,18,0.53,-0.21,1.26,275,7.5,29
安图转债,113538,,安图生物,603658,医药,147.01,-3.49,-0.06,102.48,-3.78,94,9.2,64.11,20.20,59.9,159.85,-8.0,34.0,5.58,3.58,1.6,2.5,6.8,-4.36,-4.81,-4.45,-9.00,-9.15,86.45,88.12,77.57,165.69,-11.3,165.69,2,16,0.94,3.50,-1.23,200,5.0,24
华森转债,128069,,华森制药,002907,医药,104.15,2.03,3.08,15.65,9.98,27,8.5,18.08,6.59,-13.4,86.56,20.3,29.0,5.57,3.57,4.8,4.1,3.0,2.71,2.05,2.58,-0.04,-0.25,83.90,87.72,17.96,105.68,-1.4,105.68,19,16,0.51,0.15,0.88,325,6.0,30
清水转债,123028,,清水源,300437,城市公用设施,100.901,-0.16,0.02,10.05,-0.30,5.2,1.1,11.95,1.48,-15.9,84.10,20.0,24.0,5.55,3.55,22.3,18.8,4.9,3.64,2.91,3.49,1.18,0.89,85.09,89.35,18.01,107.36,-6.0,107.36,11,18,0.48,1.10,-0.09,325,6.0,36
环境转债,113028,,上海环境,601200,城市公用设施,117.87,-0.12,-0.01,10.86,-0.18,2.1,0.1,10.44,1.57,4.0,104.02,13.3,23.0,5.55,3.55,21.9,22.8,21.7,-1.09,-1.45,-1.17,-3.47,-3.64,88.01,87.33,28.12,115.45,2.1,115.45,20,16,0.70,0.10,1.30,300,4.5,18
华钰转债,113027,,华钰矿业,601020,有色金属,100.7,-0.26,-0.45,8.65,-1.48,2.2,0.3,10.17,2.13,-14.9,85.05,18.4,19.0,5.54,3.54,14.1,12.0,6.4,2.51,2.00,2.40,0.80,0.61,86.71,88.38,15.96,104.34,-3.5,104.34,13,17,0.48,0.84,0.15,200,5.0,48
蓝晓转债,123027,,蓝晓科技,300487, 石油然气化工,114.336,-0.71,0.61,33.92,-0.12,7.5,1.9,29.58,5.99,14.7,114.67,-0.3,16.0,5.53,3.53,4.9,5.6,3.4,0.90,0.27,0.77,-2.33,-2.57,80.60,81.28,46.21,127.49,-10.3,127.49,2,17,0.82,2.44,-0.60,275,7.5,24
文灿转债,113537,,文灿股份,603348,汽车,103.48,0.40,2.62,17.49,5.94,18,2.1,19.93,1.90,-12.2,87.76,17.9,13.0,5.53,3.53,20.8,18.2,8.0,3.10,2.39,2.96,0.38,0.12,84.85,89.12,19.37,108.49,-4.6,108.49,15,17,0.51,0.83,0.22,325,6.0,46
中环转债,123026,,中环环保,300692,城市公用设施,104.69,-0.10,0.37,11.8,0.43,14,4.6,12.31,2.34,-4.1,95.86,9.2,15.0,4.53,2.53,15.4,14.7,2.9,1.35,0.88,1.25,-0.51,-0.75,88.38,85.80,24.54,110.34,-5.1,110.34,12,18,0.62,1.31,-0.00,325,6.0,32
和而转债,128068,,和而泰,002402,电子,123.25,0.11,1.00,10.84,1.31,11,1.7,9.09,5.11,19.3,119.25,3.4,10.0,5.51,3.51,5.9,7.0,5.5,-1.54,-1.97,-1.63,-4.61,-4.79,83.98,82.73,45.58,128.31,-3.9,128.31,12,16,0.85,1.34,0.39,325,6.0,33
三星转债,113536,,三星新材,603578,家电,103.67,-0.05,-0.26,18.65,-0.53,1.3,0.7,19.75,2.90,-5.6,94.43,9.8,5.4,5.50,3.50,11.5,10.9,1.9,1.97,1.46,1.87,0.01,-0.19,86.88,88.55,22.73,111.28,-6.8,111.28,10,18,0.58,1.70,-0.43,200,5.0,46
大业转债,113535,,大业股份,603278,汽车,98.02,0.17,-0.08,8.51,0.47,0.4,0.1,12.56,1.55,-32.2,67.75,44.7,0.0,4.44,2.44,20.3,13.7,5.0,3.41,2.83,3.29,1.65,1.47,90.12,91.67,5.09,96.76,1.3,96.76,22,18,0.21,-0.25,0.66,200,5.0,35
一心转债,128067,,一心堂,002727,医药,110.2,0.09,-0.59,22.49,-1.10,1.9,0.3,27.28,2.93,-17.6,82.44,33.7,0.0,5.38,3.38,4.7,3.9,6.0,0.51,0.06,0.42,-1.71,-1.91,87.36,87.51,13.79,101.30,8.8,101.30,28,16,0.46,-1.52,2.56,200,5.0,21
亚泰转债,128066,,亚泰国际,002811,建筑,106.617,1.66,1.38,15.18,4.33,10,2.1,14.80,1.88,2.6,102.57,3.9,0.0,5.38,3.38,17.6,18.0,4.8,1.95,1.34,1.83,-0.62,-0.85,85.11,86.90,29.51,116.41,-8.4,116.41,7,16,0.70,2.02,-0.47,325,6.0,51
永鼎转债,110058,,永鼎股份,600105,通信互联网,100.45,-0.15,0.32,4.33,0.70,15,1.5,6.35,1.95,-31.8,68.19,47.3,0.0,5.38,3.38,18.2,12.4,9.8,2.65,2.12,2.54,0.94,0.73,87.49,89.18,6.74,95.92,4.7,95.92,26,17,0.25,-0.91,1.43,200,5.0,49
雅化转债,128065,,雅化集团,002497, 石油然气化工,96.761,-0.25,0.13,6.02,-0.50,2.4,0.3,8.96,2.10,-32.8,67.19,44.0,0.0,5.38,3.38,13.9,9.3,8.0,2.69,2.29,2.61,2.02,1.81,87.49,86.10,6.87,92.97,4.1,92.97,24,16,0.23,-0.75,1.23,200,5.0,49
创维转债,127013,,创维数字,000810,电子,108.71,-0.26,0.36,10.41,0.19,8.0,0.7,11.49,3.21,-9.4,90.60,20.0,0.0,5.37,3.37,9.4,8.6,10.4,1.62,1.01,1.50,-1.31,-1.51,87.51,91.50,16.95,108.45,0.2,108.45,18,16,0.51,0.13,0.90,200,5.0,43
核能转债,113026,,中国核电,601985,能源电力,105.4,0.19,-0.04,4.86,0.41,35,0.4,6.20,1.57,-21.6,78.39,34.5,0.0,5.37,3.37,10.3,8.1,78.0,0.81,0.46,0.74,-0.52,-0.71,90.19,89.45,8.89,98.34,7.2,98.34,23,15,0.36,-1.04,1.80,300,4.0,41
明泰转债,113025,,明泰铝业,601677,有色金属,108.1,-0.28,0.72,10.75,0.75,4.2,0.2,11.30,0.94,-4.9,95.13,13.6,0.0,5.36,3.36,27.8,26.4,18.4,1.27,0.74,1.16,-1.15,-1.35,87.59,89.41,21.11,110.52,-2.2,110.52,15,16,0.59,0.69,0.51,200,5.0,54
鼎胜转债,113534,,鼎胜新材,603876,有色金属,100.09,-0.90,0.32,13.16,-1.20,34,2.7,15.28,1.51,-13.9,86.13,16.2,0.0,5.36,3.36,22.2,19.1,12.5,2.73,2.20,2.62,1.05,0.84,87.58,89.26,15.23,104.49,-4.2,104.49,12,16,0.48,1.01,0.00,200,5.0,60
核建转债,113024,,中国核建,601611,建筑,103.4,-0.01,-0.06,6.98,-0.29,1.9,0.1,9.87,1.92,-29.3,70.72,46.2,0.0,5.35,3.35,16.4,11.6,30.0,1.17,0.81,1.10,0.00,-0.19,90.17,89.42,6.33,95.75,8.0,95.75,29,16,0.26,-1.28,1.85,300,4.0,37
司尔转债,128064,,司尔特,002538, 石油然气化工,96.986,0.02,0.19,4.52,0.67,0.6,0.1,6.15,0.89,-26.5,73.50,32.0,0.0,5.35,3.35,24.6,18.1,8.0,3.35,2.81,3.24,1.97,1.75,87.59,89.27,8.35,97.62,-0.7,97.62,17,16,0.31,0.16,0.47,200,5.0,58
未来转债,128063,,德尔未来,002631,其他,103.201,-0.07,-0.03,6.9,-0.29,1.1,0.2,8.67,2.66,-20.4,79.58,29.7,0.0,5.34,4.34,13.6,10.9,6.3,4.34,3.41,4.16,1.33,0.92,84.62,95.11,11.42,106.53,-3.1,106.53,12,16,0.35,0.47,0.24,325,6.0,53
参林转债,113533,,大参林,603233,医药,139.22,1.89,2.13,51.07,4.46,177,38.6,36.50,7.92,39.9,139.92,-0.5,0.0,5.34,3.34,1.3,1.7,3.3,-3.87,-4.28,-3.95,-8.13,-8.30,87.55,87.69,59.13,146.83,-5.2,146.83,2,16,0.90,1.90,-0.00,200,5.0,30
海环转债,113532,,海峡环保,603817,城市公用设施,103.32,-0.15,0.43,6.26,0.64,2.4,0.5,7.75,1.77,-19.2,80.77,27.9,0.0,5.34,3.34,16.3,13.2,4.6,1.78,1.31,1.69,0.13,-0.08,87.66,87.80,13.44,101.25,2.0,101.25,22,17,0.44,-0.32,1.19,200,5.0,37
亚药转债,128062,,亚太药业,002370,医药,89.342,0.42,-0.43,6.28,-1.41,12,1.3,16.25,1.35,-61.4,38.65,131,0.0,5.34,3.34,28.6,11.1,9.7,5.81,5.11,5.67,4.36,4.14,87.47,93.01,0.14,93.14,-4.1,93.14,2,16,0.01,0.85,-0.76,200,5.0,100
