转债名称,转债代码,股票日期,股票名称,股票代码,所属行业,转债价格,涨跌_1,盘中套,股价,涨跌_2,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
济川转债,110038,,济川药业,600566,医药,106.21,-0.23,0.23,22.52,-0.66,0.2,0.0,38.81,3.22,-42.0,58.03,83.0,0.0,2.95,0.95,3.4,2.0,6.3,0.67,0.14,0.56,-4.35,-4.53,95.68,93.90,0.61,94.50,12.4,94.50,49,15,0.00,-2.19,2.31,200,5.0,26
嘉澳转债,113502,,嘉澳环保,603822,城市公用设施,96.78,-0.28,0.27,21.88,-0.50,0.5,0.3,45.04,2.18,-51.4,48.58,99.2,0.0,3.95,1.95,11.5,5.6,1.9,3.91,3.31,3.79,2.92,2.65,90.97,89.62,2.23,91.85,5.4,91.85,41,17,0.01,-1.02,1.05,325,6.0,38
久立转2,128019,,久立特材,002318, 石油然气化工,120,-0.15,1.00,8.61,1.18,7.2,0.6,7.92,2.33,8.7,108.71,10.4,0.0,3.94,1.94,14.4,15.6,10.4,-2.26,-2.71,-2.35,-7.23,-7.44,92.59,90.90,27.70,118.60,1.2,118.60,22,17,0.72,0.29,1.14,200,5.0,21
时达转债,128018,,新时达,002527,机械装备制造,95.298,0.00,0.16,4.94,1.23,1.0,0.1,7.45,1.23,-33.7,66.31,43.7,0.0,3.94,1.94,28.7,19.0,8.8,3.86,3.34,3.75,3.70,3.42,92.84,91.36,3.92,95.28,0.0,95.28,19,16,0.13,0.06,0.20,200,5.0,46
小康转债,113016,,小康股份,601127,汽车,97.05,-0.02,0.18,12.61,0.72,1.0,0.1,17.12,2.40,-26.3,73.66,31.8,0.0,3.94,1.94,7.4,5.5,8.8,3.37,2.86,3.27,2.79,2.52,92.84,91.36,5.91,97.28,-0.2,97.28,17,16,0.22,0.18,0.27,200,5.0,40
金禾转债,128017,,金禾实业,002597, 石油然气化工,115.59,0.13,-0.01,19.07,0.32,0.2,0.0,22.96,2.64,-16.9,83.06,39.2,0.0,3.92,1.92,5.6,4.7,6.0,-1.32,-1.78,-1.41,-5.60,-5.82,92.68,90.98,10.76,101.74,13.6,101.74,37,17,0.38,-2.22,3.23,200,5.0,17
林洋转债,113014,,林洋能源,601222,能源电力,98.38,0.02,-0.02,4.39,0.46,1.2,0.0,8.59,0.80,-48.9,51.11,92.5,0.0,3.91,1.91,38.9,19.9,30.0,3.03,2.51,2.92,2.16,1.88,92.97,91.48,2.14,93.62,5.1,93.62,36,16,0.01,-0.97,0.98,200,5.0,26
雨虹转债,128016,,东方雨虹,002271,建筑,123.95,-0.04,-1.89,24,-2.79,46,2.0,22.43,4.07,7.0,107.00,15.8,0.0,3.82,1.82,5.2,5.5,18.4,-3.17,-3.63,-3.26,-9.15,-9.37,94.02,93.08,23.66,116.74,6.2,116.74,25,16,0.69,-0.61,2.02,375,4.5,17
国君转债,113013,,国泰君安,601211,金融,118.35,0.31,-0.11,16.71,0.48,16,0.2,19.40,1.25,-13.9,86.13,37.4,0.0,3.60,0,4.7,4.1,70.0,-2.23,-2.69,-2.32,0,0,0,95.18,9.41,104.59,13.2,104.59,36,17,0.40,-2.01,3.00,300,4.0,22
久其转债,128015,,久其软件,002279,计算机及应用,95.661,-0.04,0.08,5.64,1.08,3.1,0.4,9.48,4.19,-40.5,59.49,60.8,0.0,3.52,1.52,19.4,11.6,7.8,4.62,3.96,4.48,4.24,3.92,90.85,87.09,4.83,91.92,4.1,91.92,32,17,0.04,-0.77,0.84,275,7.5,76
模塑转债,127004,,模塑科技,000700,汽车,94.871,-0.46,0.45,3.84,-0.78,2.6,0.3,7.59,1.44,-49.4,50.59,87.5,0.0,3.51,1.51,25.8,13.1,8.2,5.58,4.78,5.42,4.96,4.61,94.81,96.67,0.32,96.99,-2.2,96.99,2,17,0.02,0.45,-0.38,200,5.0,92
永东转债,128014,,永东股份,002753, 石油然气化工,98.65,-0.26,0.18,7.68,-1.54,0.6,0.2,12.64,1.86,-39.2,60.76,62.4,0.0,3.38,1.38,11.7,7.1,3.4,4.00,3.29,3.86,2.73,2.36,94.02,92.63,2.77,95.39,3.4,95.39,30,17,0.05,-0.65,0.75,325,6.0,45
骆驼转债,113012,,骆驼股份,601311,汽车,101.57,0.37,-0.32,9.01,0.67,1.0,0.2,13.29,1.25,-32.2,67.80,49.8,0.0,3.31,1.31,6.6,4.4,5.1,2.14,1.62,2.04,0.66,0.31,95.47,92.87,3.89,96.76,5.0,96.76,30,16,0.07,-0.89,1.02,200,5.0,22
光大转债,113011,,光大银行,601818,金融,119.29,-0.26,-0.50,4.13,-1.20,309,0.9,3.97,0.70,4.0,104.03,14.7,0.0,3.29,0,13.8,14.4,300.0,-2.68,-3.18,-2.78,0,0,0,96.33,18.53,114.87,3.8,114.87,20,16,0.63,-0.15,1.43,300,4.0,29
洪涛转债,128013,,洪涛股份,002325,建筑,97.049,-0.34,0.34,3.08,0.33,12,1.0,8.00,1.20,-61.5,38.50,152,0.0,2.66,0.66,31.2,12.0,12.0,5.38,4.54,5.21,5.96,5.50,97.78,97.96,0.46,98.42,-1.4,98.42,2,16,0.00,0.28,-0.27,200,5.0,96
海印转债,127003,,海印股份,000861,商业零售,103.998,-0.21,-0.45,2.6,-2.26,0.7,0.1,3.01,1.65,-13.6,86.38,20.4,0.0,2.52,0.52,16.2,14.0,9.4,3.52,2.52,3.32,-3.07,-3.56,98.45,100.40,5.61,106.01,-1.9,106.01,13,16,0.30,0.57,0.05,200,5.0,90
辉丰转债,128012,,辉丰股份,002496, 石油然气化工,98.671,-0.02,0.02,2.84,0.00,1.6,0.2,7.71,1.44,-63.2,36.84,168,0.0,2.39,0.39,19.7,7.3,8.4,2.93,2.45,2.83,10.5,8.87,100.20,89.09,12.02,101.11,-2.4,101.11,2,17,0.00,0.49,-0.46,275,7.5,92
顺昌转债,128010,,澳洋顺昌,002245,交通运输,104.556,-0.01,0.01,3.62,0.00,2.3,0.4,9.26,1.75,-60.9,39.09,167,0.0,2,52,14.4,5.6,5.1,2.97,1.97,2.77,-8.12,-10.5,100.35,100.36,0.66,101.02,3.5,101.02,56,17,0.00,-0.68,0.67,200,5.0,36
广汽转债,113009,,广汽集团,601238,汽车,113.22,-0.16,0.18,11.81,0.08,17,0.6,14.41,1.53,-18.0,81.96,38.1,0.0,2,52,2.1,1.7,25.5,-1.79,-2.55,-1.94,-35.5,-36.5,100.53,100.37,2.54,102.91,10.0,102.91,36,15,0.19,-1.64,2.11,300,4.0,17
九州转债,110034,,九州通,600998,医药,106.32,0.09,-0.09,13.51,0.45,1.9,0.1,18.32,1.61,-26.3,73.74,44.2,0.0,2,45,5.9,4.4,15.0,1.81,0.89,1.63,-7.94,-11.7,102.49,100.67,1.70,102.37,3.9,102.37,27,15,0.00,-0.75,0.70,375,4.5,31
国贸转债,110033,,厦门国贸,600755,交通运输,111.8,-0.18,0.29,6.98,0.29,1.8,0.1,7.42,0.98,-5.9,94.07,18.8,0.0,2,35,9.4,8.8,12.1,-0.30,-1.27,-0.50,-37.5,-38.6,100.65,102.48,6.20,108.69,2.9,108.69,23,15,0.38,-0.19,0.94,300,4.0,22
航信转债,110031,, 航信息,600271,计算机及应用,113.28,0.88,-0.88,20.65,-0.19,4.1,0.2,41.94,3.46,-50.8,49.24,130,0.0,1.53,0,6.2,3.1,24.0,-2.80,-3.80,-3.00,0,0,100.23,102.23,0.00,102.23,10.8,102.23,80,17,0.00,-1.95,2.05,300,4.0,18
电气转债,113008,,上海电气,601727,能源电力,113,-0.11,0.11,4.68,0.00,3.8,0.1,5.13,1.15,-8.8,91.23,23.9,0.0,1.17,0,6.3,5.7,44.7,-3.74,-4.97,-3.99,0,0,103.00,103.86,2.53,106.39,6.2,106.39,33,16,0.23,-0.90,1.39,300,3.5,24
格力转债,110030,,格力地产,600185,地产,105.69,-0.03,0.01,4.75,-1.45,7.1,1.6,5.00,1.25,-5.0,95.00,11.3,0.0,24,0,4.3,4.1,4.2,4.48,-11.9,1.21,0,0,103.00,105.72,0.01,105.73,-0.0,105.73,33,16,0.01,0.03,-0.01,200,4.0,18
