序号,转债名称,转债代码,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌.1,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度,转债名称.1
1,川投转债,110061,川投能源,600674,能源电力,114.0,0.02%,0.18%,9.74,0.31%,67.0,1.5%,9.92,1.64,-1.8%,98.19,16.1%,5月11天,5.94年,3.94年,9.3%,9.2%,40.0,-0.46%,-0.79%,-0.52%,-2.34%,-2.50%,88.23,88.29,23.02,111.31,2.4%,17%,18%,16%,0.63,0.04,1.22,AAA,4.0%,14,川投转债
2,通光转债,123034,通光线缆,300265,通信互联网,100.91799999999999,-0.02%,0.02%,7.63,0.00%,6.7,2.2%,7.98,2.51,-4.4%,95.61,5.5%,5月4天,5.92年,3.92年,11.5%,11.0%,3.0,2.81%,2.24%,2.69%,0.75%,0.55%,77.67,77.92,33.12,111.05,-9.1%,50%,5%,17%,0.71,1.64,-0.12,A+,7.5%,17,通光转债
3,金力转债,123033,金力永磁,300748,电子,107.3,1.29%,3.54%,42.61,6.87%,91.0,19.5%,41.2,15.06,3.4%,103.42,3.7%,5月3天,5.91年,3.91年,2.5%,2.6%,4.4,2.24%,1.58%,2.11%,-0.44%,-0.70%,83.39,87.17,31.78,118.95,-9.8%,82%,<2%,16%,0.7,2.3,-0.7,AA-,6.0%,11,金力转债
4,石英转债,113548,石英股份,603688,电子,114.2,0.65%,-0.74%,16.26,-0.12%,7.4,1.8%,15.25,3.83,6.6%,106.62,7.1%,4月27天,5.90年,3.90年,6.6%,7.0%,3.6,1.55%,0.83%,1.41%,-2.13%,-2.35%,82.86,89.16,33.31,122.48,-6.8%,52%,8%,17%,0.7,1.55,-0.08,AA-,6.0%,13,石英转债
5,天路转债,110060,西藏天路,600326,建筑,107.41,0.22%,-0.31%,6.82,-0.15%,25.0,2.1%,7.24,1.73,-5.8%,94.2,14.0%,4月28天,5.90年,3.90年,18.4%,17.3%,10.9,1.23%,0.76%,1.14%,-0.85%,-1.02%,85.30,86.94,22.44,109.38,-1.8%,46%,14%,16%,0.6,0.58,0.64,AA,5.0%,9,天路转债
6,浦发转债,110059,浦发银行,600000,金融,104.34,-0.08%,-0.25%,11.75,-0.93%,386.0,0.7%,15.05,0.72,-21.9%,78.07,33.6%,5月0天,5.90年,无权,14.5%,11.3%,500.0,2.13%,1.58%,2.02%,无权,无权,无权,93.99,9.97,103.96,0.4%,22%,19%,17%,0.35,0.2,0.5,AAA,4.0%,39,浦发转债
7,北方转债,127014,北方国际,65,建筑,108.05,0.26%,-0.39%,8.0,-0.25%,4.7,0.8%,8.84,1.33,-9.5%,90.5,19.4%,4月26天,5.89年,3.89年,9.4%,8.5%,5.8,1.18%,0.70%,1.08%,-0.92%,-1.12%,87.27,89.69,18.81,108.5,-0.4%,49%,17%,17%,0.53,0.36,0.71,AA+,4.5%,16,北方转债
8,索发转债,113547,索通发展,603612,其他,106.62,0.14%,-0.08%,9.85,0.10%,18.0,1.7%,10.67,1.34,-7.7%,92.31,15.5%,4月26天,5.89年,3.89年,28.5%,26.3%,9.5,1.94%,1.36%,1.82%,-0.52%,-0.73%,85.90,89.92,20.81,110.73,-3.7%,63%,13%,17%,0.55,0.94,0.21,AA,5.0%,10,索发转债
9,迪贝转债!,113546,迪贝电气,603320,家电,99.24,0.21%,0.78%,16.25,1.63%,5.9,2.6%,18.45,2.54,-11.9%,88.08,12.7%,4月25天,5.88年,3.88年,14.2%,12.5%,2.3,3.52%,2.87%,3.39%,1.28%,1.06%,78.20,79.88,27.32,107.2,-7.4%,55%,10%,18%,0.61,1.07,0.19,A+,7.5%,16,迪贝转债!
10,英联转债,128079,英联股份,2846,造纸包装印刷,106.3,0.30%,0.52%,14.28,1.06%,8.8,3.9%,13.54,4.37,5.5%,105.47,0.8%,4月23天,5.88年,3.88年,7.7%,8.1%,2.1,1.81%,1.26%,1.70%,-0.53%,-0.72%,77.91,77.74,41.79,119.53,-11.1%,65%,<2%,18%,0.78,2.36,-0.61,A+,7.5%,23,英联转债
