序号,转债名称,转债代码,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌.1,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度,转债名称.1
11,太极转债,128078,太极股份,2368,计算机及应用,124.8,0.24%,-0.51%,35.33,-0.37%,17.0,1.4%,31.61,5.13,11.8%,111.77,11.7%,4月23天,5.88年,3.88年,6.9%,7.7%,10.0,-1.07%,-1.57%,-1.17%,-4.49%,-4.66%,85.38,88.52,34.6,123.13,1.4%,45%,19%,16%,0.75,0.19,1.3,AA,5.0%,14,太极转债
12,华夏转债,128077,华夏航空,2928,交通运输,110.2,0.08%,0.23%,10.51,0.48%,1.9,0.2%,10.52,2.59,-0.1%,99.9,10.3%,4月18天,5.86年,3.86年,12.5%,12.5%,7.9,1.61%,0.99%,1.49%,-1.41%,-1.60%,82.56,86.44,30.07,116.51,-5.4%,57%,12%,18%,0.65,1.17,0.18,AA-,6.0%,22,华夏转债
13,金轮转债,128076,金轮股份,2722,机械装备制造,104.2,0.32%,-0.37%,14.68,-0.07%,3.3,1.5%,14.96,1.37,-1.9%,98.13,6.2%,4月16天,5.86年,3.86年,8.3%,8.2%,2.1,1.77%,1.30%,1.68%,-0.10%,-0.28%,82.29,82.49,29.83,112.33,-7.2%,45%,8%,17%,0.69,1.66,-0.19,AA-,6.0%,18,金轮转债
14,金能转债,113545,金能科技,603113,煤炭,104.22,0.02%,-0.07%,10.14,-0.10%,152.0,9.7%,11.55,1.26,-12.2%,87.79,18.7%,4月14天,5.86年,3.86年,21.9%,19.2%,15.0,1.77%,1.29%,1.68%,-0.10%,-0.28%,85.46,87.1,18.71,105.81,-1.5%,47%,16%,17%,0.53,0.47,0.6,AA,5.0%,15,金能转债
15,万里转债!,123032,万里马,300591,服装纺织,100.089,0.00%,0.40%,5.53,0.91%,1.2,0.7%,6.92,3.42,-20.1%,79.91,25.2%,4月13天,5.85年,3.85年,10.4%,8.3%,1.8,5.13%,4.17%,4.94%,1.92%,1.54%,81.18,88.32,19.41,107.72,-7.1%,54%,9%,18%,0.44,0.86,0.06,A+,7.5%,31,万里转债!
16,游族转债!,128074,游族网络,2174,通信互联网,115.441,0.82%,0.58%,16.29,2.45%,13.0,1.0%,17.06,2.73,-4.5%,95.49,20.9%,3月22天,5.80年,3.80年,7.9%,7.6%,11.5,0.73%,0.12%,0.60%,-2.67%,-2.84%,85.70,91.11,21.93,113.04,2.1%,42%,21%,17%,0.57,-0.25,1.4,AA,5.0%,21,游族转债!
17,远东转债,128075,远东传动,2406,汽车,105.34,0.70%,0.97%,5.36,2.88%,4.6,0.5%,5.79,1.15,-7.4%,92.57,13.8%,3月22天,5.80年,3.80年,29.7%,27.5%,8.9,1.58%,1.10%,1.49%,-0.40%,-0.58%,85.60,87.25,21.8,109.05,-3.4%,30%,13%,17%,0.58,0.89,0.3,AA,5.0%,13,远东转债
18,桃李转债,113544,桃李面包,603866,食品饮料,116.75,0.13%,-0.07%,41.3,0.12%,6.9,0.6%,47.54,7.88,-13.1%,86.87,34.4%,3月21天,5.79年,3.79年,3.7%,3.2%,10.0,-0.22%,-0.69%,-0.31%,-2.95%,-3.13%,85.73,87.38,17.12,104.5,11.7%,39%,33%,16%,0.51,-1.97,3.22,AA,5.0%,19,桃李转债
19,晶瑞转债,123031,晶瑞股份,300655,石油天然气化工,134.7,1.13%,-0.15%,28.36,1.03%,96.0,39.2%,18.38,8.26,54.3%,154.3,-12.7%,3月0天,5.73年,3.73年,4.3%,6.6%,1.9,-2.59%,-3.06%,-2.68%,-6.54%,-6.70%,78.44,77.37,84.06,161.43,-16.6%,69%,<2%,18%,0.94,4.75,-2.13,A+,7.5%,25,晶瑞转债
20,哈尔转债,128073,哈尔斯,2615,其他,105.56,-0.62%,0.62%,5.26,0.00%,0.5,0.1%,5.8,2.45,-9.3%,90.69,16.4%,2月24天,4.71年,2.71年,13.9%,12.6%,3.0,1.99%,1.39%,1.87%,-1.04%,-1.20%,86.72,88.25,18.76,107.01,-1.4%,42%,16%,17%,0.54,0.3,0.79,AA-,6.0%,25,哈尔转债
21,九洲转债,123030,九洲电气,300040,能源电力,103.686,0.31%,-0.08%,5.32,0.38%,0.9,0.3%,5.7,0.94,-6.7%,93.33,11.1%,2月23天,5.71年,3.71年,16.9%,15.8%,3.1,2.72%,2.08%,2.59%,0.08%,-0.12%,83.20,86.99,24.75,111.73,-7.2%,40%,9%,18%,0.59,1.48,-0.2,AA-,6.0%,31,九洲转债
22,翔鹭转债!,128072,翔鹭钨业,2842,有色金属,105.0,0.50%,0.71%,11.51,2.95%,1.8,0.6%,15.36,3.78,-25.1%,74.93,40.1%,2月22天,5.71年,3.71年,9.6%,7.2%,3.0,1.72%,1.22%,1.62%,-0.29%,-0.48%,83.04,83.37,14.27,97.64,7.5%,68%,30%,18%,0.41,-1.59,2.53,AA-,6.0%,17,翔鹭转债!
23,英科转债,123029,英科医疗,300677,医药,113.449,0.09%,-0.05%,15.36,0.07%,1.2,0.2%,16.25,2.21,-5.5%,94.52,20.0%,2月20天,5.70年,3.70年,15.4%,14.6%,4.7,3.71%,2.62%,3.49%,-1.34%,-1.71%,86.39,100.57,20.36,120.94,-6.2%,70%,10%,17%,0.48,1.14,-0.11,AA-,6.0%,30,英科转债
24,合兴转债,128071,合兴包装,2228,造纸包装印刷,105.601,0.00%,-0.54%,3.89,-1.02%,4.4,0.7%,4.38,1.58,-11.2%,88.81,18.9%,2月20天,5.70年,3.70年,13.1%,11.6%,6.0,1.55%,1.07%,1.45%,-0.50%,-0.68%,85.94,87.6,19.71,107.31,-1.6%,35%,17%,18%,0.53,0.48,0.6,AA,5.0%,20,合兴转债
25,欧派转债,113543,欧派家居,603833,其他,119.62,0.12%,-0.20%,102.19,-0.12%,5.3,0.3%,101.46,4.9,0.7%,100.72,18.8%,2月20天,5.70年,4.70年,3.5%,3.5%,15.0,-0.66%,-1.13%,-0.75%,-2.56%,-2.77%,83.62,87.79,26.35,114.14,4.8%,40%,24%,16%,0.67,-0.6,1.96,AA,5.0%,19,欧派转债
26,好客转债,113542,好莱客,603898,其他,105.31,0.30%,0.09%,14.38,0.77%,1.7,0.3%,16.62,1.84,-13.5%,86.52,21.7%,2月3天,5.66年,3.66年,14.2%,12.2%,6.3,1.65%,1.15%,1.55%,-0.38%,-0.57%,86.31,87.97,17.21,105.18,0.1%,32%,18%,17%,0.5,0.12,0.88,AA,5.0%,22,好客转债
27,荣晟转债,113541,荣晟环保,603165,造纸包装印刷,100.94,-0.34%,0.06%,16.38,-0.49%,1.0,0.3%,18.72,2.17,-12.5%,87.5,15.4%,54天,5.63年,3.63年,11.4%,9.9%,3.3,2.47%,1.96%,2.37%,0.80%,0.59%,83.58,83.78,22.03,105.81,-4.6%,56%,13%,18%,0.56,0.89,0.27,AA-,6.0%,36,荣晟转债
28,南威转债,113540,南威软件,603636,计算机及应用,115.36,0.19%,-0.33%,10.57,-0.19%,2.8,0.4%,10.13,3.17,4.3%,104.34,10.6%,44天,5.61年,3.61年,11.9%,12.4%,6.6,0.41%,-0.15%,0.30%,-2.72%,-2.92%,83.75,85.71,33.57,119.28,-3.3%,87%,15%,18%,0.71,0.81,0.63,AA-,6.0%,27,南威转债
29,圣达转债,113539,圣达生物,603079,医药,121.73,5.28%,3.00%,37.92,9.34%,95.0,26.8%,28.78,5.16,31.8%,131.76,-7.6%,34天,5.58年,3.58年,7.0%,9.3%,3.0,-0.02%,-0.68%,-0.15%,-3.98%,-4.21%,80.24,82.07,60.11,142.18,-14.4%,65%,<2%,17%,0.89,3.81,-1.55,A+,7.5%,39,圣达转债
30,智能转债!,128070,智能自控,2877,机械装备制造,98.95,0.14%,0.21%,7.74,0.65%,0.5,0.2%,9.55,3.76,-19.0%,81.05,22.1%,33天,5.57年,无权,8.9%,7.2%,2.3,3.30%,2.70%,3.18%,无权,无权,无权,79.69,21.88,101.57,-2.6%,73%,16%,18%,0.55,-0.02,1.12,A+,7.5%,28,智能转债!
31,安图转债,113538,安图生物,603658,医药,146.07,1.72%,0.65%,100.79,2.53%,52.0,5.2%,64.11,19.87,57.2%,157.21,-7.1%,29天,5.56年,3.56年,1.6%,2.5%,6.8,-4.26%,-4.71%,-4.35%,-8.87%,-9.03%,86.51,88.18,74.99,163.16,-10.5%,43%,<2%,16%,0.93,3.28,-1.07,AA,5.0%,24,安图转债
32,华森转债!,128069,华森制药,2907,医药,104.8,-1.78%,1.97%,18.99,0.26%,116.0,37.0%,18.08,8.0,5.0%,105.03,-0.2%,24天,5.55年,3.55年,3.9%,4.1%,3.0,2.60%,1.94%,2.47%,-0.21%,-0.42%,83.96,87.78,30.9,118.68,-11.7%,65%,<2%,16%,0.71,2.83,-1.11,AA-,6.0%,31,华森转债!
33,清水转债,123028,清水源,300437,城市公用设施,100.81299999999999,-0.32%,0.32%,10.17,0.00%,1.3,0.3%,11.95,1.5,-14.9%,85.1,18.5%,19天,5.54年,3.54年,22.1%,18.8%,4.9,3.66%,2.93%,3.52%,1.20%,0.92%,85.15,89.42,18.56,107.97,-6.6%,37%,10%,18%,0.48,1.25,-0.21,AA-,6.0%,35,清水转债
34,环境转债,113028,上海环境,601200,城市公用设施,117.8,0.00%,-0.51%,10.88,-0.73%,2.6,0.1%,10.44,1.58,4.2%,104.21,13.0%,18天,5.54年,3.54年,21.8%,22.8%,21.7,-1.09%,-1.44%,-1.16%,-3.46%,-3.63%,88.06,87.38,28.21,115.59,1.9%,42%,20%,16%,0.7,0.14,1.26,AAA,4.5%,18,环境转债
35,华钰转债,113027,华钰矿业,601020,有色金属,100.68,0.38%,1.15%,8.89,3.01%,4.8,0.8%,10.17,2.18,-12.6%,87.41,15.2%,14天,5.52年,3.52年,13.7%,12.0%,6.4,2.52%,2.00%,2.41%,0.81%,0.61%,86.76,88.44,17.3,105.74,-4.8%,45%,12%,17%,0.51,1.18,-0.1,AA,5.0%,47,华钰转债
36,蓝晓转债,123027,蓝晓科技,300487,石油天然气化工,114.90100000000001,0.49%,-0.52%,34.0,-0.03%,2.7,0.7%,29.58,6.0,14.9%,114.94,-0.0%,11天,5.52年,3.52年,4.8%,5.6%,3.4,0.81%,0.18%,0.68%,-2.47%,-2.71%,80.68,81.35,46.37,127.73,-10.0%,78%,<2%,17%,0.82,2.38,-0.54,A+,7.5%,24,蓝晓转债
37,文灿转债!,113537,文灿股份,603348,汽车,105.8,0.00%,0.00%,19.18,0.00%,0.0,0.0%,19.93,2.09,-3.8%,96.24,9.9%,8天,5.51年,3.51年,19.0%,18.2%,8.0,2.68%,1.98%,2.54%,-0.23%,-0.49%,84.92,89.19,25.17,114.36,-7.5%,56%,8%,17%,0.61,1.59,-0.27,AA-,6.0%,43,文灿转债!
38,中环转债,123026,中环环保,300692,城市公用设施,104.96600000000001,0.40%,-0.51%,11.95,-0.17%,1.2,0.4%,12.31,2.37,-2.9%,97.08,8.1%,10天,4.51年,2.51年,15.2%,14.7%,2.9,1.29%,0.83%,1.20%,-0.61%,-0.85%,88.45,85.86,25.43,111.29,-5.7%,68%,10%,18%,0.64,1.44,-0.09,AA-,6.0%,31,中环转债
39,和而转债,128068,和而泰,2402,电子,123.814,-0.13%,-0.56%,11.1,-0.80%,8.2,1.2%,9.09,5.23,22.1%,122.11,1.4%,5.6天,5.50年,3.50年,5.8%,7.0%,5.5,-1.63%,-2.06%,-1.72%,-4.74%,-4.93%,84.04,82.8,48.02,130.81,-5.3%,41%,<2%,16%,0.86,1.7,0.1,AA-,6.0%,32,和而转债
40,三星转债,113536,三星新材,603578,家电,104.46,0.80%,-0.74%,18.92,0.11%,1.0,0.5%,19.75,2.94,-4.2%,95.8,9.0%,0.6天,5.49年,3.49年,11.3%,10.9%,1.9,1.83%,1.32%,1.73%,-0.20%,-0.40%,86.93,88.61,23.59,112.2,-6.9%,49%,10%,18%,0.59,1.75,-0.44,AA,5.0%,46,三星转债
41,大业转债!,113535,大业股份,603278,汽车,98.22,0.10%,0.21%,8.71,1.40%,0.8,0.2%,12.56,1.59,-30.7%,69.35,41.6%,转股中,4.43年,2.43年,19.8%,13.7%,5.0,3.37%,2.79%,3.25%,1.57%,1.40%,90.18,91.73,5.6,97.33,0.9%,48%,21%,18%,0.22,-0.15,0.59,AA,5.0%,35,大业转债!
42,一心转债,128067,一心堂,2727,医药,112.05,1.49%,-0.89%,22.09,1.38%,6.5,1.0%,27.28,2.87,-19.0%,80.98,38.4%,转股中,5.37年,3.37年,4.8%,3.9%,6.0,0.19%,-0.25%,0.10%,-2.19%,-2.38%,87.42,87.56,12.87,100.43,11.6%,37%,33%,16%,0.44,-1.98,3.06,AA,5.0%,20,一心转债
43,亚泰转债!,128066,亚泰国际,2811,建筑,107.27,0.63%,1.73%,15.53,3.26%,19.0,3.8%,14.8,1.93,4.9%,104.93,2.2%,转股中,5.37年,3.37年,17.2%,18.0%,4.8,1.83%,1.23%,1.71%,-0.79%,-1.03%,85.17,86.97,31.31,118.28,-9.3%,42%,<2%,16%,0.72,2.26,-0.63,AA-,6.0%,50,亚泰转债!
44,永鼎转债!,110058,永鼎股份,600105,通信互联网,100.6,-0.10%,-0.69%,4.23,-3.42%,10.0,1.0%,6.35,1.9,-33.4%,66.61,51.0%,转股中,5.36年,3.36年,18.6%,12.4%,9.8,2.63%,2.10%,2.52%,0.90%,0.69%,87.55,89.23,6.11,95.35,5.5%,44%,27%,17%,0.23,-1.07,1.56,AA,5.0%,47,永鼎转债!
45,雅化转债!,128065,雅化集团,2497,石油天然气化工,96.76,0.00%,0.08%,6.04,0.33%,3.0,0.4%,8.96,2.11,-32.6%,67.41,43.5%,转股中,5.36年,3.36年,13.8%,9.3%,8.0,2.70%,2.29%,2.62%,2.03%,1.81%,87.55,86.16,6.92,93.07,4.0%,50%,24%,16%,0.24,-0.73,1.21,AA,5.0%,47,雅化转债!
46,创维转债!,127013,创维数字,810,电子,109.3,0.51%,1.01%,10.72,2.78%,3.1,0.3%,11.49,3.31,-6.7%,93.3,17.2%,转股中,5.36年,3.36年,9.2%,8.6%,10.4,1.52%,0.91%,1.39%,-1.47%,-1.67%,87.56,91.56,18.66,110.22,-0.8%,47%,16%,16%,0.55,0.37,0.72,AA,5.0%,42,创维转债!
47,核能转债!,113026,中国核电,601985,能源电力,105.14,0.13%,0.32%,4.88,1.24%,54.0,0.7%,6.2,1.58,-21.3%,78.71,33.6%,转股中,5.36年,3.36年,10.3%,8.1%,78.0,0.86%,0.51%,0.79%,-0.45%,-0.64%,90.24,89.5,9.03,98.52,6.7%,18%,23%,15%,0.36,-0.96,1.72,AAA,4.0%,42,核能转债!
48,明泰转债!,113025,明泰铝业,601677,有色金属,108.92,-0.07%,0.18%,10.58,0.19%,3.5,0.2%,11.3,0.93,-6.4%,93.63,16.3%,转股中,5.35年,3.35年,28.2%,26.4%,18.4,1.13%,0.60%,1.02%,-1.37%,-1.57%,87.65,89.47,20.05,109.52,-0.5%,29%,16%,16%,0.58,0.33,0.83,AA,5.0%,53,明泰转债!
49,鼎胜转债!,113534,鼎胜新材,603876,有色金属,98.78,-0.52%,0.25%,12.45,-0.64%,9.2,0.7%,15.28,1.42,-18.5%,81.48,21.2%,转股中,5.34年,3.34年,23.4%,19.1%,12.5,3.00%,2.46%,2.89%,1.44%,1.22%,87.63,89.32,12.42,101.74,-2.9%,52%,13%,16%,0.42,0.7,0.17,AA,5.0%,60,鼎胜转债!
50,核建转债!,113024,中国核建,601611,建筑,102.89,0.12%,-0.29%,6.88,-0.72%,4.5,0.1%,9.87,1.89,-30.3%,69.71,47.6%,转股中,5.34年,3.34年,16.6%,11.6%,30.0,1.26%,0.91%,1.19%,0.14%,-0.05%,90.21,89.47,5.92,95.39,7.9%,33%,29%,16%,0.24,-1.27,1.8,AAA,4.0%,37,核建转债!
51,司尔转债!,128064,司尔特,2538,石油天然气化工,97.13,-0.15%,0.30%,4.58,0.44%,1.6,0.2%,6.15,0.9,-25.5%,74.47,30.4%,转股中,5.34年,3.34年,24.3%,18.1%,8.0,3.33%,2.79%,3.22%,1.93%,1.71%,87.64,89.33,8.81,98.14,-1.0%,34%,16%,16%,0.33,0.23,0.43,AA,5.0%,57,司尔转债!
52,未来转债,128063,德尔未来,2631,其他,102.6,0.00%,0.26%,7.02,0.72%,5.0,0.8%,8.67,2.71,-19.0%,80.97,26.7%,转股中,5.33年,4.33年,13.4%,10.9%,6.3,4.47%,3.54%,4.29%,1.46%,1.06%,84.69,95.19,12.18,107.37,-4.4%,48%,11%,16%,0.37,0.74,0.02,AA-,6.0%,51,未来转债
53,参林转债,113533,大参林,603233,医药,143.61,4.41%,-0.56%,52.12,4.24%,44.0,10.7%,36.5,8.08,42.8%,142.79,0.6%,转股中,5.33年,3.33年,1.1%,1.5%,2.9,-4.44%,-4.86%,-4.53%,-8.98%,-9.15%,87.60,87.75,61.73,149.48,-3.9%,49%,<2%,16%,0.91,1.64,0.24,AA,5.0%,29,参林转债
54,海环转债!,113532,海峡环保,603817,城市公用设施,103.0,0.01%,-0.01%,6.24,0.00%,1.3,0.3%,7.75,1.76,-19.5%,80.52,27.9%,转股中,5.32年,3.32年,16.4%,13.2%,4.6,1.84%,1.38%,1.75%,0.22%,0.01%,87.71,87.86,13.25,101.11,1.9%,48%,21%,17%,0.43,-0.28,1.15,AA,5.0%,36,海环转债!
55,亚药转债!,128062,亚太药业,2370,医药,90.12299999999999,1.20%,-1.06%,6.95,9.97%,23.0,2.6%,16.25,1.5,-57.2%,42.77,111%,转股中,5.32年,3.32年,25.9%,11.1%,9.7,5.65%,4.94%,5.51%,4.11%,3.90%,87.52,93.06,0.29,93.36,-3.5%,61%,<2%,16%,0.01,0.71,-0.63,AA,5.0%,100,亚药转债!
56,现代转债,110057,现代制药,600420,医药,107.52,0.02%,-0.07%,8.45,-0.12%,0.7,0.0%,9.99,1.23,-15.4%,84.58,27.1%,转股中,5.32年,3.32年,18.6%,15.8%,16.2,0.61%,0.23%,0.53%,-1.10%,-1.29%,90.37,90.44,12.38,102.82,4.6%,48%,23%,16%,0.45,-0.52,1.42,AAA,4.0%,35,现代转债
57,百姓转债,113531,老百姓,603883,医药,122.44,1.17%,-1.15%,66.71,0.01%,4.9,1.2%,60.09,5.78,11.0%,111.02,10.3%,转股中,4.31年,2.31年,1.7%,1.9%,3.3,-1.94%,-2.45%,-2.04%,-7.24%,-7.36%,90.14,91.42,28.33,119.75,2.2%,36%,21%,16%,0.73,0.07,1.39,AA,5.0%,21,百姓转债
58,精测转债!,123025,精测电子,300567,电子,111.98,2.73%,2.86%,45.18,10.0%,11.0,2.8%,50.25,8.36,-10.1%,89.91,24.5%,转股中,5.31年,3.31年,3.4%,3.0%,3.8,0.98%,0.38%,0.86%,-2.09%,-2.31%,85.26,87.06,20.82,107.88,3.8%,73%,23%,17%,0.56,-0.75,1.91,AA-,6.0%,25,精测转债!
59,启明转债,128061,启明星辰,2439,通信互联网,124.505,-0.68%,-0.11%,30.65,-1.13%,1.7,0.1%,28.29,7.73,8.3%,108.34,14.9%,转股中,5.31年,3.31年,3.8%,4.1%,10.5,-0.98%,-1.57%,-1.09%,-5.15%,-5.34%,87.78,91.79,29.19,120.98,2.9%,40%,21%,16%,0.7,-0.19,1.59,AA,5.0%,28,启明转债
60,大丰转债!,113530,大丰实业,603081,建筑,108.86,-0.29%,-0.65%,17.11,-1.55%,3.9,0.6%,16.76,3.72,2.1%,102.09,6.6%,转股中,5.31年,3.31年,9.2%,9.4%,6.3,2.21%,1.49%,2.07%,-1.34%,-1.56%,87.88,94.67,23.25,117.92,-7.7%,52%,6%,16%,0.61,1.97,-0.59,AA,5.0%,52,大丰转债!
61,中装转债!!,128060,中装建设,2822,建筑,139.28,0.12%,0.12%,8.64,0.23%,18.0,14.6%,6.19,2.2,39.6%,139.58,-0.2%,转股中,5.31年,3.31年,1.5%,2.1%,0.9,-3.89%,-4.31%,-3.97%,-8.20%,-8.38%,87.80,87.94,51.64,139.58,-0.2%,64%,<2%,17%,1.0,1.05,0.96,AA,5.0%,49,中装转债!!
62,招路转债,127012,招商公路,1965,机场高速港口,107.99799999999999,-0.46%,0.99%,8.24,0.98%,157.0,2.9%,9.09,1.07,-9.4%,90.65,19.1%,转股中,5.29年,3.29年,9.8%,8.9%,50.0,0.05%,-0.24%,-0.01%,-1.63%,-1.74%,89.16,88.2,15.65,103.85,4.0%,33%,22%,15%,0.54,-0.35,1.43,AAA,4.0%,55,招路转债
63,岱勒转债!,123024,岱勒新材,300700,机械装备制造,98.24600000000001,-0.18%,0.32%,18.63,0.38%,0.5,0.3%,24.9,2.96,-25.2%,74.82,31.3%,转股中,4.29年,2.29年,13.7%,10.2%,2.1,3.45%,2.86%,3.33%,1.61%,1.43%,85.61,83.51,12.23,95.74,2.6%,64%,24%,18%,0.35,-0.71,1.43,A+,7.5%,33,岱勒转债!
64,迪森转债!,123023,迪森股份,300335,能源电力,98.1,-0.01%,-0.06%,5.53,-0.18%,11.0,1.9%,7.19,1.46,-23.1%,76.91,27.5%,转股中,5.29年,4.29年,29.9%,23.0%,6.0,3.17%,2.62%,3.06%,1.70%,1.45%,85.31,89.56,11.24,100.8,-2.7%,39%,15%,18%,0.37,0.62,0.14,AA,5.0%,46,迪森转债!
65,亨通转债!,110056,亨通光电,600487,通信互联网,110.02,-0.88%,0.32%,15.06,-0.99%,14.0,0.7%,15.68,2.19,-4.0%,96.05,14.5%,转股中,5.29年,3.29年,6.0%,5.8%,17.3,0.87%,0.36%,0.77%,-1.74%,-1.94%,89.13,91.61,19.62,111.23,-1.1%,45%,16%,16%,0.57,0.58,0.58,AA+,4.5%,56,亨通转债!
66,通威转债,110054,通威股份,600438,农业,124.65,-0.72%,0.14%,13.58,-0.80%,13.0,0.2%,12.28,3.22,10.6%,110.59,12.7%,转股中,5.28年,3.28年,9.5%,10.5%,50.0,-1.45%,-1.96%,-1.55%,-5.15%,-5.36%,89.62,92.11,30.15,122.26,2.0%,48%,20%,16%,0.72,0.16,1.27,AA+,4.5%,17,通威转债
67,长信转债!,123022,长信科技,300088,通信互联网,129.31,1.02%,-0.71%,8.09,0.37%,28.0,2.0%,6.25,3.5,29.4%,129.44,-0.1%,转股中,5.28年,3.28年,6.0%,7.7%,11.2,-2.19%,-2.68%,-2.29%,-6.23%,-6.42%,87.89,89.58,48.16,137.74,-6.1%,64%,<2%,16%,0.85,2.02,-0.19,AA,5.0%,21,长信转债!
68,伊力转债,110055,伊力特,600197,食品饮料,109.52,0.28%,0.21%,15.07,1.01%,0.9,0.1%,17.25,2.61,-12.6%,87.36,25.4%,转股中,5.28年,3.28年,13.2%,11.5%,8.8,1.03%,0.50%,0.93%,-1.51%,-1.73%,88.12,89.81,15.68,105.49,3.8%,42%,22%,16%,0.49,-0.59,1.59,AA,5.0%,26,伊力转债
69,苏银转债,110053,江苏银行,600919,金融,110.3,0.04%,-0.11%,6.99,-0.14%,52.0,0.2%,7.56,0.75,-7.5%,92.46,19.3%,转股中,5.27年,无权,24.8%,22.9%,200.0,1.54%,0.89%,1.41%,无权,无权,无权,97.57,16.83,114.39,-3.6%,19%,14%,18%,0.49,1.13,-0.1,AAA,4.0%,63,苏银转债
