转债名称,转债代码,股票日期,股票名称,股票代码,所属行业,转债价格,涨跌_1,盘中套,股价,涨跌_2,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
华夏转债,128077,,华夏航空,002928,交通运输,111.11,-0.17,-0.44,10.33,-0.96,2.4,0.3,10.52,2.55,-1.8,98.19,13.2,145.0,5.88,3.88,12.7,12.5,7.9,1.45,0.83,1.32,-1.63,-1.82,82.48,86.35,28.92,115.27,-3.6,115.27,13,18,0.63,0.73,0.55,325,6.0,22
金轮转债,128076,,金轮股份,002722,机械装备制造,103.849,-0.35,0.39,14.53,0.07,5.9,2.7,14.96,1.35,-2.9,97.13,6.9,143.0,5.88,3.88,8.4,8.2,2.1,1.84,1.36,1.75,0.01,-0.18,82.20,82.40,29.13,111.53,-6.9,111.53,9,17,0.68,1.56,-0.12,325,6.0,19
金能转债,113545,,金能科技,603113,煤炭,104.3,-0.43,0.22,10.11,-0.39,7.2,0.5,11.55,1.25,-12.5,87.53,19.2,141.0,5.88,3.88,21.9,19.2,15.0,1.73,1.26,1.64,-0.15,-0.33,85.38,87.02,18.66,105.68,-1.3,105.68,17,17,0.53,0.42,0.64,200,5.0,16
万里转债,123032,,万里马,300591,服装纺织,100.4,-0.74,-3.82,5.66,-9.73,18,9.9,6.92,3.50,-18.2,81.79,22.8,140.0,5.87,3.87,10.2,8.3,1.8,5.10,4.14,4.90,1.89,1.50,81.07,88.20,20.92,109.12,-8.0,109.12,3,18,0.47,1.09,-0.10,275,7.5,33
游族转债,128074,,游族网络,002174,通信互联网,114.622,-0.24,-0.75,15.65,-1.88,8.6,0.7,17.06,2.62,-8.3,91.74,24.9,119.0,5.82,3.82,8.3,7.6,11.5,0.84,0.24,0.72,-2.49,-2.66,85.62,91.03,19.34,110.37,3.9,110.37,22,17,0.53,-0.59,1.66,200,5.0,22
远东转债,128075,,远东传动,002406,汽车,104.511,-0.10,-0.01,5.14,-0.19,1.9,0.2,5.79,1.11,-11.2,88.77,17.7,119.0,5.82,3.82,31.0,27.5,8.9,1.72,1.24,1.63,-0.19,-0.37,85.52,87.17,19.38,106.55,-1.9,106.55,16,17,0.54,0.56,0.54,200,5.0,14
桃李转债,113544,,桃李面包,603866,食品饮料,118.43,0.49,-1.04,43.36,-0.96,10,0.9,47.54,8.27,-8.8,91.21,29.8,118.0,5.81,3.81,3.5,3.2,10.0,-0.47,-0.93,-0.56,-3.29,-3.46,85.65,87.30,20.18,107.48,10.2,107.48,29,16,0.57,-1.68,2.99,200,5.0,19
晶瑞转债,123031,,晶瑞股份,300655, 石油然气化工,134.301,3.07,1.27,27.81,4.63,224,91.6,18.38,8.10,51.3,151.31,-11.2,97.0,5.75,3.75,4.4,6.6,1.9,-2.52,-3.00,-2.62,-6.44,-6.60,78.33,77.27,81.25,158.51,-15.3,158.51,2,18,0.94,4.34,-1.85,275,7.5,26
哈尔转债,128073,,哈尔斯,002615,其他,105.533,-0.09,-0.11,5.23,-0.38,1.9,0.6,5.80,2.44,-9.8,90.17,17.0,91.0,4.73,2.73,14.0,12.6,3.0,1.99,1.39,1.87,-1.02,-1.18,86.63,88.16,18.42,106.58,-1.0,106.58,16,17,0.54,0.21,0.87,325,6.0,26
九洲转债,123030,,九洲电气,300040,能源电力,103.1,-0.10,-0.01,5.24,-0.19,1.1,0.3,5.70,0.93,-8.1,91.93,12.2,90.0,5.73,3.73,17.1,15.8,3.1,2.80,2.16,2.67,0.20,-0.00,83.11,86.89,23.66,110.56,-6.7,110.56,10,18,0.57,1.36,-0.14,325,6.0,33
翔鹭转债,128072,,翔鹭钨业,002842,有色金属,105.4,-0.66,-0.41,11.41,-2.65,0.4,0.1,15.36,3.74,-25.7,74.28,41.9,89.0,5.73,3.73,9.6,7.2,3.0,1.64,1.15,1.54,-0.39,-0.58,82.95,83.28,14.07,97.35,8.3,97.35,30,18,0.40,-1.72,2.67,325,6.0,18
英科转债,123029,,英科医疗,300677,医药,114.499,0.12,-0.50,15.3,-0.78,1.0,0.2,16.25,2.20,-5.8,94.15,21.6,87.0,5.72,3.72,15.5,14.6,4.7,3.52,2.44,3.31,-1.57,-1.94,86.30,100.46,20.41,120.87,-5.3,120.87,11,17,0.48,0.93,0.08,325,6.0,31
合兴转债,128071,,合兴包装,002228,造纸包装印刷,106.001,-0.24,0.10,3.92,-0.25,0.9,0.1,4.38,1.60,-10.5,89.50,18.4,87.0,5.72,3.72,13.0,11.6,6.0,1.47,0.99,1.38,-0.60,-0.78,85.87,87.52,20.25,107.77,-1.6,107.77,17,18,0.54,0.49,0.61,200,5.0,22
欧派转债,113543,,欧派家居,603833,其他,118.2,-0.30,-0.45,100.8,-1.14,14,0.8,101.46,4.83,-0.7,99.35,19.0,87.0,5.72,4.72,3.5,3.5,15.0,-0.44,-0.92,-0.54,-2.31,-2.52,83.55,87.71,25.61,113.33,4.3,113.33,23,16,0.66,-0.51,1.85,200,5.0,19
好客转债,113542,,好莱客,603898,其他,106.1,-0.34,-0.21,14.32,-1.10,1.5,0.2,16.62,1.83,-13.8,86.16,23.1,70.0,5.68,3.68,14.2,12.2,6.3,1.50,1.00,1.40,-0.58,-0.77,86.23,87.89,17.13,105.02,1.0,105.02,19,17,0.50,-0.07,1.06,200,5.0,25
荣晟转债,113541,,荣晟环保,603165,造纸包装印刷,101.13,-0.37,-0.03,16.17,-0.74,1.1,0.3,18.72,2.15,-13.6,86.38,17.1,61.0,5.65,3.65,11.5,9.9,3.3,2.42,1.91,2.32,0.73,0.53,83.48,83.69,21.32,105.00,-3.7,105.00,14,18,0.55,0.69,0.43,325,6.0,38
南威转债,113540,,南威软件,603636,计算机及应用,115.14,-0.12,-0.08,10.38,-0.29,2.1,0.3,10.13,3.12,2.5,102.47,12.4,51.0,5.63,3.63,12.1,12.4,6.6,0.46,-0.10,0.35,-2.63,-2.83,83.66,85.62,32.02,117.64,-2.1,117.64,16,18,0.69,0.54,0.84,325,6.0,29
圣达转债,113539,,圣达生物,603079,医药,117.6,-0.26,0.14,35.65,-0.14,13,3.8,28.78,4.85,23.9,123.87,-5.1,41.0,5.60,3.60,7.5,9.3,3.0,0.59,-0.07,0.46,-3.09,-3.32,80.13,81.96,53.32,135.27,-13.1,135.27,2,17,0.86,3.28,-1.20,275,7.5,44
智能转债,128070,,智能自控,002877,机械装备制造,99.099,-0.09,-0.25,7.6,-0.65,0.7,0.3,9.55,3.69,-20.4,79.58,24.5,40.0,5.59,0,9.1,7.2,2.3,3.24,2.64,3.12,0,0,0,79.58,20.96,100.54,-1.4,100.54,17,18,0.53,-0.25,1.32,275,7.5,30
安图转债,113538,,安图生物,603658,医药,151.89,0.92,1.41,105.1,2.48,42,4.1,64.11,20.72,63.9,163.94,-7.3,36.0,5.58,3.58,1.5,2.5,6.8,-4.93,-5.37,-5.01,-9.78,-9.93,86.43,88.10,80.91,169.00,-10.1,169.00,2,16,0.94,3.22,-1.01,200,5.0,26
华森转债,128069,,华森制药,002907,医药,102.168,0.23,0.06,14.26,0.71,0.2,0.1,18.08,6.00,-21.1,78.87,29.5,31.0,5.57,3.57,5.2,4.1,3.0,3.07,2.41,2.94,0.48,0.27,83.87,87.69,13.19,100.88,1.3,100.88,19,16,0.41,-0.47,1.29,325,6.0,31
清水转债,123028,,清水源,300437,城市公用设施,101.21,-0.19,0.23,10.08,0.10,0.6,0.1,11.95,1.48,-15.6,84.35,20.0,26.0,5.56,3.56,22.3,18.8,4.9,3.56,2.84,3.42,1.07,0.79,85.06,89.32,18.16,107.48,-5.8,107.48,12,18,0.48,1.05,-0.04,325,6.0,38
环境转债,113028,,上海环境,601200,城市公用设施,118.22,-0.07,0.07,10.85,0.00,1.1,0.0,10.44,1.57,3.9,103.93,13.8,25.0,5.55,3.55,21.9,22.8,21.7,-1.11,-1.47,-1.18,-3.49,-3.66,87.98,87.31,27.90,115.21,2.6,115.21,21,16,0.70,-0.01,1.40,300,4.5,19
华钰转债,113027,,华钰矿业,601020,有色金属,100.85,-0.21,-0.66,8.67,-1.81,14,2.1,10.17,2.13,-14.7,85.25,18.3,21.0,5.54,3.54,14.0,12.0,6.4,2.47,1.96,2.37,0.76,0.56,86.69,88.36,16.10,104.45,-3.5,104.45,13,17,0.48,0.84,0.16,200,5.0,50
蓝晓转债,123027,,蓝晓科技,300487, 石油然气化工,115.01,-0.25,-0.09,34.06,-0.41,1.8,0.5,29.58,6.01,15.1,115.15,-0.1,18.0,5.54,3.54,4.8,5.6,3.4,0.79,0.16,0.67,-2.47,-2.72,80.57,81.24,46.80,128.04,-10.2,128.04,2,17,0.83,2.42,-0.57,275,7.5,24
文灿转债,113537,,文灿股份,603348,汽车,103.1,-0.07,0.26,16.46,0.43,2.0,0.2,19.93,1.79,-17.4,82.59,24.8,15.0,5.53,3.53,22.1,18.2,8.0,3.17,2.46,3.02,0.48,0.22,84.82,89.09,15.86,104.95,-1.8,104.95,16,17,0.45,0.21,0.69,325,6.0,48
中环转债,123026,,中环环保,300692,城市公用设施,104.822,-0.09,0.14,11.77,0.09,0.3,0.1,12.31,2.33,-4.4,95.61,9.6,17.0,4.53,2.53,15.4,14.7,2.9,1.30,0.84,1.21,-0.58,-0.81,88.36,85.77,24.63,110.40,-5.1,110.40,12,18,0.62,1.29,0.01,325,6.0,31
和而转债,128068,,和而泰,002402,电子,123.4,-0.32,-0.45,10.78,-0.92,2.3,0.3,9.09,5.08,18.6,118.59,4.1,12.0,5.52,3.52,5.9,7.0,5.5,-1.60,-2.03,-1.69,-4.69,-4.87,83.95,82.71,44.87,127.57,-3.3,127.57,2,16,0.84,1.18,0.53,325,6.0,34
三星转债,113536,,三星新材,603578,家电,103.65,-0.34,0.37,18.84,0.05,0.8,0.4,19.75,2.93,-4.6,95.39,8.7,7.0,5.51,3.51,11.4,10.9,1.9,1.97,1.46,1.87,0.00,-0.19,86.85,88.53,23.39,111.92,-7.4,111.92,10,18,0.59,1.86,-0.54,200,5.0,47
大业转债,113535,,大业股份,603278,汽车,98,-0.14,-0.05,8.54,-0.93,1.7,0.4,12.56,1.56,-32.0,67.99,44.1,0.0,4.44,2.44,20.2,13.7,5.0,3.41,2.83,3.29,1.65,1.48,90.09,91.65,5.17,96.82,1.2,96.82,22,18,0.21,-0.23,0.64,200,5.0,36
一心转债,128067,,一心堂,002727,医药,110.2,0.00,-0.52,22.84,-1.08,0.0,0.0,27.28,2.97,-16.3,83.72,31.6,0.0,5.39,3.39,4.6,3.9,6.0,0.53,0.08,0.44,-1.69,-1.88,87.34,87.48,14.71,102.19,7.8,102.19,27,16,0.47,-1.34,2.39,200,5.0,22
亚泰转债,128066,,亚泰国际,002811,建筑,105.15,0.05,-0.05,14.51,0.00,1.7,0.3,14.80,1.80,-2.0,98.04,7.3,0.0,5.38,3.38,18.4,18.0,4.8,2.22,1.61,2.10,-0.21,-0.45,85.08,86.88,26.33,113.20,-7.1,113.20,7,16,0.66,1.62,-0.21,325,6.0,52
永鼎转债,110058,,永鼎股份,600105,通信互联网,100.65,-0.15,-1.32,4.33,-5.87,14,1.4,6.35,1.95,-31.8,68.19,47.6,0.0,5.38,3.38,18.2,12.4,9.8,2.60,2.07,2.49,0.87,0.66,87.47,89.15,6.76,95.91,4.9,95.91,23,17,0.25,-0.95,1.47,200,5.0,51
雅化转债,128065,,雅化集团,002497, 石油然气化工,97.05,-0.36,-0.26,6.06,-2.57,2.7,0.3,8.96,2.11,-32.4,67.63,43.5,0.0,5.38,3.38,13.8,9.3,8.0,2.63,2.23,2.55,1.93,1.72,87.47,86.08,7.06,93.13,4.2,93.13,23,16,0.24,-0.77,1.26,200,5.0,51
创维转债,127013,,创维数字,000810,电子,109.45,-0.02,1.30,10.52,2.43,1.2,0.1,11.49,3.25,-8.4,91.56,19.5,0.0,5.38,3.38,9.3,8.6,10.4,1.48,0.88,1.36,-1.50,-1.70,87.48,91.47,17.53,109.01,0.4,109.01,19,16,0.52,0.11,0.93,200,5.0,45
核能转债,113026,,中国核电,601985,能源电力,105.68,-0.02,-0.27,4.84,-0.82,10,0.1,6.20,1.57,-21.9,78.06,35.4,0.0,5.38,3.38,10.4,8.1,78.0,0.79,0.44,0.72,-0.55,-0.74,90.17,89.43,8.74,98.17,7.6,98.17,24,15,0.35,-1.13,1.89,300,4.0,43
明泰转债,113025,,明泰铝业,601677,有色金属,108.8,-0.11,-1.02,10.69,-1.93,4.5,0.2,11.30,0.94,-5.4,94.60,15.0,0.0,5.37,3.37,27.9,26.4,18.4,1.15,0.63,1.05,-1.32,-1.52,87.57,89.39,20.83,110.21,-1.3,110.21,14,16,0.59,0.49,0.69,200,5.0,56
鼎胜转债,113534,,鼎胜新材,603876,有色金属,101,-0.26,0.67,13.35,0.83,54,4.2,15.28,1.53,-12.6,87.37,15.6,0.0,5.36,3.36,21.8,19.1,12.5,2.52,1.99,2.41,0.74,0.52,87.55,89.24,16.13,105.37,-4.1,105.37,13,16,0.50,1.03,0.02,200,5.0,63
核建转债,113024,,中国核建,601611,建筑,103.38,0.08,0.11,7.03,0.72,1.1,0.0,9.87,1.93,-28.8,71.23,45.1,0.0,5.36,3.36,16.2,11.6,30.0,1.18,0.83,1.11,0.02,-0.17,90.15,89.40,6.51,95.91,7.8,95.91,29,16,0.26,-1.25,1.82,300,4.0,39
司尔转债,128064,,司尔特,002538, 石油然气化工,96.961,0.03,0.04,4.5,0.22,1.4,0.2,6.15,0.89,-26.8,73.17,32.5,0.0,5.36,3.36,24.8,18.1,8.0,3.33,2.79,3.22,1.94,1.72,87.56,89.25,8.20,97.45,-0.5,97.45,17,16,0.31,0.13,0.49,200,5.0,60
未来转债,128063,,德尔未来,002631,其他,103.291,-0.24,0.34,6.93,0.29,0.8,0.1,8.67,2.67,-20.1,79.93,29.2,0.0,5.35,4.35,13.6,10.9,6.3,4.33,3.40,4.15,1.32,0.92,84.59,95.08,11.65,106.73,-3.2,106.73,13,16,0.35,0.49,0.24,325,6.0,55
参林转债,113533,,大参林,603233,医药,136.7,-3.10,1.61,48.99,-1.69,46,10.0,36.50,7.60,34.2,134.22,1.8,0.0,5.35,3.35,1.3,1.7,3.3,-3.39,-3.81,-3.47,-7.43,-7.61,87.52,87.67,53.60,141.27,-3.2,141.27,2,16,0.88,1.44,0.37,200,5.0,32
海环转债,113532,,海峡环保,603817,城市公用设施,103.46,-0.20,0.20,6.26,0.00,0.5,0.1,7.75,1.77,-19.2,80.77,28.1,0.0,5.34,3.34,16.3,13.2,4.6,1.75,1.29,1.66,0.10,-0.11,87.63,87.78,13.46,101.24,2.2,101.24,22,17,0.44,-0.35,1.22,200,5.0,39
亚药转债,128062,,亚太药业,002370,医药,88.993,-0.43,0.44,6.38,0.63,11,1.3,16.25,1.37,-60.7,39.26,127,0.0,5.34,3.34,28.2,11.1,9.7,5.91,5.20,5.77,4.50,4.29,87.44,92.98,0.16,93.14,-4.5,93.14,2,16,0.01,0.93,-0.83,200,5.0,100
现代转债,110057,,现代制药,600420,医药,108.24,0.19,0.08,8.59,0.59,1.7,0.1,9.99,1.25,-14.0,85.99,25.9,0.0,5.34,3.34,18.3,15.8,16.2,0.48,0.10,0.40,-1.28,-1.47,90.31,90.38,13.17,103.54,4.5,103.54,23,16,0.46,-0.48,1.42,300,4.0,38
百姓转债,113531,,老百姓,603883,医药,124.95,1.77,2.73,72.64,5.54,10,2.5,60.09,6.29,20.9,120.89,3.4,0.0,4.33,2.33,1.6,1.9,3.3,-2.43,-2.94,-2.53,-8.01,-8.12,90.06,91.34,36.34,127.67,-2.1,127.67,18,16,0.81,1.10,0.55,200,5.0,21
精测转债,123025,,精测电子,300567,电子,109.336,-0.44,0.15,38.78,-0.74,0.1,0.0,50.25,7.17,-22.8,77.17,41.7,0.0,5.33,3.33,3.9,3.0,3.8,1.44,0.84,1.32,-1.40,-1.62,85.16,86.96,12.99,99.95,9.4,99.95,32,17,0.39,-1.88,2.85,325,6.0,27
启明转债,128061,,启明星辰,002439,通信互联网,122.606,-0.91,-0.06,30.53,-1.39,35,2.8,28.29,7.70,7.9,107.92,13.6,0.0,5.33,3.33,3.8,4.1,10.5,-0.67,-1.26,-0.79,-4.68,-4.87,87.70,91.71,29.16,120.87,1.4,120.87,19,16,0.70,0.09,1.30,200,5.0,30
大丰转债,113530,,大丰实业,603081,建筑,110.5,0.68,0.89,17.8,2.42,3.3,0.5,16.76,3.87,6.2,106.21,4.0,0.0,5.33,3.33,8.8,9.4,6.3,1.91,1.20,1.77,-1.76,-1.97,87.80,94.58,26.26,120.84,-8.6,120.84,6,16,0.65,2.24,-0.74,200,5.0,55
中装转债,128060,,中装建设,002822,建筑,143.9,0.63,1.61,8.67,2.24,29,23.1,6.19,2.21,40.1,140.06,2.7,0.0,5.32,3.32,1.5,2.1,0.9,-4.43,-4.85,-4.52,-8.96,-9.14,87.72,87.86,52.36,140.23,2.6,140.23,100,17,1.00,0.46,1.52,200,5.0,55
招路转债,127012,,招商公路,001965,机场高速港口,107.98,-0.02,0.21,8.09,0.37,5.1,0.1,9.09,1.05,-11.0,89.00,21.3,0.0,5.31,3.31,10.0,8.9,50.0,0.07,-0.23,0.01,-1.60,-1.72,89.09,88.14,14.52,102.66,5.2,102.66,23,15,0.51,-0.57,1.61,300,4.0,60
岱勒转债,123024,,岱勒新材,300700,机械装备制造,98.89,-0.31,-0.33,18.55,-1.85,0.5,0.2,24.90,2.94,-25.5,74.50,32.7,0.0,4.31,2.31,13.7,10.2,2.1,3.28,2.69,3.16,1.34,1.17,85.50,83.39,12.13,95.53,3.5,95.53,24,18,0.35,-0.87,1.60,275,7.5,36
迪森转债,123023,,迪森股份,300335,能源电力,98.434,-0.08,0.15,5.55,0.18,1.2,0.2,7.19,1.47,-22.8,77.19,27.5,0.0,5.31,4.31,29.8,23.0,6.0,3.14,2.59,3.03,1.67,1.42,85.23,89.48,11.37,100.84,-2.4,100.84,16,18,0.37,0.56,0.20,200,5.0,49
亨通转债,110056,,亨通光电,600487,通信互联网,111.82,-0.21,0.33,15.76,0.19,8.4,0.4,15.68,2.29,0.5,100.51,11.3,0.0,5.31,3.31,5.8,5.8,17.3,0.47,-0.04,0.37,-2.32,-2.51,89.05,91.54,22.92,114.46,-2.3,114.46,14,16,0.63,0.91,0.37,375,4.5,60
通威转债,110054,,通威股份,600438,农业,120.92,0.02,2.02,12.71,3.08,14,0.2,12.28,3.02,3.5,103.50,16.8,0.0,5.30,3.30,10.1,10.5,50.0,-0.84,-1.36,-0.95,-4.25,-4.46,89.55,92.03,25.31,117.34,3.0,117.34,24,16,0.66,-0.16,1.48,375,4.5,19
长信转债,123022,,长信科技,300088,通信互联网,126.231,-0.33,-0.72,7.86,-1.26,29,2.1,6.25,3.40,25.8,125.76,0.4,0.0,5.30,3.30,6.2,7.8,11.3,-1.75,-2.24,-1.85,-5.57,-5.76,87.81,89.50,45.00,134.50,-6.1,134.50,2,16,0.84,2.00,-0.20,200,5.0,22
伊力转债,110055,,伊力特,600197,食品饮料,110,0.00,-0.42,14.97,-0.86,2.2,0.2,17.25,2.60,-13.2,86.78,26.8,0.0,5.29,3.29,13.3,11.5,8.8,0.95,0.42,0.84,-1.63,-1.84,88.04,89.73,15.47,105.20,4.6,105.20,23,16,0.49,-0.73,1.74,200,5.0,28
苏银转债,110053,,江苏银行,600919,金融,110.17,-0.23,-0.25,6.86,-1.01,16,0.1,7.56,0.73,-9.3,90.74,21.4,0.0,5.29,0,25.3,22.9,200.0,1.56,0.90,1.43,0,0,0,97.49,15.99,113.48,-2.9,113.48,15,18,0.47,0.98,0.00,300,4.0,66
浙商转债,113022,,浙商证券,601878,金融,105.9,-0.02,0.08,8.33,0.24,5.1,0.1,12.46,1.97,-33.1,66.85,58.4,0.0,5.29,0,12.6,8.4,35.0,0.76,0.40,0.69,0,0,0,89.76,5.66,95.41,11.0,95.41,37,18,0.24,-1.82,2.42,300,4.0,39
视源转债,128059,,视源股份,002841,电子,122.299,-1.45,1.82,84.71,0.49,6.0,0.5,75.72,12.29,11.9,111.87,9.3,0.0,5.28,3.28,1.7,1.9,9.4,-1.31,-1.79,-1.41,-4.71,-4.91,87.89,88.81,33.80,122.61,-0.3,122.61,20,16,0.76,0.55,0.97,200,5.0,19
中鼎转2,127011,,中鼎股份,000887,汽车,106.271,-0.40,0.57,8.13,0.74,5.6,0.4,11.79,1.16,-31.0,68.96,54.1,0.0,5.28,3.28,12.1,8.3,12.0,1.66,1.12,1.55,-0.62,-0.85,89.59,92.21,5.86,98.07,8.4,98.07,33,17,0.23,-1.46,2.00,375,4.5,21
拓邦转债,128058,,拓邦股份,002139,电子,112.4,-0.98,1.34,4.88,0.83,1.7,0.3,5.54,2.12,-11.9,88.09,27.6,0.0,5.27,3.27,11.5,10.1,5.7,1.79,1.03,1.63,-1.98,-2.25,88.91,95.71,14.15,109.87,2.3,109.87,22,16,0.44,-0.35,1.24,200,5.0,29
博彦转债,128057,,博彦科技,002649,计算机及应用,108.801,-0.60,0.30,8.7,-0.46,6.3,1.0,8.81,1.75,-1.2,98.75,10.2,0.0,5.27,3.27,12.5,12.4,5.7,1.52,0.92,1.40,-1.29,-1.52,85.46,87.14,26.14,113.28,-4.0,113.28,12,16,0.66,0.93,0.42,325,6.0,60
贵广转债,110052,,贵广网络,600996,传媒娱乐,114.4,-0.56,0.07,7.73,-0.90,6.0,0.3,8.04,1.80,-3.9,96.14,19.0,0.0,5.27,3.27,18.8,18.1,15.3,0.79,0.16,0.66,-2.65,-2.88,89.89,94.89,18.60,113.50,0.8,113.50,19,16,0.55,0.15,0.94,375,4.5,27
万信转2,123021,,万达信息,300168,计算机及应用,125.686,0.47,-0.23,16.98,0.30,77,9.4,13.60,5.15,24.9,124.85,0.7,0.0,5.26,3.26,3.4,4.2,6.5,-1.06,-1.65,-1.18,-5.33,-5.52,87.97,91.99,42.31,134.30,-6.4,134.30,2,16,0.81,2.03,-0.27,200,5.0,34
中信转债,113021,,中信银行,601998,金融,107.7,-0.11,-0.08,6.01,-0.50,17,0.0,7.22,0.68,-16.8,83.24,29.4,0.0,5.26,0,13.6,11.3,400.0,2.00,1.35,1.87,0,0,0,97.44,10.96,108.40,-0.6,108.40,17,17,0.38,0.41,0.36,300,4.0,52
富祥转债,123020,,富祥股份,300497,医药,116.75,-0.45,0.95,17.03,0.65,0.7,0.2,14.93,3.64,14.1,114.07,2.4,0.0,5.25,3.25,8.1,9.3,3.8,0.67,-0.02,0.54,-3.31,-3.54,85.82,89.84,36.49,126.32,-7.6,126.32,2,16,0.77,1.99,-0.33,325,6.0,38
长城转债,113528,,长城科技,603897,机械装备制造,97.9,-0.34,0.17,17.49,-0.51,1.4,0.2,24.03,1.76,-27.2,72.78,34.5,0.0,5.25,3.25,20.3,14.8,6.3,3.72,3.07,3.59,1.92,1.66,85.80,87.61,10.31,97.92,-0.0,97.92,18,17,0.33,-0.16,0.83,325,6.0,45
今飞转债,128056,,今飞凯达,002863,汽车,97.504,-0.61,0.52,5.22,-0.19,1.8,0.5,6.78,1.98,-23.0,76.99,26.6,0.0,5.25,3.25,18.7,14.4,3.7,4.41,3.66,4.26,2.16,1.87,82.14,84.01,16.14,100.15,-2.6,100.15,15,17,0.44,-0.00,0.89,275,7.5,60
 中转债,110051,, 中科技,600522,通信互联网,104.94,-0.03,-0.11,8.05,-0.37,3.8,0.1,10.19,1.23,-21.0,79.00,32.8,0.0,5.25,3.25,16.1,12.7,39.7,1.66,1.16,1.56,-0.34,-0.55,89.45,91.15,9.77,100.92,4.0,100.92,22,16,0.37,-0.59,1.33,375,4.5,34
