转债名称,转债代码,股票日期,股票名称,股票代码,所属行业,转债价格,涨跌_1,盘中套,股价,涨跌_2,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
N通光转,123034,,通光线缆,300265,通信互联网,101.13,1.13,0.00,7.71,-0.77,180,59.4,7.98,2.54,-3.4,96.62,4.7,161.0,5.94,3.94,11.4,11.0,3.0,2.75,2.19,2.64,0.68,0.49,77.57,77.82,33.97,111.79,-9.5,111.79,2,17,0.72,1.77,-0.22,275,7.5,6
金力转债,123033,,金力永磁,300748,电子,106.32,1.05,1.31,40.5,3.55,37,7.9,41.20,14.32,-1.7,98.30,8.2,160.0,5.93,3.93,2.6,2.6,4.4,2.33,1.68,2.20,-0.30,-0.56,83.30,87.07,28.54,115.62,-8.0,115.62,8,16,0.66,1.78,-0.33,325,6.0,9
石英转债,113548,,石英股份,603688,电子,111.49,-1.07,2.10,15.4,1.58,51,12.7,15.25,3.63,1.0,100.98,10.4,154.0,5.92,3.92,6.9,7.0,3.6,2.01,1.29,1.87,-1.48,-1.69,82.77,89.06,29.35,118.42,-5.8,118.42,13,17,0.65,1.24,0.11,325,6.0,13
 N路转,110060,, 西藏路,600326,建筑,107.34,7.34,0.00,6.82,-0.15,932,80.2,7.24,1.73,-5.8,94.20,14.0,155.0,5.92,3.92,18.4,17.3,10.9,1.23,0.76,1.14,-0.83,-1.01,85.22,86.86,22.60,109.46,-1.9,109.46,5,16,0.61,0.61,0.61,200,5.0,6
浦发转债,110059,,浦发银行,600000,金融,104.48,0.01,-0.16,11.94,-0.42,363,0.7,15.05,0.73,-20.7,79.34,31.7,157.0,5.92,0,14.3,11.3,500.0,2.09,1.55,1.99,0,0,0,93.92,10.77,104.69,-0.2,104.69,18,17,0.37,0.31,0.43,300,4.0,35
北方转债,127014,,北方国际,000065,建筑,107.2,-0.01,0.14,8.02,0.25,5.7,0.9,8.84,1.34,-9.3,90.72,18.2,153.0,5.91,3.91,9.4,8.5,5.8,1.32,0.84,1.23,-0.71,-0.90,87.20,89.62,18.94,108.56,-1.3,108.56,17,17,0.54,0.54,0.55,375,4.5,15
索发转债,113547,,索通发展,603612,其他,106.8,-0.69,-0.04,9.96,-1.29,20,1.9,10.67,1.35,-6.7,93.35,14.4,153.0,5.91,3.91,28.2,26.3,9.5,1.94,1.36,1.82,-0.51,-0.72,85.82,89.84,21.60,111.44,-4.2,111.44,12,17,0.57,1.04,0.14,200,5.0,12
迪贝转债,113546,,迪贝电气,603320,家电,99.3,-0.27,0.23,15.83,-0.06,4.0,1.8,18.45,2.47,-14.2,85.80,15.7,152.0,5.90,3.90,14.5,12.5,2.3,3.49,2.85,3.36,1.26,1.04,78.10,79.77,25.78,105.56,-5.9,105.56,11,18,0.58,0.68,0.50,275,7.5,16
英联转债,128079,,英联股份,002846,造纸包装印刷,104.7,-0.29,0.01,13.75,-0.36,5.7,2.6,13.54,4.21,1.6,101.55,3.1,150.0,5.90,3.90,8.0,8.1,2.1,2.06,1.51,1.95,-0.17,-0.37,77.80,77.63,39.00,116.63,-10.2,116.63,2,18,0.76,2.07,-0.41,275,7.5,18
太极转债,128078,,太极股份,002368,计算机及应用,124.521,-0.23,-0.35,33.93,-0.82,16,1.3,31.61,4.93,7.3,107.34,16.0,150.0,5.90,3.90,7.1,7.7,10.0,-1.04,-1.54,-1.14,-4.43,-4.60,85.30,88.44,31.25,119.69,4.0,119.69,22,16,0.71,-0.42,1.86,200,5.0,15
