序号,转债名称,转债代码,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌.1,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度,转债名称.1
11,太极转债,128078,太极股份,2368,计算机及应用,124.585,0.07%,0.00%,35.49,0.08%,13.0,1.0%,31.61,5.16,12.3%,112.27,11.0%,4月24天,5.88年,3.88年,6.8%,7.7%,10.0,-1.04%,-1.54%,-1.14%,-4.45%,-4.62%,85.37,88.51,35.01,123.53,0.9%,45%,18%,16%,0.75,0.29,1.21,AA,5.0%,14,太极转债
12,华夏转债,128077,华夏航空,2928,交通运输,110.62100000000001,0.46%,-0.27%,10.49,0.29%,0.7,0.1%,10.52,2.59,-0.3%,99.71,10.9%,4月19天,5.87年,3.87年,12.5%,12.5%,7.9,1.54%,0.92%,1.42%,-1.50%,-1.70%,82.55,86.43,29.94,116.37,-4.9%,57%,12%,18%,0.65,1.06,0.27,AA-,6.0%,21,华夏转债
13,金轮转债,128076,金轮股份,2722,机械装备制造,103.838,-0.03%,-0.16%,14.65,-0.27%,1.1,0.5%,14.96,1.36,-2.1%,97.93,6.0%,4月17天,5.86年,3.86年,8.3%,8.2%,2.1,1.84%,1.36%,1.74%,-0.01%,-0.19%,82.28,82.48,29.68,112.16,-7.4%,45%,7%,17%,0.68,1.71,-0.23,AA-,6.0%,18,金轮转债
14,金能转债,113545,金能科技,603113,煤炭,104.02,-0.17%,0.07%,10.13,-0.20%,146.0,9.3%,11.55,1.25,-12.3%,87.71,18.6%,4月15天,5.86年,3.86年,21.9%,19.2%,15.0,1.80%,1.33%,1.71%,-0.05%,-0.24%,85.45,87.09,18.66,105.75,-1.6%,47%,16%,17%,0.53,0.49,0.57,AA,5.0%,15,金能转债
15,万里转债!,123032,万里马,300591,服装纺织,100.13,0.04%,0.20%,5.51,0.55%,0.6,0.3%,6.92,3.41,-20.4%,79.62,25.8%,4月14天,5.85年,3.85年,10.5%,8.3%,1.8,5.13%,4.16%,4.93%,1.91%,1.53%,81.17,88.3,19.26,107.56,-6.9%,54%,9%,18%,0.44,0.82,0.1,A+,7.5%,30,万里转债!
16,游族转债!,128074,游族网络,2174,通信互联网,115.5,0.87%,0.19%,16.2,1.89%,5.6,0.4%,17.06,2.71,-5.0%,94.96,21.6%,3月23天,5.80年,3.80年,8.0%,7.6%,11.5,0.72%,0.11%,0.60%,-2.68%,-2.86%,85.69,91.1,21.57,112.67,2.5%,42%,21%,17%,0.57,-0.32,1.46,AA,5.0%,20,游族转债!
17,远东转债,128075,远东传动,2406,汽车,104.895,0.27%,0.05%,5.24,0.58%,2.1,0.2%,5.79,1.13,-9.5%,90.5,15.9%,3月23天,5.80年,3.80年,30.4%,27.5%,8.9,1.66%,1.18%,1.56%,-0.29%,-0.47%,85.59,87.24,20.41,107.65,-2.6%,30%,15%,17%,0.56,0.7,0.44,AA,5.0%,13,远东转债
18,桃李转债,113544,桃李面包,603866,食品饮料,116.5,-0.09%,-0.10%,41.1,-0.36%,2.2,0.2%,47.54,7.84,-13.5%,86.45,34.8%,3月22天,5.80年,3.80年,3.7%,3.2%,10.0,-0.18%,-0.65%,-0.28%,-2.90%,-3.07%,85.72,87.37,16.87,104.25,11.8%,39%,33%,16%,0.51,-1.99,3.23,AA,5.0%,19,桃李转债
19,晶瑞转债,123031,晶瑞股份,300655,石油天然气化工,134.06,0.65%,-0.01%,28.26,0.68%,42.0,17.2%,18.38,8.23,53.8%,153.75,-12.8%,3月1天,5.74年,3.74年,4.3%,6.6%,1.9,-2.50%,-2.98%,-2.60%,-6.42%,-6.58%,78.42,77.36,83.57,160.93,-16.7%,69%,<2%,18%,0.94,4.78,-2.15,A+,7.5%,24,晶瑞转债
20,哈尔转债,128073,哈尔斯,2615,其他,105.5,-0.68%,0.88%,5.28,0.38%,0.2,0.1%,5.8,2.46,-9.0%,91.03,15.9%,2月25天,4.72年,2.72年,13.8%,12.6%,3.0,2.00%,1.40%,1.88%,-1.02%,-1.18%,86.71,88.24,18.99,107.23,-1.6%,42%,17%,17%,0.55,0.36,0.74,AA-,6.0%,25,哈尔转债
21,九洲转债,123030,九洲电气,300040,能源电力,103.20299999999999,-0.16%,0.50%,5.33,0.57%,0.2,0.1%,5.7,0.95,-6.5%,93.51,10.4%,2月24天,5.71年,3.71年,16.8%,15.8%,3.1,2.81%,2.16%,2.68%,0.20%,-0.00%,83.19,86.98,24.89,111.86,-7.7%,40%,9%,18%,0.59,1.6,-0.31,AA-,6.0%,31,九洲转债
22,翔鹭转债!,128072,翔鹭钨业,2842,有色金属,104.52,0.04%,0.59%,11.36,1.61%,0.3,0.1%,15.36,3.73,-26.0%,73.96,41.3%,2月23天,5.71年,3.71年,9.7%,7.2%,3.0,1.80%,1.30%,1.70%,-0.17%,-0.36%,83.03,83.36,13.72,97.08,7.7%,68%,31%,18%,0.4,-1.62,2.54,AA-,6.0%,17,翔鹭转债!
23,英科转债,123029,英科医疗,300677,医药,113.375,0.02%,-0.24%,15.28,-0.46%,1.2,0.2%,16.25,2.2,-6.0%,94.03,20.6%,2月21天,5.70年,3.70年,15.5%,14.6%,4.7,3.72%,2.63%,3.50%,-1.32%,-1.69%,86.38,100.56,20.05,120.6,-6.0%,70%,10%,17%,0.48,1.09,-0.08,AA-,6.0%,31,英科转债
24,合兴转债,128071,合兴包装,2228,造纸包装印刷,105.404,-0.19%,-0.22%,3.9,-0.76%,3.6,0.6%,4.38,1.59,-11.0%,89.04,18.4%,2月21天,5.70年,3.70年,13.1%,11.6%,6.0,1.56%,1.07%,1.46%,-0.49%,-0.66%,85.93,87.59,19.87,107.47,-1.9%,35%,16%,18%,0.54,0.55,0.54,AA,5.0%,19,合兴转债
25,欧派转债,113543,欧派家居,603833,其他,119.26,-0.18%,-0.22%,101.68,-0.62%,0.4,0.0%,101.46,4.87,0.2%,100.22,19.0%,2月21天,5.70年,4.70年,3.5%,3.5%,15.0,-0.60%,-1.07%,-0.70%,-2.50%,-2.71%,83.61,87.78,25.97,113.75,4.8%,40%,23%,16%,0.66,-0.61,1.96,AA,5.0%,19,欧派转债
26,好客转债,113542,好莱客,603898,其他,105.3,0.29%,0.07%,14.37,0.70%,0.6,0.1%,16.62,1.84,-13.5%,86.46,21.8%,2月4天,5.66年,3.66年,14.2%,12.2%,6.3,1.65%,1.15%,1.55%,-0.38%,-0.57%,86.30,87.96,17.18,105.14,0.2%,32%,18%,17%,0.5,0.11,0.89,AA,5.0%,22,好客转债
27,荣晟转债,113541,荣晟环保,603165,造纸包装印刷,101.06,-0.22%,-0.09%,16.37,-0.55%,0.5,0.1%,18.72,2.17,-12.6%,87.45,15.6%,55天,5.63年,3.63年,11.4%,9.9%,3.3,2.45%,1.94%,2.35%,0.77%,0.56%,83.56,83.77,22.0,105.77,-4.5%,56%,13%,18%,0.56,0.86,0.3,AA-,6.0%,36,荣晟转债
28,南威转债,113540,南威软件,603636,计算机及应用,115.22,0.07%,-0.14%,10.58,-0.09%,1.1,0.1%,10.13,3.18,4.4%,104.44,10.3%,45天,5.61年,3.61年,11.8%,12.4%,6.6,0.43%,-0.13%,0.32%,-2.68%,-2.88%,83.74,85.7,33.66,119.36,-3.5%,87%,14%,18%,0.71,0.85,0.59,AA-,6.0%,26,南威转债
29,圣达转债,113539,圣达生物,603079,医药,118.89,2.83%,1.14%,36.27,4.58%,31.0,8.8%,28.78,4.94,26.0%,126.03,-5.7%,35天,5.58年,3.58年,7.4%,9.3%,3.0,0.41%,-0.25%,0.28%,-3.36%,-3.59%,80.22,82.05,55.14,137.2,-13.3%,65%,<2%,17%,0.87,3.41,-1.29,A+,7.5%,40,圣达转债
30,智能转债!,128070,智能自控,2877,机械装备制造,98.99700000000001,0.19%,0.09%,7.73,0.52%,0.2,0.1%,9.55,3.75,-19.1%,80.94,22.3%,34天,5.58年,无权,8.9%,7.2%,2.3,3.29%,2.69%,3.17%,无权,无权,无权,79.67,21.82,101.49,-2.5%,73%,16%,18%,0.55,-0.05,1.14,A+,7.5%,27,智能转债!
31,安图转债,113538,安图生物,603658,医药,147.59,2.78%,-0.50%,100.7,2.44%,29.0,2.9%,64.11,19.85,57.1%,157.07,-6.0%,30天,5.57年,3.57年,1.6%,2.5%,6.8,-4.44%,-4.89%,-4.53%,-9.12%,-9.27%,86.50,88.17,74.86,163.03,-9.5%,43%,<2%,16%,0.93,3.02,-0.87,AA,5.0%,24,安图转债
32,华森转债!,128069,华森制药,2907,医药,106.25,-0.42%,0.84%,19.05,0.58%,37.0,11.8%,18.08,8.02,5.4%,105.37,0.8%,25天,5.55年,3.55年,3.9%,4.1%,3.0,2.34%,1.68%,2.21%,-0.58%,-0.79%,83.95,87.77,31.16,118.93,-10.7%,65%,<2%,16%,0.71,2.56,-0.9,AA-,6.0%,31,华森转债!
33,清水转债,123028,清水源,300437,城市公用设施,101.11,-0.03%,-0.11%,10.14,-0.29%,0.5,0.1%,11.95,1.49,-15.1%,84.85,19.2%,20天,5.54年,3.54年,22.1%,18.8%,4.9,3.60%,2.88%,3.46%,1.12%,0.84%,85.14,89.41,18.42,107.83,-6.2%,37%,11%,18%,0.48,1.15,-0.12,AA-,6.0%,35,清水转债
34,环境转债,113028,上海环境,601200,城市公用设施,117.76,-0.03%,-0.16%,10.93,-0.27%,0.7,0.0%,10.44,1.58,4.7%,104.69,12.5%,19天,5.54年,3.54年,21.7%,22.8%,21.7,-1.08%,-1.44%,-1.15%,-3.45%,-3.62%,88.05,87.37,28.57,115.94,1.6%,42%,19%,16%,0.7,0.22,1.19,AAA,4.5%,18,环境转债
35,华钰转债,113027,华钰矿业,601020,有色金属,100.85,0.55%,0.37%,8.79,1.85%,0.8,0.1%,10.17,2.16,-13.6%,86.43,16.7%,15天,5.53年,3.53年,13.8%,12.0%,6.4,2.48%,1.97%,2.38%,0.76%,0.57%,86.75,88.43,16.74,105.16,-4.1%,45%,13%,17%,0.49,1.01,0.03,AA,5.0%,48,华钰转债
36,蓝晓转债,123027,蓝晓科技,300487,石油天然气化工,114.49,0.13%,-0.52%,33.85,-0.47%,1.7,0.4%,29.58,5.98,14.4%,114.44,0.0%,12天,5.52年,3.52年,4.9%,5.6%,3.4,0.89%,0.26%,0.76%,-2.35%,-2.60%,80.66,81.34,45.92,127.26,-10.0%,78%,<2%,17%,0.82,2.37,-0.54,A+,7.5%,24,蓝晓转债
37,文灿转债!,113537,文灿股份,603348,汽车,105.8,0.00%,0.00%,19.18,0.00%,0.0,0.0%,19.93,2.09,-3.8%,96.24,9.9%,9天,5.52年,3.52年,19.0%,18.2%,8.0,2.68%,1.97%,2.54%,-0.23%,-0.49%,84.90,89.18,25.18,114.36,-7.5%,56%,8%,17%,0.61,1.59,-0.27,AA-,6.0%,45,文灿转债!
38,中环转债,123026,中环环保,300692,城市公用设施,105.001,0.44%,-0.38%,11.98,0.08%,0.7,0.2%,12.31,2.38,-2.7%,97.32,7.9%,11天,4.52年,2.52年,15.1%,14.7%,2.9,1.28%,0.82%,1.19%,-0.62%,-0.86%,88.44,85.85,25.62,111.47,-5.8%,68%,10%,18%,0.64,1.47,-0.11,AA-,6.0%,32,中环转债
39,和而转债,128068,和而泰,2402,电子,123.63,-0.28%,-0.56%,11.08,-0.98%,2.7,0.4%,9.09,5.22,21.9%,121.89,1.4%,6.5天,5.50年,3.50年,5.8%,7.0%,5.5,-1.60%,-2.03%,-1.69%,-4.70%,-4.89%,84.03,82.78,47.83,130.62,-5.3%,41%,<2%,16%,0.86,1.7,0.1,AA-,6.0%,32,和而转债
40,三星转债,113536,三星新材,603578,家电,103.74,0.11%,-0.32%,18.83,-0.37%,0.1,0.1%,19.75,2.93,-4.7%,95.34,8.8%,1.5天,5.49年,3.49年,11.4%,10.9%,1.9,1.96%,1.45%,1.86%,-0.01%,-0.21%,86.92,88.6,23.3,111.89,-7.3%,49%,9%,18%,0.59,1.83,-0.52,AA,5.0%,45,三星转债
41,大业转债!,113535,大业股份,603278,汽车,98.1,-0.02%,0.15%,8.64,0.58%,0.4,0.1%,12.56,1.57,-31.2%,68.79,42.6%,转股中,4.43年,2.43年,20.0%,13.7%,5.0,3.39%,2.82%,3.28%,1.62%,1.44%,90.17,91.72,5.41,97.13,1.0%,48%,22%,18%,0.22,-0.18,0.6,AA,5.0%,35,大业转债!
42,一心转债,128067,一心堂,2727,医药,111.10600000000001,0.64%,-0.16%,22.03,1.10%,3.5,0.5%,27.28,2.87,-19.2%,80.76,37.6%,转股中,5.37年,3.37年,4.8%,3.9%,6.0,0.35%,-0.09%,0.27%,-1.95%,-2.14%,87.41,87.55,12.74,100.29,10.8%,37%,32%,16%,0.43,-1.86,2.9,AA,5.0%,20,一心转债
43,亚泰转债!,128066,亚泰国际,2811,建筑,107.02,0.39%,0.98%,15.33,1.93%,11.0,2.2%,14.8,1.9,3.6%,103.58,3.3%,转股中,5.37年,3.37年,17.4%,18.0%,4.8,1.88%,1.27%,1.76%,-0.73%,-0.96%,85.16,86.96,30.26,117.22,-8.7%,42%,<2%,16%,0.71,2.1,-0.52,AA-,6.0%,49,亚泰转债!
44,永鼎转债!,110058,永鼎股份,600105,通信互联网,100.7,0.00%,-0.79%,4.23,-3.42%,5.8,0.6%,6.35,1.9,-33.4%,66.61,51.2%,转股中,5.37年,3.37年,18.6%,12.4%,9.8,2.61%,2.08%,2.50%,0.87%,0.66%,87.54,89.22,6.12,95.34,5.6%,44%,25%,17%,0.23,-1.09,1.59,AA,5.0%,47,永鼎转债!
45,雅化转债!,128065,雅化集团,2497,石油天然气化工,96.851,0.09%,0.07%,6.06,0.66%,1.9,0.2%,8.96,2.11,-32.4%,67.63,43.2%,转股中,5.37年,3.37年,13.8%,9.3%,8.0,2.68%,2.27%,2.60%,2.00%,1.79%,87.54,86.15,7.01,93.16,4.0%,50%,24%,16%,0.24,-0.72,1.21,AA,5.0%,47,雅化转债!
46,创维转债!,127013,创维数字,810,电子,109.28,0.49%,-0.34%,10.46,0.29%,1.2,0.1%,11.49,3.23,-9.0%,91.04,20.0%,转股中,5.36年,3.36年,9.4%,8.6%,10.4,1.52%,0.91%,1.40%,-1.46%,-1.67%,87.55,91.55,17.17,108.72,0.5%,47%,17%,16%,0.52,0.08,0.95,AA,5.0%,42,创维转债!
47,核能转债!,113026,中国核电,601985,能源电力,105.11,0.10%,0.27%,4.87,1.04%,19.0,0.2%,6.2,1.58,-21.5%,78.55,33.8%,转股中,5.36年,3.36年,10.3%,8.1%,78.0,0.87%,0.51%,0.80%,-0.44%,-0.63%,90.23,89.49,8.95,98.43,6.8%,18%,23%,15%,0.36,-0.97,1.73,AAA,4.0%,42,核能转债!
48,明泰转债!,113025,明泰铝业,601677,有色金属,108.88,-0.11%,0.61%,10.65,0.85%,0.3,0.0%,11.3,0.93,-5.8%,94.25,15.5%,转股中,5.35年,3.35年,28.0%,26.4%,18.4,1.13%,0.61%,1.03%,-1.36%,-1.56%,87.64,89.46,20.47,109.93,-1.0%,29%,17%,16%,0.58,0.41,0.76,AA,5.0%,53,明泰转债!
49,鼎胜转债!,113534,鼎胜新材,603876,有色金属,99.18,-0.12%,-0.15%,12.45,-0.64%,4.1,0.3%,15.28,1.42,-18.5%,81.48,21.7%,转股中,5.35年,3.35年,23.4%,19.1%,12.5,2.92%,2.38%,2.81%,1.32%,1.10%,87.62,89.31,12.43,101.74,-2.5%,52%,14%,16%,0.42,0.62,0.25,AA,5.0%,60,鼎胜转债!
50,核建转债!,113024,中国核建,601611,建筑,103.0,0.22%,-0.36%,6.89,-0.58%,2.0,0.1%,9.87,1.89,-30.2%,69.81,47.5%,转股中,5.34年,3.34年,16.6%,11.6%,30.0,1.24%,0.89%,1.17%,0.11%,-0.08%,90.20,89.46,5.97,95.43,7.9%,33%,29%,16%,0.24,-1.28,1.82,AAA,4.0%,37,核建转债!
51,司尔转债!,128064,司尔特,2538,石油天然气化工,97.146,-0.14%,0.14%,4.56,0.00%,0.3,0.0%,6.15,0.9,-25.9%,74.15,31.0%,转股中,5.34年,3.34年,24.4%,18.1%,8.0,3.33%,2.79%,3.22%,1.93%,1.71%,87.63,89.32,8.65,97.97,-0.8%,34%,16%,16%,0.32,0.2,0.45,AA,5.0%,57,司尔转债!
52,未来转债,128063,德尔未来,2631,其他,102.6,0.00%,0.21%,7.01,0.57%,4.3,0.7%,8.67,2.71,-19.1%,80.85,26.9%,转股中,5.33年,4.33年,13.4%,10.9%,6.3,4.47%,3.54%,4.28%,1.46%,1.06%,84.67,95.17,12.12,107.3,-4.4%,48%,11%,16%,0.36,0.73,0.03,AA-,6.0%,51,未来转债
53,参林转债,113533,大参林,603233,医药,141.15,2.62%,-0.33%,51.27,2.54%,36.0,8.8%,36.5,7.95,40.5%,140.47,0.5%,转股中,5.33年,3.33年,1.1%,1.5%,2.9,-4.13%,-4.54%,-4.21%,-8.52%,-8.69%,87.59,87.74,59.59,147.33,-4.2%,49%,<2%,16%,0.9,1.68,0.19,AA,5.0%,29,参林转债
54,海环转债!,113532,海峡环保,603817,城市公用设施,102.74,-0.24%,0.11%,6.22,-0.32%,0.1,0.0%,7.75,1.76,-19.7%,80.26,28.0%,转股中,5.33年,3.33年,16.4%,13.2%,4.6,1.89%,1.42%,1.80%,0.30%,0.08%,87.70,87.85,13.1,100.95,1.8%,48%,21%,17%,0.43,-0.26,1.12,AA,5.0%,36,海环转债!
55,亚药转债!,128062,亚太药业,2370,医药,90.165,1.25%,-1.10%,6.95,9.97%,15.0,1.7%,16.25,1.5,-57.2%,42.77,111%,转股中,5.33年,3.33年,25.9%,11.1%,9.7,5.64%,4.93%,5.50%,4.10%,3.88%,87.51,93.05,0.29,93.35,-3.4%,61%,<2%,16%,0.01,0.7,-0.61,AA,5.0%,100,亚药转债!
56,现代转债,110057,现代制药,600420,医药,107.59,0.08%,-0.24%,8.43,-0.35%,0.5,0.0%,9.99,1.22,-15.6%,84.38,27.5%,转股中,5.32年,3.32年,18.7%,15.8%,16.2,0.60%,0.21%,0.52%,-1.11%,-1.30%,90.37,90.43,12.28,102.72,4.7%,48%,23%,16%,0.44,-0.56,1.46,AAA,4.0%,35,现代转债
57,百姓转债,113531,老百姓,603883,医药,120.95,-0.07%,-0.37%,66.3,-0.60%,0.1,0.0%,60.09,5.74,10.3%,110.33,9.6%,转股中,4.32年,2.32年,1.7%,1.9%,3.3,-1.66%,-2.17%,-1.76%,-6.77%,-6.89%,90.13,91.41,27.79,119.2,1.5%,36%,19%,16%,0.73,0.22,1.23,AA,5.0%,20,百姓转债
58,精测转债!,123025,精测电子,300567,电子,109.682,0.63%,0.39%,41.93,2.09%,0.4,0.1%,50.25,7.76,-16.6%,83.44,31.4%,转股中,5.32年,3.32年,3.6%,3.0%,3.8,1.38%,0.78%,1.26%,-1.50%,-1.72%,85.25,87.05,16.75,103.8,5.7%,73%,27%,17%,0.48,-1.2,2.24,AA-,6.0%,24,精测转债!
59,启明转债,128061,启明星辰,2439,通信互联网,124.9,-0.37%,-0.27%,30.72,-0.90%,0.2,0.0%,28.29,7.75,8.6%,108.59,15.0%,转股中,5.31年,3.31年,3.8%,4.1%,10.5,-1.04%,-1.63%,-1.15%,-5.24%,-5.43%,87.77,91.78,29.39,121.17,3.1%,40%,21%,16%,0.7,-0.22,1.63,AA,5.0%,28,启明转债
60,大丰转债!,113530,大丰实业,603081,建筑,109.18,0.00%,-0.04%,17.37,-0.06%,2.1,0.3%,16.76,3.78,3.6%,103.64,5.3%,转股中,5.31年,3.31年,9.0%,9.4%,6.3,2.16%,1.43%,2.01%,-1.43%,-1.64%,87.87,94.66,24.3,118.96,-8.2%,52%,5%,16%,0.62,2.13,-0.7,AA,5.0%,52,大丰转债!
61,中装转债!!,128060,中装建设,2822,建筑,138.0,-0.80%,-0.01%,8.55,-0.81%,5.5,4.5%,6.19,2.18,38.1%,138.13,-0.1%,转股中,5.31年,3.31年,1.5%,2.1%,0.9,-3.72%,-4.14%,-3.80%,-7.95%,-8.13%,87.79,87.93,50.19,138.13,-0.1%,64%,<2%,17%,1.0,1.02,0.98,AA,5.0%,50,中装转债!!
62,招路转债,127012,招商公路,1965,机场高速港口,108.00299999999999,-0.46%,1.19%,8.27,1.35%,70.0,1.3%,9.09,1.08,-9.0%,90.98,18.7%,转股中,5.30年,3.30年,9.8%,8.9%,50.0,0.05%,-0.24%,-0.01%,-1.63%,-1.74%,89.15,88.19,15.87,104.06,3.8%,33%,23%,15%,0.54,-0.3,1.4,AAA,4.0%,55,招路转债
63,岱勒转债!,123024,岱勒新材,300700,机械装备制造,98.37899999999999,-0.05%,-0.01%,18.53,-0.16%,0.1,0.1%,24.9,2.94,-25.6%,74.42,32.2%,转股中,4.29年,2.29年,13.8%,10.2%,2.1,3.41%,2.82%,3.29%,1.55%,1.37%,85.60,83.49,12.01,95.5,3.0%,64%,24%,18%,0.35,-0.78,1.49,A+,7.5%,34,岱勒转债!
64,迪森转债!,123023,迪森股份,300335,能源电力,98.0,-0.11%,-0.15%,5.5,-0.72%,8.9,1.5%,7.19,1.46,-23.5%,76.5,28.1%,转股中,5.29年,4.29年,30.1%,23.0%,6.0,3.19%,2.64%,3.08%,1.72%,1.47%,85.30,89.55,11.05,100.6,-2.6%,39%,15%,18%,0.36,0.59,0.15,AA,5.0%,46,迪森转债!
65,亨通转债!,110056,亨通光电,600487,通信互联网,110.1,-0.81%,0.21%,15.05,-1.05%,4.4,0.2%,15.68,2.19,-4.0%,95.98,14.7%,转股中,5.29年,3.29年,6.0%,5.8%,17.3,0.86%,0.34%,0.76%,-1.76%,-1.96%,89.12,91.6,19.59,111.19,-1.0%,45%,16%,16%,0.57,0.56,0.6,AA+,4.5%,56,亨通转债!
66,通威转债,110054,通威股份,600438,农业,125.1,-0.36%,-0.37%,13.55,-1.02%,8.1,0.1%,12.28,3.22,10.3%,110.34,13.4%,转股中,5.29年,3.29年,9.5%,10.5%,50.0,-1.51%,-2.03%,-1.62%,-5.25%,-5.45%,89.61,92.1,29.96,122.06,2.5%,48%,20%,16%,0.71,0.06,1.37,AA+,4.5%,18,通威转债
67,长信转债!,123022,长信科技,300088,通信互联网,127.65899999999999,-0.27%,-0.68%,7.97,-1.12%,14.0,1.0%,6.25,3.44,27.5%,127.52,0.1%,转股中,5.29年,3.29年,6.1%,7.8%,11.2,-1.94%,-2.44%,-2.04%,-5.88%,-6.07%,87.88,89.57,46.48,136.05,-6.2%,64%,<2%,16%,0.85,2.01,-0.2,AA,5.0%,20,长信转债!
68,伊力转债,110055,伊力特,600197,食品饮料,109.96,0.69%,-0.09%,15.1,1.21%,0.5,0.0%,17.25,2.62,-12.5%,87.54,25.6%,转股中,5.28年,3.28年,13.2%,11.5%,8.8,0.96%,0.42%,0.85%,-1.62%,-1.84%,88.11,89.8,15.79,105.59,4.1%,42%,23%,16%,0.5,-0.64,1.66,AA,5.0%,26,伊力转债
