序号,转债名称,转债代码,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌.1,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度,转债名称.1
1,川投转债,110061,川投能源,600674,能源电力,113.98,0.00%,0.06%,9.72,0.10%,33.0,0.7%,9.92,1.64,-2.0%,97.98,16.3%,5月12天,5.94年,3.94年,9.3%,9.2%,40.0,-0.45%,-0.79%,-0.52%,-2.34%,-2.50%,88.22,88.28,22.87,111.16,2.5%,17%,18%,16%,0.63,0.02,1.24,AAA,4.0%,13,川投转债
2,通光转债,123034,通光线缆,300265,通信互联网,100.88799999999999,-0.05%,-0.14%,7.61,-0.26%,4.2,1.4%,7.98,2.51,-4.6%,95.36,5.8%,5月5天,5.92年,3.92年,11.6%,11.0%,3.0,2.81%,2.24%,2.70%,0.75%,0.56%,77.66,77.91,32.96,110.87,-9.0%,50%,5%,17%,0.71,1.6,-0.09,A+,7.5%,17,通光转债
3,金力转债,123033,金力永磁,300748,电子,107.23,1.23%,0.10%,40.67,2.01%,24.0,5.0%,41.2,14.38,-1.3%,98.71,8.6%,5月4天,5.91年,3.91年,2.6%,2.6%,4.4,2.25%,1.59%,2.12%,-0.43%,-0.68%,83.38,87.16,28.28,115.43,-7.1%,82%,7%,16%,0.66,1.55,-0.14,AA-,6.0%,10,金力转债
4,石英转债,113548,石英股份,603688,电子,114.2,0.65%,-1.03%,16.19,-0.55%,4.7,1.2%,15.25,3.81,6.2%,106.16,7.6%,4月28天,5.90年,3.90年,6.6%,7.0%,3.6,1.55%,0.83%,1.40%,-2.13%,-2.35%,82.84,89.15,32.96,122.11,-6.5%,52%,7%,17%,0.69,1.48,-0.02,AA-,6.0%,12,石英转债
5,天路转债,110060,西藏天路,600326,建筑,107.4,0.21%,-0.39%,6.81,-0.29%,15.0,1.3%,7.24,1.73,-5.9%,94.06,14.2%,4月29天,5.90年,3.90年,18.4%,17.3%,10.9,1.23%,0.76%,1.14%,-0.84%,-1.02%,85.29,86.93,22.35,109.28,-1.7%,46%,14%,16%,0.6,0.56,0.65,AA,5.0%,8,天路转债
6,浦发转债,110059,浦发银行,600000,金融,104.26,-0.15%,-0.28%,11.71,-1.26%,175.0,0.3%,15.05,0.72,-22.2%,77.81,34.0%,5月1天,5.90年,无权,14.5%,11.3%,500.0,2.14%,1.59%,2.03%,无权,无权,无权,93.98,9.83,103.81,0.4%,22%,18%,17%,0.34,0.18,0.51,AAA,4.0%,38,浦发转债
7,北方转债,127014,北方国际,65,建筑,107.771,0.00%,-0.40%,7.96,-0.75%,1.8,0.3%,8.84,1.33,-10.0%,90.05,19.7%,4月27天,5.89年,3.89年,9.4%,8.5%,5.8,1.22%,0.74%,1.13%,-0.86%,-1.05%,87.26,89.68,18.51,108.19,-0.4%,49%,17%,17%,0.53,0.36,0.71,AA+,4.5%,15,北方转债
8,索发转债,113547,索通发展,603612,其他,106.16,-0.29%,0.35%,9.85,0.10%,4.4,0.4%,10.67,1.34,-7.7%,92.31,15.0%,4月27天,5.89年,3.89年,28.5%,26.3%,9.5,2.01%,1.43%,1.90%,-0.41%,-0.62%,85.89,89.91,20.82,110.73,-4.1%,63%,13%,17%,0.55,1.03,0.12,AA,5.0%,10,索发转债
9,迪贝转债!,113546,迪贝电气,603320,家电,99.32,0.29%,0.43%,16.18,1.19%,4.3,1.9%,18.45,2.52,-12.3%,87.7,13.3%,4月26天,5.89年,3.89年,14.2%,12.5%,2.3,3.50%,2.85%,3.37%,1.26%,1.04%,78.19,79.87,27.06,106.93,-7.1%,55%,10%,18%,0.61,0.99,0.26,A+,7.5%,16,迪贝转债!
10,英联转债,128079,英联股份,2846,造纸包装印刷,105.9,-0.08%,-0.09%,14.1,-0.21%,5.0,2.2%,13.54,4.32,4.1%,104.14,1.7%,4月24天,5.88年,3.88年,7.8%,8.1%,2.1,1.88%,1.33%,1.77%,-0.43%,-0.63%,77.89,77.72,40.8,118.52,-10.7%,65%,<2%,18%,0.78,2.21,-0.49,A+,7.5%,21,英联转债
