序号,转债名称,转债代码,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌.1,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,股票市值,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,信用,折现率,热门度,转债名称.1
22,索发转债,113547,索通发展,603612,其他,121.32,-1.04%,-0.21%,12.09,-1.71%,15.0,1.3%,119.1,10.67,1.64,113.31,7.1%,3月22天,5.79年,3.79年,23.2%,26.3%,9.5,41,-0.32%,-0.89%,-3.76%,-3.96%,86.29,90.34,35.77,126.11,-3.8%,62%,11%,17%,0.73,AA,5.0%,9,索发转债
23,迪贝转债!,113546,迪贝电气,603320,家电,104.32,-0.99%,-0.28%,16.71,-1.99%,13.0,5.5%,121.1,18.45,2.61,90.57,15.2%,3月21天,5.79年,3.79年,13.8%,12.5%,2.3,17,2.67%,2.02%,0.03%,-0.19%,78.74,80.43,28.66,109.09,-4.4%,54%,13%,18%,0.63,A+,7.5%,26,迪贝转债!
24,英联转债,128079,英联股份,2846,造纸包装印刷,128.334,-1.20%,-0.85%,19.14,-2.25%,8.2,3.0%,117.9,13.54,5.86,141.36,-9.2%,3月19天,5.78年,3.78年,5.7%,8.1%,2.1,37,-1.48%,-2.01%,-5.21%,-5.39%,78.44,78.27,71.93,150.21,-14.6%,64%,<2%,18%,0.91,A+,7.5%,19,英联转债
25,太极转债,128078,太极股份,2368,计算机及应用,135.2,-1.22%,-2.03%,38.38,-4.03%,8.1,0.6%,117.3,31.61,5.58,121.42,11.4%,3月19天,5.78年,3.78年,6.3%,7.7%,10.0,158,-2.47%,-2.97%,-6.53%,-6.69%,85.77,88.93,42.24,131.17,3.1%,45%,19%,16%,0.81,AA,5.0%,14,太极转债
26,华夏转债,128077,华夏航空,2928,交通运输,121.256,-1.26%,0.32%,12.04,-1.23%,3.9,0.4%,120.8,10.52,2.97,114.45,5.9%,3月14天,5.77年,3.77年,10.9%,12.5%,7.9,72,-0.07%,-0.68%,-3.83%,-4.02%,83.02,86.92,40.82,127.74,-5.1%,56%,11%,18%,0.76,AA-,6.0%,19,华夏转债
27,金轮转债,128076,金轮股份,2722,机械装备制造,111.91,-1.52%,-0.13%,15.68,-2.24%,9.0,3.7%,115.3,14.96,1.46,104.81,6.8%,3月12天,5.76年,3.76年,7.8%,8.2%,2.1,28,0.53%,0.05%,-1.91%,-2.09%,82.75,82.95,34.67,117.62,-4.9%,43%,10%,17%,0.74,AA-,6.0%,21,金轮转债
28,金能转债,113545,金能科技,603113,煤炭,112.95,-1.12%,-0.14%,10.95,-2.06%,52.0,3.1%,115.3,11.4,1.36,96.05,17.6%,3月10天,5.76年,3.76年,20.3%,19.5%,15.0,74,0.36%,-0.11%,-2.15%,-2.33%,85.85,87.5,24.02,111.52,1.3%,46%,20%,17%,0.61,AA,5.0%,14,金能转债
29,万里转债!,123032,万里马,300591,服装纺织,105.8,-2.15%,0.35%,6.27,-3.24%,38.0,20.2%,132.8,6.92,3.88,90.61,16.8%,3月9天,5.76年,3.76年,9.2%,8.3%,1.8,20,4.18%,3.21%,0.51%,0.12%,81.74,88.92,26.36,115.29,-8.2%,54%,8%,18%,0.56,A+,7.5%,33,万里转债!
30,游族转债!,128074,游族网络,2174,通信互联网,159.3,-2.39%,-0.40%,28.0,-3.01%,115.0,6.2%,120.3,17.06,4.69,164.13,-2.9%,2月18天,5.71年,3.71年,4.6%,7.6%,12.0,249,-4.88%,-5.44%,-10.2%,-10.3%,86.09,91.54,79.21,170.74,-6.7%,43%,<2%,17%,0.92,AA,5.0%,21,游族转债!
31,远东转债,128075,远东传动,2406,汽车,118.4,0.38%,-0.15%,6.09,0.33%,14.0,1.4%,115.2,5.79,1.31,105.18,12.6%,2月18天,5.71年,3.71年,26.2%,27.5%,8.9,34,-0.49%,-0.96%,-3.39%,-3.57%,86.00,87.65,30.58,118.24,0.1%,30%,18%,17%,0.69,AA,5.0%,15,远东转债
32,桃李转债,113544,桃李面包,603866,食品饮料,117.54,-0.87%,0.44%,41.5,-0.84%,15.0,1.3%,115.3,47.54,7.92,87.29,34.6%,2月17天,5.70年,3.70年,3.7%,3.2%,10.0,273,-0.34%,-0.82%,-3.20%,-3.37%,86.13,87.79,17.06,104.84,12.1%,39%,34%,16%,0.52,AA,5.0%,15,桃李转债
33,晶瑞转债,123031,晶瑞股份,300655,石油天然气化工,154.0,-3.02%,1.32%,31.46,-1.78%,17.0,6.0%,116.2,18.38,9.16,171.16,-10.0%,56天,5.64年,3.64年,3.9%,6.6%,1.9,48,-4.95%,-5.42%,-9.95%,-10.1%,78.98,77.91,99.47,177.38,-13.2%,68%,<2%,18%,0.96,A+,7.5%,19,晶瑞转债
34,哈尔转债,128073,哈尔斯,2615,其他,108.461,-1.14%,-0.13%,5.53,-2.12%,6.8,2.1%,115.7,5.8,2.58,95.34,13.8%,50天,4.62年,2.62年,13.2%,12.6%,3.0,23,1.43%,0.82%,-2.04%,-2.21%,87.20,88.74,21.57,110.31,-1.7%,41%,15%,17%,0.6,AA-,6.0%,23,哈尔转债
35,九洲转债,123030,九洲电气,300040,能源电力,109.7,-0.36%,0.14%,5.73,-0.35%,4.2,1.3%,120.5,5.7,1.02,100.53,9.1%,49天,5.61年,3.61年,15.7%,15.8%,3.1,20,1.72%,1.08%,-1.42%,-1.62%,83.66,87.47,29.36,116.83,-6.1%,40%,11%,18%,0.65,AA-,6.0%,25,九洲转债
36,翔鹭转债!,128072,翔鹭钨业,2842,有色金属,110.93299999999999,-1.12%,-0.37%,12.43,-3.04%,0.6,0.2%,115.5,15.36,4.08,80.92,37.1%,48天,5.61年,3.61年,8.8%,7.2%,3.0,34,0.74%,0.24%,-1.75%,-1.94%,83.50,83.83,17.74,101.57,9.2%,67%,31%,18%,0.49,AA-,6.0%,14,翔鹭转债!
37,英科转债,123029,英科医疗,300677,医药,128.61,-0.92%,-0.05%,20.88,-1.28%,55.0,9.1%,138.7,16.25,3.01,128.49,0.1%,46天,5.60年,3.60年,11.4%,14.6%,4.7,41,1.40%,0.33%,-4.65%,-5.01%,86.87,101.13,44.69,145.82,-11.8%,68%,<2%,17%,0.75,AA-,6.0%,24,英科转债
38,合兴转债,128071,合兴包装,2228,造纸包装印刷,112.5,-0.16%,-1.19%,4.05,-2.41%,7.2,1.1%,115.1,4.38,1.65,92.47,21.7%,46天,5.60年,3.60年,12.6%,11.6%,6.0,47,0.42%,-0.07%,-2.18%,-2.36%,86.34,88.01,21.79,109.8,2.5%,35%,21%,18%,0.56,AA,5.0%,18,合兴转债
39,欧派转债,113543,欧派家居,603833,其他,126.61,-0.46%,0.33%,116.4,-0.17%,9.9,0.5%,115.3,101.46,5.58,114.73,10.4%,46天,5.60年,4.60年,3.1%,3.5%,15.0,489,-1.69%,-2.16%,-3.78%,-3.99%,84.01,88.2,36.98,125.18,1.1%,40%,20%,16%,0.78,AA,5.0%,16,欧派转债
40,好客转债,113542,好莱客,603898,其他,113.9,-0.59%,-0.34%,16.02,-1.54%,6.8,1.0%,115.3,16.62,2.05,96.39,18.2%,29天,5.56年,3.56年,12.7%,12.2%,6.3,50,0.22%,-0.27%,-2.48%,-2.67%,86.71,88.37,23.48,111.85,1.8%,31%,20%,17%,0.61,AA,5.0%,17,好客转债
41,荣晟转债!,113541,荣晟环保,603165,造纸包装印刷,106.73,-0.48%,-0.58%,17.26,-1.76%,46.0,13.0%,115.5,18.72,2.29,92.2,15.8%,20天,5.54年,3.54年,10.8%,9.9%,3.3,31,1.47%,0.96%,-0.71%,-0.91%,84.04,84.24,24.99,109.23,-2.3%,55%,15%,18%,0.61,AA-,6.0%,38,荣晟转债!
42,南威转债,113540,南威软件,603636,计算机及应用,126.67,-0.02%,-0.91%,11.9,-1.16%,14.0,1.7%,118.0,10.13,3.57,117.47,7.8%,10天,5.52年,3.52年,10.5%,12.4%,6.6,63,-1.30%,-1.86%,-5.25%,-5.44%,84.21,86.18,43.58,129.77,-2.4%,87%,14%,18%,0.79,AA-,6.0%,19,南威转债
43,圣达转债,113539,圣达生物,603079,医药,126.49,-0.77%,-0.14%,36.9,-1.05%,40.0,10.6%,121.6,28.78,5.03,128.21,-1.3%,0.1天,5.48年,3.48年,7.2%,9.3%,3.0,41,-0.73%,-1.40%,-5.10%,-5.33%,80.79,82.63,56.41,139.04,-9.0%,64%,<2%,17%,0.87,A+,7.5%,30,圣达转债
44,智能转债!,128070,智能自控,2877,机械装备制造,104.912,-1.21%,-1.13%,8.52,-3.73%,6.4,2.6%,118.1,9.55,4.14,89.21,17.6%,转股中,5.48年,无权,8.1%,7.2%,2.3,28,2.24%,1.64%,无权,无权,无权,80.23,27.12,107.35,-2.3%,72%,15%,18%,0.63,A+,7.5%,27,智能转债!
45,安图转债,113538,安图生物,603658,医药,147.91,-0.10%,-0.43%,94.98,-0.58%,56.0,6.4%,115.1,64.11,18.72,148.15,-0.2%,转股中,5.47年,3.47年,1.5%,2.2%,6.0,399,-4.56%,-5.01%,-9.40%,-9.57%,86.91,88.59,66.01,154.59,-4.3%,42%,<2%,16%,0.92,AA,5.0%,16,安图转债
46,华森转债!,128069,华森制药,2907,医药,107.5,-0.44%,-0.36%,16.46,-1.44%,4.1,1.3%,120.5,18.08,6.93,91.04,18.1%,转股中,5.46年,3.46年,4.5%,4.1%,3.0,66,2.16%,1.49%,-0.92%,-1.13%,84.43,88.27,20.42,108.69,-1.1%,65%,15%,16%,0.56,AA-,6.0%,33,华森转债!
47,清水转债,123028,清水源,300437,城市公用设施,105.4,-0.75%,-0.19%,10.52,-1.87%,3.5,0.7%,122.4,11.95,1.55,88.03,19.7%,转股中,5.44年,3.44年,21.3%,18.8%,4.9,23,2.86%,2.13%,-0.02%,-0.31%,85.62,89.91,19.96,109.87,-4.1%,37%,13%,18%,0.5,AA-,6.0%,32,清水转债
48,环境转债,113028,上海环境,601200,城市公用设施,126.42,0.36%,0.17%,11.83,0.68%,21.0,0.8%,111.0,10.44,1.71,113.31,11.6%,转股中,5.44年,3.44年,20.1%,22.7%,22.0,108,-2.40%,-2.76%,-5.44%,-5.61%,88.42,87.75,35.18,122.93,2.8%,41%,22%,16%,0.77,AAA,4.5%,15,环境转债
49,华钰转债,113027,华钰矿业,601020,有色金属,108.35,0.54%,1.33%,9.61,3.22%,20.0,2.9%,115.2,10.17,2.36,94.49,14.7%,转股中,5.43年,3.43年,12.7%,12.0%,6.4,51,1.16%,0.65%,-1.22%,-1.42%,87.17,88.85,21.72,110.57,-2.0%,44%,17%,17%,0.58,AA,5.0%,42,华钰转债
50,蓝晓转债,123027,蓝晓科技,300487,石油天然气化工,128.601,-0.14%,0.61%,38.3,0.52%,3.8,0.9%,120.0,29.58,6.76,129.48,-0.7%,转股中,5.42年,3.42年,4.3%,5.6%,3.4,79,-1.30%,-1.92%,-5.58%,-5.82%,81.23,81.91,58.24,140.15,-8.2%,77%,<2%,17%,0.88,A+,7.5%,19,蓝晓转债
51,文灿转债!,113537,文灿股份,603348,汽车,130.93,0.73%,-1.31%,26.32,-0.68%,419.0,45.1%,122.0,19.93,2.86,132.06,-0.9%,转股中,5.42年,3.42年,12.2%,16.2%,7.1,58,-1.33%,-2.00%,-6.06%,-6.30%,85.39,89.68,53.23,142.91,-8.4%,57%,<2%,17%,0.85,AA-,6.0%,37,文灿转债!
52,中环转债,123026,中环环保,300692,城市公用设施,111.02,-0.88%,-0.67%,12.52,-2.26%,3.6,1.4%,111.1,12.31,2.48,101.71,9.2%,转股中,4.42年,2.42年,11.3%,11.5%,2.3,21,0.02%,-0.45%,-2.78%,-3.02%,88.94,86.34,28.44,114.77,-3.3%,67%,13%,18%,0.68,AA-,6.0%,30,中环转债
53,和而转债!,128068,和而泰,2402,电子,150.899,-0.40%,-1.11%,13.69,-1.51%,47.0,8.7%,113.3,9.09,6.45,150.61,0.2%,转股中,5.40年,3.40年,3.0%,4.5%,3.6,119,-5.26%,-5.66%,-10.0%,-10.2%,84.51,83.25,67.35,150.6,0.2%,41%,<2%,16%,1.0,AA-,6.0%,23,和而转债!
54,三星转债,113536,三星新材,603578,家电,112.04,-1.49%,0.69%,20.69,-1.19%,3.2,1.5%,115.2,19.75,3.21,104.76,6.9%,转股中,5.39年,3.39年,10.4%,10.9%,1.9,19,0.53%,0.02%,-2.17%,-2.37%,87.33,89.02,29.77,118.79,-5.7%,48%,11%,18%,0.67,AA,5.0%,41,三星转债
55,大业转债!,113535,大业股份,603278,汽车,102.17,-0.01%,-0.57%,9.28,-2.11%,7.1,1.4%,113.5,12.56,1.69,73.89,38.3%,转股中,4.33年,2.33年,18.6%,13.7%,5.0,27,2.49%,1.91%,0.03%,-0.15%,90.59,92.16,7.16,99.32,2.9%,47%,23%,18%,0.28,AA,5.0%,32,大业转债!
56,一心转债,128067,一心堂,2727,医药,115.1,-0.84%,0.09%,23.92,-1.44%,4.0,0.6%,113.2,27.28,3.11,87.68,31.3%,转股中,5.28年,3.28年,4.4%,3.9%,6.0,136,-0.32%,-0.77%,-3.01%,-3.21%,87.82,87.97,16.51,104.48,10.2%,37%,31%,16%,0.52,AA,5.0%,15,一心转债
57,亚泰转债!,128066,亚泰国际,2811,建筑,113.2,-1.57%,-0.37%,15.62,-2.68%,4.4,0.8%,118.0,14.8,1.94,105.54,7.3%,转股中,5.27年,3.27年,17.1%,18.0%,4.8,28,0.81%,0.20%,-2.38%,-2.61%,85.64,87.45,31.34,118.79,-4.7%,42%,9%,16%,0.73,AA-,6.0%,43,亚泰转债!
58,永鼎转债!,110058,永鼎股份,600105,通信互联网,106.53,-1.07%,-0.89%,4.54,-3.81%,22.0,2.1%,115.3,5.1,2.04,89.02,19.7%,转股中,5.27年,3.27年,17.3%,15.4%,9.8,57,1.54%,1.01%,-0.76%,-0.97%,87.95,89.65,17.44,107.08,-0.5%,44%,16%,17%,0.51,AA,5.0%,51,永鼎转债!
59,雅化转债!,128065,雅化集团,2497,石油天然气化工,116.90100000000001,0.17%,1.27%,8.72,2.23%,65.0,7.0%,111.3,8.96,3.04,97.32,20.1%,转股中,5.27年,3.27年,9.6%,9.3%,8.0,84,-0.95%,-1.33%,-3.44%,-3.64%,87.95,86.56,23.95,110.5,5.8%,50%,27%,16%,0.65,AA,5.0%,38,雅化转债!
60,创维转债!,127013,创维数字,810,电子,130.3,-3.57%,-1.13%,14.55,-5.70%,83.0,6.2%,118.3,11.49,4.49,126.63,2.9%,转股中,5.27年,3.27年,6.5%,8.3%,10.0,154,-1.85%,-2.44%,-6.47%,-6.66%,87.97,91.98,43.8,135.78,-4.0%,48%,<2%,16%,0.82,AA,5.0%,35,创维转债!
61,核能转债!,113026,中国核电,601985,能源电力,109.8,-0.27%,-0.28%,5.07,-1.36%,54.0,0.6%,110.0,6.2,1.64,81.77,34.3%,转股中,5.27年,3.27年,9.9%,8.1%,78.0,789,0.04%,-0.32%,-1.72%,-1.91%,90.57,89.83,10.4,100.23,9.6%,18%,26%,15%,0.4,AAA,4.0%,36,核能转债!
62,明泰转债!,113025,明泰铝业,601677,有色金属,116.01,-0.68%,-0.60%,11.31,-1.99%,21.0,1.0%,115.5,11.3,0.99,100.09,15.9%,转股中,5.25年,3.25年,26.4%,26.4%,18.0,70,-0.09%,-0.61%,-3.23%,-3.43%,88.05,89.88,24.12,114.0,1.8%,28%,19%,16%,0.64,AA,5.0%,42,明泰转债!
63,鼎胜转债!,113534,鼎胜新材,603876,有色金属,114.39,-0.24%,-1.40%,15.75,-2.42%,46.0,3.4%,115.3,15.28,1.8,103.08,11.0%,转股中,5.25年,3.25年,17.6%,18.1%,12.0,68,0.15%,-0.37%,-2.83%,-3.04%,88.04,89.73,26.38,116.11,-1.5%,53%,13%,16%,0.68,AA,5.0%,61,鼎胜转债!
64,核建转债!,113024,中国核建,601611,建筑,107.81,-0.27%,-0.07%,7.16,-1.24%,25.0,0.8%,109.9,9.87,1.97,72.54,48.6%,转股中,5.25年,3.25年,15.9%,11.6%,30.0,188,0.37%,0.02%,-1.23%,-1.42%,90.55,89.8,6.96,96.76,11.4%,32%,32%,16%,0.27,AAA,4.0%,37,核建转债!
65,司尔转债!,128064,司尔特,2538,石油天然气化工,101.88,-0.55%,-0.27%,4.81,-2.24%,11.0,1.3%,115.3,6.15,0.95,78.21,30.3%,转股中,5.25年,3.25年,23.2%,18.1%,8.0,35,2.44%,1.89%,0.55%,0.34%,88.05,89.74,10.4,100.14,1.7%,32%,19%,16%,0.37,AA,5.0%,50,司尔转债!
66,未来转债,128063,德尔未来,2631,其他,112.098,0.39%,-0.11%,8.58,0.47%,5.2,0.7%,128.7,8.67,3.31,98.96,13.3%,转股中,5.23年,4.23年,11.0%,10.9%,6.3,57,2.75%,1.82%,-0.57%,-0.97%,85.16,95.71,23.01,118.72,-5.6%,48%,9%,16%,0.58,AA-,6.0%,40,未来转债
67,参林转债!,113533,大参林,603233,医药,143.69,0.29%,0.75%,52.65,1.04%,18.0,4.5%,113.2,36.5,8.16,144.25,-0.4%,转股中,5.23年,3.23年,1.0%,1.4%,2.8,284,-4.54%,-4.96%,-9.23%,-9.41%,88.01,88.16,56.09,144.25,-0.4%,48%,48%,16%,1.0,AA,5.0%,19,参林转债!
68,海环转债!,113532,海峡环保,603817,城市公用设施,107.88,-0.40%,-0.67%,6.61,-2.22%,3.1,0.6%,113.3,7.75,1.87,85.29,26.5%,转股中,5.23年,3.23年,15.5%,13.2%,4.6,30,0.96%,0.49%,-1.14%,-1.35%,88.12,88.27,15.68,103.95,3.8%,47%,22%,17%,0.48,AA,5.0%,30,海环转债!
69,亚药转债!,128062,亚太药业,2370,医药,90.01,0.23%,-0.28%,6.59,-2.08%,31.0,3.5%,120.1,16.25,1.42,40.55,122%,转股中,5.23年,3.23年,27.3%,11.1%,9.7,35,5.78%,5.06%,4.27%,4.05%,81.24,82.88,0.6,83.48,7.8%,62%,24%,16%,0.02,A+,7.5%,100,亚药转债!
70,现代转债,110057,现代制药,600420,医药,111.5,-0.54%,-0.39%,8.83,-1.89%,5.7,0.3%,111.0,9.99,1.28,88.39,26.1%,转股中,5.23年,3.23年,17.8%,15.8%,16.0,91,-0.09%,-0.47%,-2.19%,-2.38%,90.71,90.78,14.36,105.14,6.0%,48%,25%,16%,0.49,AAA,4.0%,25,现代转债
71,百姓转债,113531,老百姓,603883,医药,124.15,-0.71%,0.50%,64.63,-0.31%,1.6,0.4%,112.6,60.09,5.6,107.56,15.4%,转股中,4.22年,2.22年,1.8%,1.9%,3.3,185,-2.31%,-2.83%,-8.06%,-8.18%,90.56,91.84,25.32,117.17,6.0%,36%,27%,16%,0.7,AA,5.0%,15,百姓转债
72,精测转债!,123025,精测电子,300567,电子,124.541,-1.31%,-0.24%,53.2,-2.17%,7.6,1.6%,117.8,50.25,9.84,105.87,17.6%,转股中,5.22年,3.22年,2.9%,3.0%,3.8,131,-1.08%,-1.67%,-5.21%,-5.42%,85.73,87.54,32.1,119.64,4.1%,72%,24%,17%,0.72,AA-,6.0%,19,精测转债!
73,启明转债,128061,启明星辰,2439,通信互联网,132.2,-1.42%,0.47%,36.8,-1.13%,48.0,3.4%,118.3,28.29,9.28,130.08,1.6%,转股中,5.21年,3.21年,3.2%,4.1%,10.0,330,-2.15%,-2.74%,-6.98%,-7.17%,88.19,92.21,46.61,138.83,-4.8%,40%,<2%,16%,0.84,AA,5.0%,19,启明转债
74,大丰转债!,113530,大丰实业,603081,建筑,111.0,-0.50%,0.32%,14.88,-0.40%,5.3,0.8%,122.0,16.76,3.23,88.78,25.0%,转股中,5.21年,3.21年,10.5%,9.4%,6.3,60,1.87%,1.13%,-1.95%,-2.17%,88.29,95.11,14.37,109.48,1.4%,52%,20%,16%,0.45,AA,5.0%,37,大丰转债!
75,中装转债!!,128060,中装建设,2822,建筑,178.8,5.80%,1.64%,11.27,7.44%,134.0,165%,113.3,6.19,2.87,182.07,-1.8%,转股中,5.21年,3.21年,0.6%,1.1%,0.5,77,-8.53%,-8.92%,-14.5%,-14.7%,88.20,88.35,93.72,182.07,-1.8%,62%,<2%,17%,1.0,AA,5.0%,31,中装转债!!
76,招路转债,127012,招商公路,1965,机场高速港口,116.1,-0.77%,-0.11%,8.69,-1.47%,65.0,1.1%,108.3,9.09,1.13,95.6,21.4%,转股中,5.20年,3.20年,9.3%,8.9%,50.0,537,-1.34%,-1.64%,-3.78%,-3.89%,89.49,88.53,18.54,107.07,8.4%,32%,27%,15%,0.6,AAA,4.0%,42,招路转债
77,岱勒转债!,123024,岱勒新材,300700,机械装备制造,102.75,-0.42%,-0.58%,19.8,-2.37%,1.8,0.8%,113.4,24.9,3.14,79.52,29.2%,转股中,4.20年,2.20年,12.9%,10.2%,2.1,16,2.41%,1.82%,-0.25%,-0.43%,86.20,84.08,14.48,98.56,4.2%,63%,24%,18%,0.42,A+,7.5%,28,岱勒转债!
78,迪森转债!,123023,迪森股份,300335,能源电力,103.12,-0.08%,-0.57%,5.9,-1.50%,5.0,0.8%,115.3,7.19,1.56,82.06,25.7%,转股中,5.19年,4.19年,28.0%,23.0%,6.0,21,2.22%,1.67%,0.56%,0.31%,85.70,89.97,13.88,103.85,-0.7%,38%,17%,18%,0.43,AA,5.0%,40,迪森转债!
79,亨通转债!,110056,亨通光电,600487,通信互联网,124.0,-0.24%,-0.65%,16.88,-1.29%,12.0,0.6%,115.1,15.68,2.45,107.65,15.2%,转股中,5.19年,3.19年,5.4%,5.8%,17.0,321,-1.45%,-1.96%,-5.26%,-5.45%,89.50,92.0,27.6,119.59,3.7%,45%,22%,16%,0.69,AA+,4.5%,40,亨通转债!
80,通威转债,110054,通威股份,600438,农业,130.75,-0.08%,-1.48%,14.89,-1.97%,55.0,0.8%,115.6,12.28,3.54,121.25,7.8%,转股中,5.19年,3.19年,8.6%,10.5%,50.0,578,-2.40%,-2.91%,-6.65%,-6.85%,89.99,92.49,38.47,130.96,-0.2%,48%,14%,16%,0.79,AA+,4.5%,12,通威转债
81,长信转债!,123022,长信科技,300088,通信互联网,186.3,-2.97%,-1.04%,11.48,-4.17%,75.0,10.1%,115.3,6.25,4.96,183.68,1.4%,转股中,5.19年,3.19年,1.4%,2.6%,4.0,279,-8.98%,-9.43%,-15.6%,-15.7%,88.30,90.0,98.98,188.98,-1.4%,64%,<2%,16%,0.96,AA,5.0%,16,长信转债!
82,伊力转债,110055,伊力特,600197,食品饮料,113.71,-0.42%,-0.40%,15.84,-1.49%,8.5,0.8%,115.5,17.25,2.75,91.83,23.8%,转股中,5.18年,3.18年,12.7%,11.7%,8.8,69,0.31%,-0.23%,-2.66%,-2.88%,88.53,90.23,18.19,108.42,4.9%,42%,23%,16%,0.55,AA,5.0%,21,伊力转债
83,苏银转债,110053,江苏银行,600919,金融,117.6,-0.42%,-0.32%,7.13,-1.52%,204.0,0.9%,119.3,7.56,0.76,94.31,24.7%,转股中,5.18年,无权,24.3%,22.9%,200.0,823,0.29%,-0.37%,无权,无权,无权,97.93,17.65,115.58,1.7%,19%,19%,18%,0.49,AAA,4.0%,50,苏银转债
84,浙商转债!,113022,浙商证券,601878,金融,117.21,-0.98%,-1.03%,10.79,-4.17%,45.0,1.1%,110.0,12.46,2.55,86.6,35.4%,转股中,5.17年,无权,9.7%,8.4%,35.0,360,-1.24%,-1.59%,无权,无权,无权,90.16,15.08,105.24,11.4%,47%,33%,18%,0.48,AAA,4.0%,30,浙商转债!
85,视源转债,128059,视源股份,2841,电子,126.5,-0.44%,-0.12%,84.35,-0.74%,3.1,0.3%,114.3,75.72,12.24,111.4,13.6%,转股中,5.17年,3.17年,1.7%,1.9%,9.4,553,-1.98%,-2.46%,-5.82%,-6.01%,88.38,89.3,32.94,122.24,3.5%,51%,23%,16%,0.75,AA,5.0%,13,视源转债
86,中鼎转2!,127011,中鼎股份,887,汽车,118.09,3.42%,1.83%,10.92,9.97%,43.0,3.1%,115.7,11.79,1.55,92.62,27.5%,转股中,5年59天,3年59天,9.0%,8.3%,12.0,133,-0.40%,-0.94%,-3.78%,-4.00%,90.04,92.67,17.79,110.46,6.9%,35%,30%,17%,0.53,AA+,4.5%,18,中鼎转2!
87,拓邦转债,128058,拓邦股份,2139,电子,120.99799999999999,-0.82%,-0.66%,5.84,-2.34%,2.9,0.4%,123.0,5.54,2.53,105.42,14.8%,转股中,5年58天,3年58天,9.6%,10.2%,5.7,59,0.33%,-0.43%,-4.25%,-4.51%,89.40,96.24,24.95,121.19,-0.2%,54%,16%,16%,0.63,AA,5.0%,20,拓邦转债
88,博彦转债,128057,博彦科技,2649,计算机及应用,120.251,-1.75%,-0.82%,10.02,-3.28%,12.0,1.7%,117.6,8.81,2.01,113.73,5.7%,转股中,5年56天,3年56天,10.9%,12.3%,5.7,53,-0.44%,-1.04%,-4.31%,-4.53%,86.03,87.72,37.18,124.9,-3.7%,75%,<2%,16%,0.78,AA-,6.0%,40,博彦转债
89,贵广转债,110052,贵广网络,600996,传媒娱乐,122.33,-0.71%,-1.62%,8.47,-3.64%,24.0,1.3%,119.0,8.04,1.97,105.35,16.1%,转股中,5年56天,3年56天,17.1%,18.1%,15.0,89,-0.55%,-1.18%,-4.74%,-4.97%,90.34,95.37,24.34,119.7,2.2%,43%,18%,16%,0.64,AA+,4.5%,18,贵广转债
90,万信转2!,123021,万达信息,300168,计算机及应用,123.1,-1.36%,-0.92%,15.76,-3.02%,15.0,1.8%,118.3,13.6,4.78,115.88,6.2%,转股中,5年55天,3年55天,3.6%,4.2%,6.5,180,-0.78%,-1.39%,-5.06%,-5.27%,88.46,92.5,34.39,126.89,-3.0%,49%,10%,16%,0.76,AA,5.0%,23,万信转2!
91,中信转债,113021,中信银行,601998,金融,113.16,-0.47%,-0.02%,6.1,-1.29%,92.0,0.2%,119.1,7.22,0.69,84.49,33.9%,转股中,5年55天,无权,13.4%,11.3%,400.0,2985,1.03%,0.37%,无权,无权,无权,97.88,11.16,109.04,3.8%,22%,22%,17%,0.38,AAA,4.0%,45,中信转债
92,富祥转债,123020,富祥股份,300497,医药,127.2,-0.69%,-0.71%,18.63,-1.69%,2.7,0.6%,121.1,14.93,3.98,124.78,1.9%,转股中,5年51天,3年51天,6.8%,8.5%,3.5,51,-0.97%,-1.66%,-5.87%,-6.10%,86.39,90.43,44.8,135.23,-5.9%,57%,<2%,16%,0.83,AA-,6.0%,27,富祥转债
93,长城转债!,113528,长城科技,603897,机械装备制造,102.46,-0.85%,-0.42%,19.55,-2.88%,7.1,1.1%,118.1,24.03,1.97,81.36,25.9%,转股中,5年51天,3年51天,18.2%,14.8%,6.3,35,2.87%,2.23%,0.59%,0.32%,86.37,88.19,14.69,102.89,-0.4%,46%,17%,17%,0.44,AA-,6.0%,32,长城转债!
94,今飞转债!,128056,今飞凯达,2863,汽车,102.40100000000001,-0.21%,-0.24%,5.66,-0.88%,11.0,3.0%,121.6,6.78,2.14,83.48,22.7%,转股中,5年50天,3年50天,17.3%,14.4%,3.7,21,3.49%,2.73%,0.70%,0.42%,82.81,84.7,19.63,104.33,-1.8%,64%,15%,17%,0.52,A+,7.5%,51,今飞转债!
95,中天转债!,110051,中天科技,600522,通信互联网,110.44,-0.90%,0.14%,8.39,-1.87%,7.8,0.2%,114.3,10.19,1.28,82.34,34.1%,转股中,5年50天,3年50天,15.4%,12.7%,40.0,257,0.68%,0.18%,-1.88%,-2.09%,89.90,91.6,11.19,102.79,7.4%,34%,28%,16%,0.4,AA+,4.5%,32,中天转债!
