序号,转债名称,转债代码,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌.1,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,股票市值,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,信用,折现率,热门度,转债名称.1
182,久立转2!,128019,久立特材,2318,石油天然气化工,128.701,-0.57%,-2.14%,9.61,-3.32%,13.0,1.0%,109.8,7.92,2.6,121.34,6.1%,转股中,3.83年,1.83年,12.9%,15.6%,10.0,81,-4.12%,-4.57%,-10.8%,-11.0%,93.08,91.38,37.5,128.88,-0.1%,33%,13%,17%,0.82,AA,5.0%,15,久立转2!
183,时达转债!,128018,新时达,2527,机械装备制造,99.921,-0.13%,0.06%,5.35,-0.37%,11.0,1.3%,110.3,7.45,1.33,71.81,39.1%,转股中,3.83年,1.83年,26.5%,19.0%,8.8,33,2.67%,2.14%,1.44%,1.16%,93.33,91.84,5.19,97.03,3.0%,33%,24%,16%,0.19,AA,5.0%,40,时达转债!
184,小康转债!,113016,小康股份,601127,汽车,99.9,-0.25%,0.33%,11.6,0.61%,2.8,0.3%,110.3,17.12,2.21,67.76,47.4%,转股中,3.83年,1.83年,8.1%,5.5%,8.8,109,2.67%,2.15%,1.46%,1.17%,93.33,91.84,4.05,95.9,4.2%,30%,28%,16%,0.14,AA,5.0%,35,小康转债!
185,金禾转债!,128017,金禾实业,2597,石油天然气化工,124.976,0.78%,-0.97%,22.92,-0.30%,3.6,0.5%,109.8,22.96,3.18,99.83,25.2%,转股中,3.81年,1.81年,4.7%,4.7%,6.0,128,-3.39%,-3.84%,-9.56%,-9.78%,93.17,91.46,20.6,112.06,11.5%,35%,35%,17%,0.62,AA,5.0%,13,金禾转债!
186,林洋转债!,113014,林洋能源,601222,能源电力,103.86,-1.03%,1.07%,5.3,0.76%,25.0,0.8%,110.3,8.59,0.96,61.7,68.3%,转股中,3.80年,1.80年,32.2%,19.9%,30.0,93,1.63%,1.11%,-0.52%,-0.80%,93.46,91.97,2.85,94.82,9.5%,36%,39%,16%,0.06,AA,5.0%,24,林洋转债!
187,雨虹转债!,128016,东方雨虹,2271,建筑,129.8,-0.91%,1.00%,26.78,0.11%,9.2,0.4%,109.8,22.4,4.55,119.55,8.6%,转股中,3.71年,1.71年,4.6%,5.5%,18.0,398,-4.48%,-4.93%,-11.8%,-10.1%,94.47,93.53,33.31,126.83,2.3%,51%,25%,16%,0.8,AA+,4.5%,13,雨虹转债!
188,国君转债!,113013,国泰君安,601211,金融,123.0,-0.09%,-1.05%,18.63,-2.15%,174.0,2.0%,109.3,19.4,1.39,96.03,28.1%,转股中,3.49年,无权,4.2%,4.1%,70.0,1660,-3.39%,-3.86%,无权,无权,无权,95.58,14.58,110.16,11.7%,27%,32%,17%,0.53,AAA,4.0%,18,国君转债!
189,久其转债!,128015,久其软件,2279,计算机及应用,99.294,-0.05%,-0.27%,6.15,-3.76%,6.5,0.8%,111.8,9.48,4.57,64.87,53.1%,转股中,3.41年,1.41年,17.8%,11.6%,7.8,44,3.61%,2.94%,2.08%,1.75%,91.57,87.78,5.56,93.34,6.4%,45%,32%,17%,0.08,A+,7.5%,60,久其转债!
190,模塑转债!,127004,模塑科技,700,汽车,101.5,2.63%,-1.39%,5.12,10.1%,84.0,10.2%,114.3,7.59,1.92,67.46,50.5%,转股中,3.40年,1.40年,19.4%,13.1%,8.2,42,3.63%,2.84%,0.82%,0.47%,95.31,97.18,2.43,99.61,1.9%,35%,22%,17%,0.12,AA,5.0%,82,模塑转债!
191,永东转债!,128014,永东股份,2753,石油天然气化工,101.85,-0.15%,0.04%,7.93,-1.73%,0.9,0.3%,112.3,12.64,1.92,62.74,62.3%,转股中,3.27年,1.27年,11.3%,7.1%,3.4,30,3.10%,2.38%,0.65%,0.27%,94.62,93.21,2.88,96.09,6.0%,52%,35%,17%,0.07,AA-,6.0%,36,永东转债!
