转债名称,转债代码,股票日期,股票名称,股票代码,所属行业,转债价格,涨跌_1,盘中套,股价,涨跌_2,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价格,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
金力转债,123033,,金力永磁,300748,电子,105.5,-1.40,-0.31,39.5,-2.69,34,7.4,41.20,13.96,-4.1,95.87,10.0,161.0,5.93,3.93,2.7,2.6,4.4,2.50,1.84,2.37,-0.07,-0.32,83.29,87.06,26.33,113.39,-7.0,113.39,7,16,0.64,1.46,-0.10,325,6.0,9
石英转债,113548,,石英股份,603688,电子,112.67,1.49,0.13,15.19,2.57,16,4.1,15.25,3.58,-0.4,99.61,13.1,155.0,5.92,3.92,7.0,7.0,3.6,1.81,1.10,1.67,-1.74,-1.96,82.75,89.05,27.84,116.89,-3.6,116.89,13,17,0.63,0.70,0.58,325,6.0,12
浦发转债,110059,,浦发银行,600000,金融,104.44,-0.06,-0.25,11.96,-0.83,408,0.8,15.05,0.73,-20.5,79.47,31.4,158.0,5.92,0,14.2,11.3,500.0,2.08,1.53,1.97,0,0,0,93.91,10.81,104.73,-0.3,104.73,18,17,0.37,0.33,0.42,300,4.0,34
北方转债,127014,,北方国际,000065,建筑,107.168,0.10,-0.57,8.01,-0.87,4.9,0.8,8.84,1.34,-9.4,90.61,18.3,154.0,5.91,3.91,9.4,8.5,5.8,1.32,0.84,1.23,-0.71,-0.90,87.19,89.61,18.95,108.56,-1.3,108.56,16,17,0.54,0.54,0.54,375,4.5,15
索发转债,113547,,索通发展,603612,其他,107.44,-0.34,-0.05,10.09,-0.69,24,2.3,10.67,1.37,-5.4,94.56,13.6,154.0,5.91,3.91,27.8,26.3,9.5,1.87,1.29,1.75,-0.60,-0.81,85.81,89.83,22.44,112.26,-4.3,112.26,12,17,0.58,1.08,0.13,200,5.0,10
迪贝转债,113546,,迪贝电气,603320,家电,99.56,-0.04,0.34,15.84,0.51,3.1,1.4,18.45,2.47,-14.1,85.85,16.0,153.0,5.91,3.91,14.5,12.5,2.3,3.45,2.81,3.32,1.20,0.98,78.08,79.76,25.84,105.59,-5.7,105.59,12,18,0.58,0.63,0.55,275,7.5,16
英联转债,128079,,英联股份,002846,造纸包装印刷,105.19,-0.48,-0.92,13.81,-1.85,8.4,3.7,13.54,4.23,2.0,101.99,3.1,151.0,5.90,3.90,8.0,8.1,2.1,1.99,1.44,1.88,-0.27,-0.46,77.78,77.62,39.01,116.63,-9.8,116.63,2,18,0.76,1.97,-0.32,275,7.5,17
太极转债,128078,,太极股份,002368,计算机及应用,124.542,0.34,0.74,34.11,1.52,28,2.2,31.61,4.95,7.9,107.91,15.4,151.0,5.90,3.90,7.1,7.7,10.0,-1.06,-1.57,-1.16,-4.47,-4.64,85.29,88.43,31.62,120.05,3.7,120.05,23,16,0.72,-0.36,1.80,200,5.0,15
华夏转债,128077,,华夏航空,002928,交通运输,111.29,-0.53,-1.10,10.4,-2.53,2.9,0.3,10.52,2.56,-1.1,98.86,12.6,146.0,5.89,3.89,12.6,12.5,7.9,1.41,0.79,1.29,-1.67,-1.86,82.46,86.33,29.55,115.88,-4.0,115.88,12,18,0.64,0.83,0.48,325,6.0,22
金轮转债,128076,,金轮股份,002722,机械装备制造,103.85,-0.34,-0.77,14.54,-1.62,4.8,2.1,14.96,1.35,-2.8,97.19,6.8,144.0,5.88,3.88,8.4,8.2,2.1,1.83,1.36,1.74,-0.00,-0.19,82.19,82.39,29.24,111.63,-7.0,111.63,7,17,0.68,1.58,-0.13,325,6.0,19
