序号,转债名称,转债代码,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌.1,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,信用,折现率,热门度,转债名称.1
156,航电转债,110042,中航电子,600372,航空航天,116.0,0.13%,0.40%,13.59,0.97%,0.4,0.0%,109.8,14.18,3.27,95.84,21.0%,转股中,4年10天,2年10天,10.0%,9.6%,24.0,-1.38%,-1.82%,-1.47%,-5.19%,-5.46%,94.86,94.09,15.64,109.72,5.7%,35%,27%,16%,0.55,AAA,4.0%,12,航电转债
157,蒙电转债!,110041,内蒙华电,600863,能源电力,115.41,0.72%,-0.32%,2.68,0.75%,6.4,0.3%,110.9,2.82,1.34,95.04,21.4%,转股中,4年7天,2年7天,12.0%,11.4%,18.7,-1.01%,-1.50%,-1.11%,-4.95%,-5.23%,94.99,95.07,14.72,109.79,5.1%,24%,24%,16%,0.53,AAA,4.0%,8,蒙电转债!
158,双环转债!,128032,双环传动,2472,机械装备制造,97.26,0.39%,-0.35%,5.39,1.32%,9.6,1.0%,110.8,9.93,1.08,54.28,79.2%,转股中,4年10天,2年10天,27.0%,14.7%,10.0,3.36%,2.84%,3.26%,2.81%,2.50%,92.91,91.43,2.21,93.65,3.9%,34%,31%,16%,0.03,AA,5.0%,33,双环转债!
159,天康转债!!,128030,天康生物,2100,农业,152.76,-0.55%,0.63%,11.6,0.09%,10.0,3.6%,112.8,8.05,3.1,144.1,6.0%,转股中,4年7天,2年7天,1.5%,2.1%,1.8,-7.40%,-7.91%,-7.50%,-12.8%,-12.9%,92.95,93.11,50.99,144.1,6.0%,41%,>100%,16%,1.0,AA,5.0%,10,天康转债!!
160,太阳转债!,128029,太阳纸业,2078,造纸包装印刷,125.16,0.57%,0.69%,9.27,1.87%,1.9,0.1%,108.3,8.65,1.75,107.17,16.8%,转股中,3年7天,1年7天,5.0%,5.3%,12.0,-4.73%,-5.21%,-4.82%,-15.6%,-15.8%,96.32,94.97,20.37,115.34,8.5%,36%,34%,16%,0.68,AA+,4.5%,10,太阳转债!
161,赣锋转债!,128028,赣锋锂业,2460,有色金属,112.073,3.67%,-3.09%,28.74,3.46%,35.0,3.4%,109.8,42.28,4.7,67.98,64.9%,转股中,4年6.5天,2年6.5天,2.5%,1.7%,9.3,-0.52%,-0.97%,-0.61%,-4.02%,-4.23%,92.27,90.58,4.97,95.55,17.3%,55%,46%,17%,0.17,AA,5.0%,17,赣锋转债!
162,铁汉转债!,123004,铁汉生态,300197,城市公用设施,99.583,0.19%,-0.27%,2.97,-0.34%,10.0,1.2%,110.3,3.98,1.08,74.62,33.4%,转股中,4年3.5天,2年3.5天,12.0%,8.9%,8.3,2.64%,2.14%,2.54%,1.60%,1.32%,92.77,91.08,5.97,97.05,2.6%,56%,21%,15%,0.24,AA,5.0%,33,铁汉转债!
163,泰晶转债!,113503,泰晶科技,603738,电子,113.0,0.57%,-0.51%,16.61,0.12%,8.9,12.3%,112.9,17.9,3.83,92.79,21.8%,转股中,4年0.5天,2年0.5天,2.3%,2.1%,0.6,-0.02%,-0.61%,-0.14%,-4.05%,-4.34%,93.13,93.3,15.14,108.44,4.2%,63%,23%,16%,0.52,AA,5.0%,27,泰晶转债!
164,众兴转债!,128026,众兴菌业,2772,农业,92.72,0.18%,-0.15%,6.71,0.60%,4.5,0.5%,110.3,11.54,1.02,58.15,59.5%,转股中,3.999年,1.999年,37.3%,21.7%,9.2,4.52%,4.01%,4.42%,4.91%,4.64%,90.69,87.76,3.96,91.72,1.1%,34%,22%,16%,0.05,AA-,6.0%,54,众兴转债!
165,蓝思转债!,123003,蓝思科技,300433,电子,135.44,2.83%,-0.04%,14.2,3.12%,204.0,7.7%,109.8,10.44,3.26,136.02,-0.4%,转股中,3.98年,1.98年,3.3%,4.5%,19.7,-5.21%,-5.63%,-5.29%,-12.2%,-12.3%,93.34,92.41,49.05,141.46,-4.3%,57%,<2%,16%,0.89,AA+,4.5%,30,蓝思转债!
166,特一转债!,128025,特一药业,2728,医药,110.9,0.18%,0.17%,16.4,0.49%,4.2,1.1%,109.8,15.45,3.13,106.15,4.5%,转股中,3.98年,1.98年,10.3%,10.9%,3.4,-0.25%,-0.71%,-0.35%,-3.60%,-3.82%,90.57,87.43,28.83,116.26,-4.6%,34%,10%,17%,0.73,AA-,6.0%,30,特一转债!
167,亚太转债!,128023,亚太股份,2284,汽车,93.884,0.21%,-0.20%,4.88,0.41%,1.5,0.2%,112.3,10.34,1.43,47.2,98.9%,转股中,3.97年,1.97年,27.8%,13.1%,10.0,4.70%,4.09%,4.58%,4.36%,4.09%,92.67,92.84,0.7,93.54,0.4%,38%,25%,17%,0.01,AA,5.0%,58,亚太转债!
168,众信转债!,128022,众信旅游,2707,旅游餐饮酒店,99.9,0.37%,-0.41%,5.63,-0.18%,4.6,0.7%,109.8,7.91,2.16,71.18,40.4%,转股中,3.97年,1.97年,14.1%,10.1%,7.0,2.45%,1.97%,2.36%,1.24%,1.00%,92.48,90.79,5.89,96.67,3.3%,40%,24%,17%,0.2,AA,5.0%,17,众信转债!
169,兄弟转债!,128021,兄弟科技,2562,医药,110.73299999999999,0.36%,-0.67%,4.68,-0.64%,0.8,0.2%,109.8,5.25,1.94,89.14,24.2%,转股中,3.96年,1.96年,12.0%,10.7%,5.1,-0.22%,-0.68%,-0.31%,-3.57%,-3.79%,92.52,90.82,13.49,104.31,6.2%,53%,26%,16%,0.48,AA,5.0%,18,兄弟转债!
170,国祯转债!,123002,国祯环保,300388,城市公用设施,127.441,0.32%,-0.48%,10.76,-0.19%,2.6,0.4%,109.8,8.6,2.19,125.12,1.9%,转股中,3.95年,1.95年,6.9%,8.6%,5.0,-3.76%,-4.20%,-3.85%,-9.83%,-10.0%,92.57,90.87,40.73,131.6,-3.2%,50%,<2%,16%,0.85,AA,5.0%,9,国祯转债!
171,水晶转债!,128020,水晶光电,2273,电子,141.26,5.42%,-1.05%,17.35,4.77%,288.0,23.3%,111.1,12.23,4.89,141.86,-0.4%,转股中,3.93年,1.93年,4.6%,6.5%,8.9,-6.00%,-6.48%,-6.10%,-11.5%,-11.6%,92.16,91.97,54.4,146.37,-3.5%,50%,<2%,16%,0.92,AA,5.0%,19,水晶转债!
172,济川转债!,110038,济川药业,600566,医药,105.84,-0.08%,0.08%,22.28,0.95%,2.5,0.4%,108.3,38.81,3.19,57.41,84.4%,转股中,2.92年,0.92年,3.5%,2.0%,6.3,0.80%,0.26%,0.69%,-4.19%,-4.37%,95.85,94.07,0.75,94.82,11.6%,36%,50%,15%,0.0,AA,5.0%,25,济川转债!
173,嘉澳转债!,113502,嘉澳环保,603822,城市公用设施,97.2,0.21%,-0.19%,22.77,0.98%,0.6,0.3%,112.3,45.04,2.27,50.56,92.3%,转股中,3.91年,1.91年,11.1%,5.6%,1.9,3.84%,3.23%,3.71%,2.76%,2.48%,91.17,89.81,2.18,91.99,5.7%,49%,40%,17%,0.02,AA-,6.0%,35,嘉澳转债!
174,久立转2!,128019,久立特材,2318,石油天然气化工,125.2,0.68%,0.61%,9.33,1.63%,5.6,0.4%,109.8,7.92,2.53,117.8,6.3%,转股中,3.90年,1.90年,13.2%,15.6%,10.4,-3.36%,-3.80%,-3.45%,-9.25%,-9.46%,92.76,91.06,34.79,125.86,-0.5%,33%,19%,17%,0.79,AA,5.0%,18,久立转2!
175,时达转债!,128018,新时达,2527,机械装备制造,95.806,0.17%,0.02%,5.03,1.41%,0.8,0.1%,110.3,7.45,1.25,67.52,41.9%,转股中,3.90年,1.90年,28.2%,19.0%,8.8,3.75%,3.23%,3.65%,3.50%,3.22%,93.02,91.53,3.99,95.52,0.3%,34%,19%,16%,0.14,AA,5.0%,44,时达转债!
176,小康转债!,113016,小康股份,601127,汽车,98.19,0.41%,-0.21%,12.63,0.88%,2.6,0.3%,110.3,17.12,2.4,73.77,33.1%,转股中,3.90年,1.90年,7.4%,5.5%,8.8,3.09%,2.57%,2.98%,2.26%,1.99%,93.02,91.53,5.86,97.39,0.8%,29%,18%,16%,0.23,AA,5.0%,37,小康转债!
177,金禾转债!,128017,金禾实业,2597,石油天然气化工,117.2,0.60%,0.01%,20.51,1.28%,0.4,0.1%,109.8,22.96,2.84,89.33,31.2%,转股中,3.88年,1.88年,5.2%,4.7%,6.0,-1.69%,-2.15%,-1.78%,-6.34%,-6.57%,92.85,91.15,14.04,105.19,11.4%,35%,35%,17%,0.48,AA,5.0%,16,金禾转债!
178,林洋转债!,113014,林洋能源,601222,能源电力,99.1,-0.07%,0.10%,4.61,2.67%,8.3,0.3%,110.3,8.59,0.84,53.67,84.7%,转股中,3.87年,1.87年,37.0%,19.9%,30.0,2.86%,2.34%,2.76%,1.83%,1.55%,93.14,91.65,2.09,93.74,5.7%,36%,36%,16%,0.01,AA,5.0%,26,林洋转债!
179,雨虹转债!,128016,东方雨虹,2271,建筑,125.20200000000001,0.00%,1.56%,23.91,2.27%,7.1,0.3%,109.8,22.4,4.06,106.74,17.3%,转股中,3.78年,1.78年,5.2%,5.5%,18.4,-3.47%,-3.92%,-3.56%,-9.79%,-10.0%,94.18,93.24,23.29,116.53,7.4%,51%,32%,16%,0.69,AA+,4.5%,15,雨虹转债!
180,国君转债!,113013,国泰君安,601211,金融,120.3,1.56%,0.04%,17.96,3.28%,121.0,1.4%,109.3,19.4,1.34,92.58,29.9%,转股中,3.56年,无权,4.4%,4.1%,70.0,-2.71%,-3.17%,-2.80%,无权,无权,无权,95.32,12.85,108.17,11.2%,27%,33%,17%,0.49,AAA,4.0%,22,国君转债!
181,久其转债!,128015,久其软件,2279,计算机及应用,95.775,0.06%,-0.04%,5.93,0.17%,4.8,0.6%,111.8,9.48,4.41,62.55,53.1%,转股中,3.48年,1.48年,18.5%,11.6%,7.8,4.63%,3.97%,4.50%,4.26%,3.94%,91.11,87.33,5.21,92.55,3.5%,45%,28%,17%,0.07,A+,7.5%,69,久其转债!
182,模塑转债!,127004,模塑科技,700,汽车,95.512,0.15%,-0.14%,4.02,0.50%,5.6,0.7%,114.3,7.59,1.5,52.96,80.3%,转股中,3.47年,1.47年,24.7%,13.1%,8.2,5.43%,4.63%,5.27%,4.64%,4.28%,94.99,96.85,0.44,97.29,-1.8%,35%,<2%,17%,0.03,AA,5.0%,87,模塑转债!
183,永东转债!,128014,永东股份,2753,石油天然气化工,99.0,-0.03%,0.05%,7.52,0.53%,1.1,0.3%,112.3,12.64,1.82,59.49,66.4%,转股中,3.34年,1.34年,11.9%,7.1%,3.4,3.93%,3.22%,3.79%,2.55%,2.18%,94.23,92.83,2.47,95.3,3.9%,52%,33%,17%,0.04,AA-,6.0%,41,永东转债!
184,骆驼转债!,113012,骆驼股份,601311,汽车,101.7,-0.01%,0.14%,8.82,1.97%,4.1,0.8%,108.8,13.29,1.22,66.37,53.2%,转股中,3.28年,1.28年,6.7%,4.4%,5.1,2.13%,1.60%,2.02%,0.58%,0.23%,95.65,93.04,3.67,96.71,5.2%,34%,33%,16%,0.07,AA,5.0%,20,骆驼转债!
185,光大转债,113011,光大银行,601818,金融,123.31,1.49%,0.18%,4.41,2.32%,255.0,0.7%,109.3,3.97,0.75,111.08,11.0%,转股中,3.26年,无权,13.0%,14.4%,300.0,-3.71%,-4.21%,-3.81%,无权,无权,无权,96.48,23.67,120.15,2.6%,20%,20%,16%,0.72,AAA,4.0%,27,光大转债
186,洪涛转债!,128013,洪涛股份,2325,建筑,96.65,-0.10%,0.10%,3.09,1.64%,19.0,1.6%,111.3,8.0,1.2,38.62,150%,转股中,2.62年,0.62年,31.1%,12.0%,12.0,5.63%,4.77%,5.46%,6.81%,6.33%,97.96,98.14,0.58,98.72,-2.1%,33%,<2%,16%,0.0,AA,5.0%,93,洪涛转债!
187,海印转债!,127003,海印股份,861,商业零售,104.0,0.31%,0.03%,2.6,1.17%,1.5,0.2%,113.3,3.01,1.65,86.38,20.4%,转股中,2.48年,0.48年,16.2%,14.0%,9.4,3.57%,2.56%,3.37%,-3.25%,-3.77%,98.63,100.59,5.48,106.07,-1.9%,28%,14%,16%,0.29,AA,5.0%,83,海印转债!
188,辉丰转债!,128012,辉丰股份,2496,石油天然气化工,98.83200000000001,-0.17%,0.17%,2.86,1.06%,6.2,0.7%,105.6,7.71,1.45,37.09,166%,转股中,2.35年,0.35年,19.6%,7.3%,8.4,2.90%,2.42%,2.81%,11.0%,9.21%,100.48,89.33,12.17,101.5,-2.6%,42%,<2%,17%,0.0,A+,7.5%,83,辉丰转债!
189,顺昌转债!,128010,澳洋顺昌,2245,交通运输,104.67,0.12%,-0.12%,4.02,3.34%,1.1,0.2%,111.2,9.26,1.94,43.41,141%,转股中,2年38天,38天,12.9%,5.6%,5.1,2.98%,1.96%,2.77%,-11.0%,-12.4%,100.54,100.55,0.69,101.24,3.4%,40%,51%,17%,0.0,AA,5.0%,37,顺昌转债!
190,广汽转债!,113009,广汽集团,601238,汽车,113.6,0.08%,-0.05%,11.71,0.17%,14.0,0.5%,109.0,14.41,1.51,81.26,39.8%,转股中,2年38天,38天,2.1%,1.7%,25.5,-1.98%,-2.76%,-2.13%,-41.8%,-42.9%,100.68,100.52,2.3,102.82,10.5%,35%,37%,15%,0.18,AAA,4.0%,15,广汽转债!
191,九州转债!,110034,九州通,600998,医药,106.9,0.10%,-0.10%,13.37,1.44%,0.2,0.0%,110.4,18.32,1.6,72.98,46.5%,转股中,2年31天,31天,6.0%,4.4%,15.0,1.58%,0.64%,1.39%,-12.7%,-15.7%,102.66,100.83,1.54,102.37,4.4%,24%,29%,15%,0.0,AA+,4.5%,31,九州转债!
192,国贸转债!,110033,厦门国贸,600755,交通运输,112.11,0.51%,0.38%,7.21,2.12%,2.9,0.2%,111.1,7.42,1.02,97.17,15.4%,转股中,2年21天,21天,9.1%,8.8%,12.1,-0.45%,-1.43%,-0.64%,-45.2%,-46.5%,100.80,102.64,7.54,110.17,1.8%,32%,21%,15%,0.42,AAA,4.0%,22,国贸转债!
193,航信转债!!,110031,航天信息,600271,计算机及应用,114.13,0.09%,-0.09%,21.9,0.92%,4.5,0.2%,108.5,41.94,3.67,52.22,119%,转股中,1.49年,回售中,5.9%,3.1%,24.0,-3.36%,-4.38%,-3.56%,回售中,回售中,100.23,102.38,0.0,102.38,11.5%,38%,83%,17%,0.0,AAA,4.0%,17,航信转债!!
194,电气转债!,113008,上海电气,601727,能源电力,110.81,0.02%,0.42%,4.75,1.71%,45.0,0.9%,108.1,5.13,1.17,92.59,19.7%,转股中,1年49天,回售中,6.2%,5.7%,44.7,-2.18%,-3.47%,-2.44%,回售中,回售中,103.00,104.0,2.8,106.8,3.8%,31%,31%,16%,0.26,AAA,3.5%,23,电气转债!
