序号,转债名称,转债代码,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌.1,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,信用,折现率,热门度,转债名称.1
112,百合转债,113520,梦百合,603313,其他,139.83,1.41%,1.69%,20.07,3.40%,15.0,3.4%,115.2,14.28,3.23,140.55,-0.5%,转股中,4.90年,2.90年,4.7%,6.7%,3.1,-3.94%,-4.46%,-4.05%,-9.40%,-9.59%,86.73,87.07,60.46,147.53,-5.2%,40%,<2%,16%,0.91,AA-,6.0%,13,百合转债
113,洲明转债,123016,洲明科技,300232,电子,124.101,0.13%,0.41%,9.07,0.67%,1.3,0.2%,115.3,7.82,3.12,115.98,7.0%,转股中,4.90年,2.90年,5.6%,6.5%,4.7,-1.52%,-2.06%,-1.63%,-5.71%,-5.93%,86.99,87.2,38.86,126.06,-1.6%,45%,15%,16%,0.81,AA-,6.0%,16,洲明转债
114,长久转债,113519,长久物流,603569,交通运输,108.69,-0.09%,0.54%,10.22,1.09%,0.7,0.1%,120.1,11.85,2.38,86.24,26.0%,转股中,4.90年,2.90年,12.2%,10.5%,7.0,2.10%,1.37%,1.95%,-1.57%,-1.79%,89.34,95.0,12.95,107.95,0.7%,46%,20%,17%,0.42,AA,5.0%,17,长久转债
115,利尔转债!,128046,利尔化学,2258,石油天然气化工,106.132,1.27%,-0.94%,13.32,1.22%,4.7,0.5%,112.9,18.62,2.27,71.54,48.4%,转股中,4.84年,2.84年,12.2%,8.7%,8.5,1.31%,0.81%,1.21%,-0.87%,-1.09%,89.40,89.55,6.62,96.16,10.4%,40%,32%,16%,0.27,AA,5.0%,12,利尔转债!
116,顾家转债,113518,顾家家居,603816,其他,127.2,0.54%,-0.34%,43.71,0.25%,11.0,0.8%,114.9,36.57,5.16,119.52,6.4%,转股中,4.75年,2.75年,4.2%,5.0%,11.0,-2.16%,-2.70%,-2.27%,-6.92%,-7.12%,89.82,91.56,37.2,128.75,-1.2%,42%,15%,16%,0.8,AA,5.0%,14,顾家转债
117,机电转债!,128045,中航机电,2013,航空航天,115.3,0.44%,-0.65%,6.73,-0.44%,1.1,0.0%,109.8,7.63,2.62,88.2,30.7%,转股中,4.70年,2.70年,8.6%,7.6%,21.0,-1.05%,-1.43%,-1.13%,-3.79%,-4.00%,92.40,91.63,13.2,104.83,10.0%,46%,31%,16%,0.47,AAA,4.0%,12,机电转债!
118,岭南转债!,128044,岭南股份,2717,城市公用设施,99.43799999999999,0.08%,0.18%,4.92,0.61%,12.0,1.9%,111.8,5.92,1.63,83.11,19.6%,转股中,4.67年,2.67年,8.7%,7.2%,6.6,2.59%,2.11%,2.49%,1.37%,1.13%,90.07,89.43,12.13,101.56,-2.1%,64%,15%,16%,0.43,AA,5.0%,40,岭南转债!
119,蓝盾转债!!,123015,蓝盾股份,300297,计算机及应用,111.4,-0.04%,0.14%,5.62,0.36%,2.6,2.3%,112.9,5.79,1.43,97.06,14.8%,转股中,4.66年,2.66年,1.4%,1.4%,1.0,0.29%,-0.21%,0.19%,-2.62%,-2.85%,90.18,90.33,10.55,100.88,10.4%,41%,>100%,16%,0.26,AA,5.0%,20,蓝盾转债!!
120,曙光转债!,113517,中科曙光,603019,计算机及应用,117.8,0.94%,-0.13%,35.5,1.34%,13.0,1.0%,112.9,36.53,8.35,97.18,21.2%,转股中,4.65年,2.65年,3.5%,3.4%,11.2,-0.93%,-1.42%,-1.03%,-4.57%,-4.79%,90.26,90.42,20.52,110.94,6.2%,54%,26%,16%,0.61,AA,5.0%,11,曙光转债!
121,东音转债!!,128043,东音股份,2793,机械装备制造,209.00099999999998,-7.93%,7.64%,13.83,-0.29%,240.0,70.8%,115.1,6.55,5.17,211.15,-1.0%,转股中,4.63年,2.63年,3.1%,6.5%,1.5,-12.3%,-12.7%,-12.4%,-14.5%,-14.5%,88.00,88.35,122.8,211.15,-1.0%,72%,>100%,17%,1.0,AA-,6.0%,12,东音转债!!
