序号,转债名称,转债代码,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌.1,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,信用,折现率,热门度,转债名称.1
45,三星转债,113536,三星新材,603578,家电,105.9,0.16%,0.35%,19.25,0.84%,3.6,1.8%,115.2,19.75,2.99,97.47,8.7%,转股中,5.46年,3.46年,11.1%,10.9%,1.9,1.60%,1.09%,1.50%,-0.55%,-0.75%,87.03,88.7,24.48,113.18,-6.4%,49%,11%,18%,0.61,AA,5.0%,46,三星转债
46,大业转债!,113535,大业股份,603278,汽车,98.33,0.12%,0.19%,8.74,1.39%,1.1,0.2%,113.5,12.56,1.59,69.59,41.3%,转股中,4.40年,2.40年,19.7%,13.7%,5.0,3.36%,2.78%,3.25%,1.55%,1.37%,90.28,91.83,5.58,97.41,0.9%,47%,22%,18%,0.22,AA,5.0%,33,大业转债!
47,一心转债,128067,一心堂,2727,医药,112.5,0.09%,-0.05%,22.53,0.09%,2.0,0.3%,113.2,27.28,2.93,82.59,36.2%,转股中,5.35年,3.35年,4.7%,3.9%,6.0,0.12%,-0.33%,0.03%,-2.31%,-2.51%,87.51,87.66,13.59,101.25,11.1%,37%,32%,16%,0.45,AA,5.0%,19,一心转债
48,亚泰转债!,128066,亚泰国际,2811,建筑,106.521,0.48%,-0.53%,14.91,-0.07%,14.0,2.8%,118.0,14.8,1.85,100.74,5.7%,转股中,5.34年,3.34年,17.9%,18.0%,4.8,1.98%,1.37%,1.86%,-0.60%,-0.83%,85.29,87.08,27.9,114.98,-7.4%,42%,<2%,16%,0.68,AA-,6.0%,50,亚泰转债!
49,永鼎转债!,110058,永鼎股份,600105,通信互联网,102.26,0.84%,0.03%,4.98,2.26%,35.0,3.5%,115.3,6.35,2.24,78.43,30.4%,转股中,5.34年,3.34年,15.8%,12.4%,9.8,2.32%,1.79%,2.21%,0.43%,0.22%,87.65,89.33,11.46,100.79,1.5%,44%,20%,17%,0.38,AA,5.0%,46,永鼎转债!
50,雅化转债!,128065,雅化集团,2497,石油天然气化工,97.23,0.33%,-0.03%,6.02,1.35%,4.0,0.5%,111.3,8.96,2.1,67.19,44.7%,转股中,5.34年,3.34年,13.9%,9.3%,8.0,2.65%,2.24%,2.57%,1.96%,1.74%,87.65,86.25,6.69,92.94,4.6%,50%,25%,16%,0.23,AA,5.0%,45,雅化转债!
51,创维转债!,127013,创维数字,810,电子,113.006,0.21%,0.32%,11.27,0.90%,5.9,0.5%,118.3,11.49,3.48,98.09,15.2%,转股中,5.34年,3.34年,8.7%,8.6%,10.4,0.85%,0.25%,0.73%,-2.46%,-2.66%,87.66,91.66,21.9,113.55,-0.5%,47%,17%,16%,0.6,AA,5.0%,42,创维转债!
52,核能转债!,113026,中国核电,601985,能源电力,105.9,0.18%,0.30%,5.02,1.21%,47.0,0.6%,110.0,6.2,1.63,80.97,30.8%,转股中,5.34年,3.34年,10.0%,8.1%,78.0,0.73%,0.37%,0.66%,-0.66%,-0.85%,90.32,89.57,10.17,99.75,6.2%,18%,23%,15%,0.39,AAA,4.0%,43,核能转债!
53,明泰转债!,113025,明泰铝业,601677,有色金属,112.21,0.59%,0.08%,10.81,1.12%,18.0,0.9%,115.5,11.3,0.95,95.66,17.3%,转股中,5.32年,3.32年,27.6%,26.4%,18.4,0.56%,0.03%,0.45%,-2.22%,-2.43%,87.74,89.57,21.27,110.84,1.2%,28%,19%,16%,0.6,AA,5.0%,51,明泰转债!
54,鼎胜转债!,113534,鼎胜新材,603876,有色金属,99.68,0.54%,0.50%,12.75,2.33%,17.0,1.4%,115.3,15.28,1.46,83.44,19.5%,转股中,5.32年,3.32年,22.9%,19.1%,12.5,2.83%,2.29%,2.72%,1.18%,0.96%,87.73,89.42,13.57,102.98,-3.2%,52%,14%,16%,0.45,AA,5.0%,60,鼎胜转债!
55,核建转债!,113024,中国核建,601611,建筑,103.7,0.29%,-0.03%,7.0,1.01%,3.1,0.1%,109.9,9.87,1.92,70.92,46.2%,转股中,5.32年,3.32年,16.3%,11.6%,30.0,1.14%,0.78%,1.07%,-0.06%,-0.25%,90.29,89.55,6.24,95.79,8.3%,33%,30%,16%,0.26,AAA,4.0%,38,核建转债!
56,司尔转债!,128064,司尔特,2538,石油天然气化工,98.64,0.70%,-0.27%,4.57,1.33%,10.0,1.3%,115.3,6.15,0.9,74.31,32.7%,转股中,5.32年,3.32年,24.4%,18.1%,8.0,3.10%,2.56%,2.99%,1.57%,1.35%,87.74,89.43,8.66,98.09,0.6%,33%,18%,16%,0.32,AA,5.0%,55,司尔转债!
57,未来转债,128063,德尔未来,2631,其他,105.221,0.22%,-0.40%,7.62,-0.39%,1.7,0.3%,128.7,8.67,2.94,87.89,19.7%,转股中,5.31年,4.31年,12.4%,10.9%,6.3,3.97%,3.04%,3.78%,0.87%,0.47%,84.80,95.31,16.11,111.42,-5.6%,48%,9%,16%,0.45,AA-,6.0%,48,未来转债
58,参林转债,113533,大参林,603233,医药,143.09,2.34%,-1.30%,50.89,1.15%,15.0,3.6%,113.2,36.5,7.89,139.42,2.6%,转股中,5.31年,3.31年,1.1%,1.5%,2.9,-4.40%,-4.81%,-4.48%,-8.94%,-9.11%,87.70,87.85,58.52,146.37,-2.2%,49%,<2%,16%,0.9,AA,5.0%,27,参林转债
59,海环转债!,113532,海峡环保,603817,城市公用设施,103.53,0.01%,0.62%,6.26,1.46%,0.3,0.1%,113.3,7.75,1.77,80.77,28.2%,转股中,5.30年,3.30年,16.3%,13.2%,4.6,1.75%,1.28%,1.66%,0.08%,-0.14%,87.81,87.96,13.33,101.28,2.2%,48%,22%,17%,0.43,AA,5.0%,34,海环转债!
60,亚药转债!,128062,亚太药业,2370,医药,89.99600000000001,0.12%,-0.12%,6.65,-0.30%,7.5,0.9%,120.1,16.25,1.43,40.92,120%,转股中,5.30年,3.30年,27.0%,11.1%,9.7,5.70%,4.99%,5.56%,4.18%,3.96%,87.62,93.17,0.2,93.37,-3.6%,62%,<2%,16%,0.01,AA,5.0%,100,亚药转债!
61,现代转债,110057,现代制药,600420,医药,107.98,0.35%,0.19%,8.52,1.19%,1.6,0.1%,111.0,9.99,1.24,85.29,26.6%,转股中,5.30年,3.30年,18.5%,15.8%,16.2,0.53%,0.15%,0.46%,-1.22%,-1.41%,90.45,90.52,12.74,103.26,4.6%,48%,23%,16%,0.46,AAA,4.0%,34,现代转债
62,百姓转债,113531,老百姓,603883,医药,122.22,0.10%,-0.12%,64.0,-0.03%,7.4,1.8%,112.6,60.09,5.54,106.51,14.8%,转股中,4.29年,2.29年,1.8%,1.9%,3.3,-1.89%,-2.41%,-1.99%,-7.21%,-7.33%,90.24,91.52,25.0,116.53,4.9%,36%,25%,16%,0.69,AA,5.0%,20,百姓转债
63,精测转债!,123025,精测电子,300567,电子,116.3,0.03%,-0.04%,47.79,-0.02%,15.0,3.5%,117.8,50.25,8.84,95.1,22.3%,转股中,5.29年,3.29年,3.2%,3.0%,3.8,0.25%,-0.34%,0.13%,-3.18%,-3.40%,85.37,87.17,24.45,111.62,4.2%,72%,24%,17%,0.62,AA-,6.0%,23,精测转债!
64,启明转债,128061,启明星辰,2439,通信互联网,130.08,0.84%,-0.20%,33.45,0.81%,13.0,0.9%,118.3,28.29,8.43,118.24,10.0%,转股中,5.29年,3.29年,3.5%,4.1%,10.5,-1.79%,-2.37%,-1.90%,-6.35%,-6.54%,87.88,91.89,36.99,128.88,0.9%,40%,18%,16%,0.78,AA,5.0%,25,启明转债
65,大丰转债!,113530,大丰实业,603081,建筑,110.0,0.50%,0.37%,16.45,1.54%,4.6,0.7%,122.0,16.76,3.58,98.15,12.1%,转股中,5.29年,3.29年,9.5%,9.4%,6.3,2.02%,1.29%,1.87%,-1.65%,-1.87%,87.98,94.78,20.51,115.28,-4.6%,52%,11%,16%,0.57,AA,5.0%,48,大丰转债!
66,中装转债!!,128060,中装建设,2822,建筑,146.701,-1.48%,-0.89%,9.04,-2.38%,13.0,11.0%,113.3,6.19,2.3,146.04,0.5%,转股中,5.28年,3.28年,1.3%,1.8%,0.8,-4.86%,-5.28%,-4.94%,-9.63%,-9.81%,87.89,88.04,58.0,146.04,0.5%,63%,<2%,17%,1.0,AA,5.0%,46,中装转债!!
67,招路转债,127012,招商公路,1965,机场高速港口,110.008,0.99%,0.52%,8.38,2.70%,49.0,0.9%,108.3,9.09,1.09,92.19,19.3%,转股中,5.27年,3.27年,9.7%,8.9%,50.0,-0.30%,-0.59%,-0.36%,-2.17%,-2.28%,89.24,88.28,16.63,104.91,4.9%,32%,23%,15%,0.56,AAA,4.0%,53,招路转债
68,岱勒转债!,123024,岱勒新材,300700,机械装备制造,99.3,0.72%,0.09%,19.3,2.06%,1.9,0.9%,113.4,24.9,3.06,77.51,28.1%,转股中,4.27年,2.27年,13.2%,10.2%,2.1,3.26%,2.67%,3.14%,1.27%,1.10%,85.75,83.64,13.64,97.28,2.1%,63%,23%,18%,0.39,A+,7.5%,32,岱勒转债!
69,迪森转债!,123023,迪森股份,300335,能源电力,98.787,0.22%,0.26%,5.6,1.27%,4.3,0.7%,115.3,7.19,1.48,77.89,26.8%,转股中,5.27年,4.27年,29.5%,23.0%,6.0,3.04%,2.50%,2.93%,1.55%,1.29%,85.40,89.66,11.69,101.35,-2.5%,39%,16%,18%,0.38,AA,5.0%,44,迪森转债!
70,亨通转债!,110056,亨通光电,600487,通信互联网,115.18,1.36%,-1.16%,15.91,0.32%,25.0,1.3%,115.1,15.68,2.31,101.47,13.5%,转股中,5.26年,3.26年,5.7%,5.8%,17.3,0.01%,-0.50%,-0.09%,-3.04%,-3.23%,89.22,91.7,23.48,115.18,-0.0%,45%,16%,16%,0.64,AA+,4.5%,53,亨通转债!
71,通威转债,110054,通威股份,600438,农业,124.0,0.32%,1.06%,13.2,2.01%,16.0,0.3%,115.6,12.28,3.13,107.49,15.4%,转股中,5.26年,3.26年,9.8%,10.5%,50.0,-1.35%,-1.87%,-1.46%,-5.04%,-5.25%,89.71,92.2,27.74,119.93,3.4%,48%,23%,16%,0.69,AA+,4.5%,16,通威转债
72,长信转债!,123022,长信科技,300088,通信互联网,147.25,0.79%,0.21%,9.27,1.09%,194.0,19.7%,115.3,6.25,4.01,148.32,-0.7%,转股中,5.26年,3.26年,3.1%,4.6%,6.7,-4.59%,-5.07%,-4.69%,-9.75%,-9.92%,87.99,89.68,65.08,154.76,-4.9%,64%,<2%,16%,0.91,AA,5.0%,20,长信转债!
73,伊力转债,110055,伊力特,600197,食品饮料,109.74,0.22%,0.41%,15.08,1.28%,7.3,0.8%,115.5,17.25,2.62,87.42,25.5%,转股中,5.25年,3.25年,13.2%,11.5%,8.8,1.00%,0.47%,0.89%,-1.58%,-1.80%,88.21,89.91,15.61,105.52,4.0%,42%,23%,16%,0.49,AA,5.0%,25,伊力转债
