序号,转债名称,转债代码,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌.1,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,信用,折现率,热门度,转债名称.1
1,福特转债,113551,福斯特,603806,能源电力,124.06,2.41%,-1.08%,44.82,1.82%,47.0,3.5%,115.3,41.04,3.94,109.21,13.6%,5月10天,5.93年,3.93年,4.7%,5.1%,11.0,-1.28%,-1.73%,-1.37%,-4.35%,-4.51%,85.15,86.79,34.54,121.33,2.3%,40%,20%,17%,0.73,AA,5.0%,7,福特转债
2,顺丰转债,128080,顺丰控股,2352,交通运输,115.2,0.56%,-0.16%,36.8,0.71%,304.0,4.6%,109.2,40.41,4.09,91.07,26.5%,5月10天,5.93年,3.93年,3.6%,3.3%,58.0,-0.92%,-1.21%,-0.98%,-2.91%,-3.01%,87.10,86.76,18.09,104.85,9.9%,32%,30%,16%,0.55,AAA,4.0%,9,顺丰转债
3,常汽转债,113550,常熟汽饰,603035,汽车,109.56,-0.01%,0.62%,10.2,0.89%,261.0,24.0%,121.8,9.93,1.09,102.72,6.7%,5月10天,5.93年,3.93年,34.7%,35.7%,9.9,1.89%,1.25%,1.76%,-1.04%,-1.26%,82.71,86.88,31.67,118.55,-7.6%,39%,8%,17%,0.69,AA-,6.0%,14,常汽转债
4,白电转债,113549,白云电器,603861,能源电力,103.54,0.04%,0.76%,8.45,1.32%,31.0,3.4%,115.1,8.99,1.64,93.99,10.2%,5月9天,5.92年,3.92年,23.0%,21.7%,8.8,1.83%,1.37%,1.74%,0.01%,-0.16%,85.00,86.64,22.39,109.03,-5.0%,45%,11%,16%,0.6,AA,5.0%,10,白电转债
5,利德转债,123035,利亚德,300296,电子,113.71,-0.18%,0.43%,6.62,0.46%,47.0,5.2%,115.6,7.04,2.02,94.03,20.9%,5月8天,5.92年,3.92年,4.8%,4.5%,8.0,0.28%,-0.20%,0.18%,-2.17%,-2.36%,87.14,89.56,21.24,110.8,2.6%,62%,22%,17%,0.56,AA+,4.5%,12,利德转债
6,川投转债,110061,川投能源,600674,能源电力,116.45,0.63%,-0.63%,9.81,0.00%,50.0,1.1%,111.0,9.92,1.65,98.89,17.8%,5月3天,5.91年,3.91年,9.3%,9.2%,40.0,-0.82%,-1.16%,-0.89%,-2.87%,-3.02%,88.30,88.37,23.54,111.91,4.1%,17%,19%,16%,0.64,AAA,4.0%,13,川投转债
7,通光转债,123034,通光线缆,300265,通信互联网,102.6,0.79%,0.35%,7.71,1.58%,10.0,3.5%,118.5,7.98,2.54,96.62,6.2%,4月26天,5.89年,3.89年,11.4%,11.0%,3.0,2.54%,1.97%,2.42%,0.36%,0.17%,77.80,78.05,33.47,111.52,-8.0%,50%,7%,17%,0.72,A+,7.5%,20,通光转债
8,金力转债,123033,金力永磁,300748,电子,110.18299999999999,-0.74%,-0.50%,42.7,-1.75%,17.0,3.6%,121.9,41.2,15.09,103.64,6.3%,4月25天,5.89年,3.89年,2.5%,2.6%,4.4,1.76%,1.11%,1.63%,-1.13%,-1.38%,83.50,87.28,31.85,119.13,-7.5%,82%,<2%,16%,0.7,AA-,6.0%,13,金力转债
9,石英转债,113548,石英股份,603688,电子,122.06,1.34%,0.86%,17.31,2.97%,13.0,3.0%,124.8,15.25,4.08,113.51,7.5%,4月19天,5.87年,3.87年,6.2%,7.0%,3.6,0.39%,-0.32%,0.25%,-3.76%,-3.97%,82.96,89.28,38.36,127.64,-4.4%,52%,13%,17%,0.74,AA-,6.0%,13,石英转债
10,天路转债,110060,西藏天路,600326,建筑,111.38,1.15%,-0.60%,7.05,0.86%,18.0,1.5%,115.3,7.24,1.79,97.38,14.4%,4月20天,5.87年,3.87年,17.8%,17.3%,10.9,0.61%,0.14%,0.51%,-1.74%,-1.91%,85.39,87.03,24.74,111.78,-0.4%,46%,16%,16%,0.64,AA,5.0%,9,天路转债
11,浦发转债!,110059,浦发银行,600000,金融,105.38,0.53%,0.17%,12.12,1.85%,831.0,1.6%,117.8,15.05,0.74,80.53,30.9%,4月22天,5.87年,无权,14.1%,11.3%,500.0,1.96%,1.41%,1.85%,无权,无权,无权,94.08,11.25,105.32,0.1%,22%,19%,17%,0.38,AAA,4.0%,44,浦发转债!
12,北方转债,127014,北方国际,65,建筑,112.35,0.36%,0.33%,8.29,1.22%,2.5,0.4%,115.6,8.84,1.38,93.78,19.8%,4月18天,5.86年,3.86年,9.1%,8.5%,5.8,0.49%,0.02%,0.40%,-1.90%,-2.09%,87.36,89.78,20.89,110.67,1.5%,49%,20%,17%,0.56,AA+,4.5%,15,北方转债
13,索发转债,113547,索通发展,603612,其他,109.6,0.77%,0.45%,9.99,2.15%,6.9,0.7%,119.1,10.67,1.35,93.63,17.1%,4月18天,5.86年,3.86年,28.1%,26.3%,9.5,1.50%,0.92%,1.38%,-1.15%,-1.36%,85.99,90.02,21.78,111.8,-2.0%,62%,16%,17%,0.57,AA,5.0%,9,索发转债
14,迪贝转债!,113546,迪贝电气,603320,家电,100.1,0.35%,-0.05%,16.24,0.50%,13.0,5.7%,121.1,18.45,2.53,88.02,13.7%,4月17天,5.86年,3.86年,14.2%,12.5%,2.3,3.37%,2.73%,3.25%,1.07%,0.85%,78.33,80.01,27.18,107.19,-6.6%,55%,10%,18%,0.61,A+,7.5%,18,迪贝转债!
15,英联转债,128079,英联股份,2846,造纸包装印刷,109.53,1.41%,0.42%,14.48,2.33%,7.0,3.0%,117.9,13.54,4.43,106.94,2.4%,4月15天,5.86年,3.86年,7.6%,8.1%,2.1,1.30%,0.75%,1.19%,-1.27%,-1.46%,78.03,77.87,42.81,120.67,-9.2%,64%,<2%,18%,0.78,A+,7.5%,24,英联转债
16,太极转债,128078,太极股份,2368,计算机及应用,130.2,0.25%,-0.55%,38.23,-0.36%,13.0,1.0%,117.3,31.61,5.55,120.94,7.7%,4月15天,5.86年,3.86年,6.3%,7.7%,10.0,-1.80%,-2.30%,-1.90%,-5.53%,-5.70%,85.47,88.62,42.15,130.77,-0.4%,45%,16%,16%,0.81,AA,5.0%,14,太极转债
17,华夏转债,128077,华夏航空,2928,交通运输,113.0,0.76%,-0.06%,11.02,1.01%,15.0,1.6%,120.8,10.52,2.72,104.75,7.9%,4月10天,5.84年,3.84年,11.9%,12.5%,7.9,1.17%,0.55%,1.05%,-2.04%,-2.23%,82.67,86.56,33.84,120.39,-6.1%,56%,10%,18%,0.7,AA-,6.0%,21,华夏转债
18,金轮转债,128076,金轮股份,2722,机械装备制造,105.829,0.76%,0.10%,15.0,1.21%,5.6,2.5%,115.3,14.96,1.4,100.27,5.5%,4月8天,5.84年,3.84年,8.1%,8.2%,2.1,1.55%,1.07%,1.46%,-0.42%,-0.61%,82.40,82.6,31.45,114.05,-7.2%,44%,8%,17%,0.71,AA-,6.0%,19,金轮转债
19,金能转债,113545,金能科技,603113,煤炭,106.67,0.31%,0.61%,10.35,1.67%,53.0,3.3%,115.3,11.55,1.28,89.61,19.0%,4月6天,5.84年,3.84年,21.4%,19.2%,15.0,1.37%,0.89%,1.27%,-0.69%,-0.87%,85.55,87.2,19.9,107.1,-0.4%,47%,18%,17%,0.55,AA,5.0%,15,金能转债
20,万里转债!,123032,万里马,300591,服装纺织,100.17299999999999,0.18%,0.47%,5.52,1.47%,3.0,1.6%,132.8,6.92,3.41,79.77,25.6%,4月5天,5.83年,3.83年,10.5%,8.3%,1.8,5.14%,4.17%,4.95%,1.91%,1.52%,81.32,88.46,19.31,107.77,-7.0%,54%,10%,18%,0.44,A+,7.5%,30,万里转债!
21,游族转债!,128074,游族网络,2174,通信互联网,126.0,0.96%,-1.18%,18.46,-0.32%,27.0,1.8%,120.3,17.06,3.09,108.21,16.4%,3月14天,5.78年,3.78年,7.0%,7.6%,11.5,-0.82%,-1.41%,-0.94%,-4.85%,-5.02%,85.79,91.21,30.96,122.17,3.1%,42%,21%,17%,0.69,AA,5.0%,20,游族转债!
22,远东转债,128075,远东传动,2406,汽车,107.86,0.85%,-0.09%,5.27,1.35%,5.2,0.5%,115.2,5.79,1.14,91.02,18.5%,3月14天,5.78年,3.78年,30.2%,27.5%,8.9,1.21%,0.73%,1.11%,-0.94%,-1.12%,85.70,87.35,20.67,108.02,-0.1%,30%,18%,17%,0.57,AA,5.0%,13,远东转债
23,桃李转债,113544,桃李面包,603866,食品饮料,118.7,1.32%,1.03%,45.01,3.90%,6.9,0.6%,115.3,47.54,8.59,94.68,25.4%,3月13天,5.77年,3.77年,3.4%,3.2%,10.0,-0.49%,-0.96%,-0.58%,-3.35%,-3.52%,85.83,87.48,22.31,109.79,8.1%,39%,29%,16%,0.6,AA,5.0%,18,桃李转债
24,晶瑞转债,123031,晶瑞股份,300655,石油天然气化工,154.999,3.33%,-1.51%,32.3,1.89%,157.0,55.0%,116.2,18.38,9.4,175.73,-11.8%,2月22天,5.71年,3.71年,3.8%,6.6%,1.9,-5.00%,-5.46%,-5.09%,-9.93%,-10.1%,78.56,77.5,104.26,181.76,-14.7%,69%,<2%,18%,0.96,A+,7.5%,23,晶瑞转债
25,哈尔转债,128073,哈尔斯,2615,其他,105.833,0.14%,0.82%,5.33,1.72%,1.5,0.5%,115.7,5.8,2.48,91.9,15.2%,2月16天,4.69年,2.69年,13.7%,12.6%,3.0,1.95%,1.34%,1.82%,-1.14%,-1.30%,86.83,88.37,19.49,107.86,-1.9%,42%,17%,17%,0.56,AA-,6.0%,25,哈尔转债
26,九洲转债,123030,九洲电气,300040,能源电力,105.00399999999999,0.00%,0.80%,5.38,1.32%,2.2,0.7%,120.5,5.7,0.95,94.39,11.2%,2月15天,5.69年,3.69年,16.7%,15.8%,3.1,2.49%,1.85%,2.36%,-0.27%,-0.47%,83.31,87.1,25.54,112.64,-6.8%,40%,11%,18%,0.61,AA-,6.0%,28,九洲转债
27,翔鹭转债!,128072,翔鹭钨业,2842,有色金属,106.20100000000001,0.17%,0.04%,11.46,0.53%,0.6,0.2%,115.5,15.36,3.76,74.61,42.3%,2月14天,5.69年,3.69年,9.6%,7.2%,3.0,1.52%,1.02%,1.42%,-0.59%,-0.78%,83.15,83.48,13.89,97.37,9.1%,67%,32%,18%,0.4,AA-,6.0%,17,翔鹭转债!
28,英科转债,123029,英科医疗,300677,医药,115.00299999999999,0.70%,1.50%,15.89,4.33%,3.0,0.6%,138.7,16.25,2.29,97.78,17.6%,2月12天,5.67年,3.67年,14.9%,14.6%,4.7,3.45%,2.37%,3.24%,-1.72%,-2.09%,86.50,100.7,22.31,123.01,-6.5%,69%,11%,17%,0.51,AA-,6.0%,28,英科转债
29,合兴转债,128071,合兴包装,2228,造纸包装印刷,107.75,0.41%,-0.13%,4.06,0.50%,1.8,0.3%,115.1,4.38,1.65,92.69,16.2%,2月12天,5.67年,3.67年,12.6%,11.6%,6.0,1.20%,0.71%,1.10%,-1.01%,-1.19%,86.04,87.7,22.21,109.91,-2.0%,35%,16%,18%,0.56,AA,5.0%,20,合兴转债
30,欧派转债,113543,欧派家居,603833,其他,121.71,0.77%,0.31%,101.3,1.65%,5.0,0.3%,115.3,101.46,4.85,99.84,21.9%,2月12天,5.67年,4.67年,3.5%,3.5%,15.0,-0.98%,-1.45%,-1.07%,-2.94%,-3.15%,83.72,87.89,25.58,113.47,7.3%,40%,27%,16%,0.66,AA,5.0%,17,欧派转债
31,好客转债,113542,好莱客,603898,其他,107.95,0.38%,-0.24%,14.64,0.27%,1.8,0.3%,115.3,16.62,1.87,88.09,22.5%,55天,5.63年,3.63年,13.9%,12.2%,6.3,1.20%,0.71%,1.10%,-1.03%,-1.22%,86.40,88.06,18.11,106.18,1.7%,32%,20%,17%,0.52,AA,5.0%,21,好客转债
32,荣晟转债!,113541,荣晟环保,603165,造纸包装印刷,101.99,0.36%,0.40%,16.3,1.37%,2.5,0.7%,115.5,18.72,2.16,87.07,17.1%,46天,5.61年,3.61年,11.4%,9.9%,3.3,2.29%,1.78%,2.19%,0.52%,0.32%,83.69,83.89,21.62,105.51,-3.3%,55%,15%,18%,0.56,AA-,6.0%,35,荣晟转债!
33,南威转债,113540,南威软件,603636,计算机及应用,119.87,0.03%,0.71%,11.07,1.00%,4.7,0.6%,118.0,10.13,3.32,109.28,9.7%,36天,5.59年,3.59年,11.3%,12.4%,6.6,-0.29%,-0.85%,-0.40%,-3.73%,-3.93%,83.86,85.82,37.21,123.04,-2.6%,87%,17%,18%,0.74,AA-,6.0%,25,南威转债
34,圣达转债,113539,圣达生物,603079,医药,125.57,0.14%,-1.15%,38.01,-1.14%,20.0,5.4%,121.6,28.78,5.18,132.07,-4.9%,26天,5.55年,3.55年,7.0%,9.3%,3.0,-0.59%,-1.24%,-0.72%,-4.81%,-5.04%,80.37,82.2,60.26,142.46,-11.9%,65%,<2%,17%,0.89,A+,7.5%,38,圣达转债
35,智能转债!,128070,智能自控,2877,机械装备制造,101.867,0.06%,-0.06%,8.08,0.00%,0.9,0.4%,118.1,9.55,3.92,84.61,20.4%,25天,5.55年,无权,8.6%,7.2%,2.3,2.76%,2.16%,2.64%,无权,无权,无权,79.82,24.25,104.07,-2.1%,73%,16%,18%,0.58,A+,7.5%,27,智能转债!
36,安图转债,113538,安图生物,603658,医药,151.7,3.59%,-0.18%,102.0,3.64%,52.0,5.1%,115.1,64.11,20.11,159.1,-4.7%,21天,5.54年,3.54年,1.6%,2.5%,6.8,-4.97%,-5.42%,-5.06%,-9.90%,-10.1%,86.60,88.28,76.71,164.99,-8.1%,43%,<2%,16%,0.94,AA,5.0%,23,安图转债
37,华森转债!,128069,华森制药,2907,医药,106.55,-0.99%,-1.75%,18.35,-4.08%,14.0,4.3%,120.5,18.08,7.73,101.49,5.0%,16天,5.53年,3.53年,4.1%,4.1%,3.0,2.30%,1.65%,2.17%,-0.65%,-0.86%,84.07,87.9,27.98,115.88,-8.0%,65%,<2%,16%,0.67,AA-,6.0%,36,华森转债!
38,清水转债,123028,清水源,300437,城市公用设施,102.555,0.45%,0.37%,10.36,1.67%,1.3,0.3%,122.4,11.95,1.53,86.69,18.3%,11天,5.52年,3.52年,21.7%,18.8%,4.9,3.37%,2.64%,3.22%,0.77%,0.48%,85.26,89.54,19.52,109.05,-6.0%,37%,12%,18%,0.49,AA-,6.0%,33,清水转债
39,环境转债,113028,上海环境,601200,城市公用设施,119.4,0.34%,-0.15%,11.11,0.27%,6.9,0.3%,111.0,10.44,1.61,106.42,12.2%,10天,5.51年,3.51年,21.4%,22.8%,21.7,-1.32%,-1.68%,-1.39%,-3.82%,-3.99%,88.14,87.47,29.71,117.18,1.9%,42%,20%,16%,0.72,AAA,4.5%,17,环境转债
40,华钰转债,113027,华钰矿业,601020,有色金属,101.98,0.39%,-0.12%,8.58,0.59%,9.8,1.5%,115.2,10.17,2.11,84.37,20.9%,6.4天,5.50年,3.50年,14.2%,12.0%,6.4,2.28%,1.77%,2.18%,0.46%,0.26%,86.86,88.53,15.38,103.91,-1.9%,44%,15%,17%,0.46,AA,5.0%,45,华钰转债
41,蓝晓转债,123027,蓝晓科技,300487,石油天然气化工,118.749,0.75%,-0.36%,33.98,0.47%,8.2,2.0%,120.0,29.58,6.0,114.87,3.4%,3.4天,5.49年,3.49年,4.8%,5.6%,3.4,0.22%,-0.41%,0.09%,-3.33%,-3.58%,80.81,81.49,46.09,127.58,-6.9%,78%,<2%,17%,0.82,A+,7.5%,23,蓝晓转债
42,文灿转债!,113537,文灿股份,603348,汽车,107.52,0.54%,0.10%,18.36,1.16%,9.1,1.1%,122.0,19.93,2.0,92.12,16.7%,0.4天,5.49年,3.49年,19.8%,18.2%,8.0,2.39%,1.68%,2.25%,-0.67%,-0.93%,85.03,89.31,21.86,111.17,-3.3%,56%,14%,17%,0.56,AA-,6.0%,42,文灿转债!
43,中环转债,123026,中环环保,300692,城市公用设施,106.76899999999999,0.54%,-0.43%,12.07,0.17%,1.8,0.6%,111.1,12.31,2.39,98.05,8.9%,2.4天,4.49年,2.49年,15.0%,14.7%,2.9,0.91%,0.44%,0.81%,-1.26%,-1.49%,88.57,85.98,26.16,112.14,-4.8%,68%,11%,18%,0.65,AA-,6.0%,31,中环转债
44,和而转债,128068,和而泰,2402,电子,139.1,0.25%,-0.32%,12.69,-0.08%,68.0,10.1%,113.3,9.09,5.98,139.6,-0.4%,转股中,5.47年,3.47年,4.4%,6.1%,4.8,-3.81%,-4.22%,-3.90%,-7.90%,-8.07%,84.15,82.9,63.69,146.6,-5.1%,41%,<2%,16%,0.92,AA-,6.0%,30,和而转债
