转债名称,转债代码,股票日期,股票名称,股票代码,所属行业,转债价格,涨跌_1,盘中套,股价,涨跌_2,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价格,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
浦发转债,110059,,浦发银行,600000,金融,104.54,0.00,-0.25,11.96,-0.66,625,1.2,15.05,0.73,-20.5,79.47,31.5,164.0,5.93,0,14.2,11.3,500.0,2.08,1.54,1.97,0,0,0,93.86,10.82,104.67,-0.1,104.67,18,17,0.37,0.30,0.45,300,4.0,31
N北方转,127014,,北方国际,000065,建筑,107.222,7.22,0.00,7.95,0.00,368,59.4,8.84,1.33,-10.1,89.93,19.2,160.0,5.92,3.92,9.4,8.5,5.8,1.30,0.82,1.21,-0.73,-0.92,87.13,89.55,18.55,108.10,-0.8,108.10,8,17,0.53,0.44,0.63,375,4.5,10
N迪贝转,113546,,迪贝电气,603320,家电,99.66,-0.34,0.00,16.07,-0.06,97,41.9,18.45,2.51,-12.9,87.10,14.4,159.0,5.92,3.92,14.3,12.5,2.3,3.42,2.78,3.29,1.16,0.95,78.00,79.67,26.81,106.48,-6.4,106.48,11,18,0.60,0.82,0.41,275,7.5,9
N英联转,128079,,英联股份,002846,造纸包装印刷,104.531,4.53,0.00,13.82,0.95,167,74.1,13.54,4.23,2.1,102.07,2.4,157.0,5.92,3.92,8.0,8.1,2.1,2.10,1.55,1.99,-0.11,-0.30,77.70,77.53,39.28,116.81,-10.5,116.81,2,18,0.76,2.14,-0.46,275,7.5,7
太极转债,128078,,太极股份,002368,计算机及应用,129.8,0.93,-0.50,35.93,0.56,27,2.1,31.61,5.22,13.7,113.67,14.2,157.0,5.92,3.92,6.7,7.7,10.0,-1.73,-2.22,-1.83,-5.38,-5.54,85.22,88.36,36.33,124.69,4.1,124.69,23,16,0.76,-0.33,1.87,200,5.0,16
华夏转债,128077,,华夏航空,002928,交通运输,111.286,-0.19,0.07,10.88,-0.18,2.4,0.3,10.52,2.68,3.4,103.42,7.6,152.0,5.90,3.90,12.1,12.5,7.9,1.43,0.81,1.30,-1.64,-1.83,82.39,86.25,32.90,119.15,-6.6,119.15,10,18,0.69,1.50,-0.04,325,6.0,22
金轮转债,128076,,金轮股份,002722,机械装备制造,104.09,-0.68,-0.29,14.64,-1.41,7.6,3.4,14.96,1.36,-2.1,97.86,6.4,150.0,5.90,3.90,8.3,8.2,2.1,1.78,1.31,1.69,-0.07,-0.25,82.11,82.31,29.79,112.10,-7.1,112.10,7,17,0.69,1.63,-0.17,325,6.0,18
金能转债,113545,,金能科技,603113,煤炭,104.47,-0.04,-0.49,10.25,-0.97,101,6.4,11.55,1.27,-11.3,88.74,17.7,148.0,5.90,3.90,21.7,19.2,15.0,1.72,1.24,1.62,-0.16,-0.34,85.30,86.94,19.51,106.45,-1.9,106.45,15,17,0.54,0.54,0.56,200,5.0,15
万里转债,123032,,万里马,300591,服装纺织,100,-0.40,0.40,5.55,0.00,8.0,4.4,6.92,3.43,-19.8,80.20,24.7,147.0,5.89,3.89,10.4,8.3,1.8,5.12,4.16,4.93,1.93,1.55,80.97,88.08,19.71,107.79,-7.2,107.79,9,18,0.45,0.89,0.04,275,7.5,30
游族转债,128074,,游族网络,002174,通信互联网,115.2,0.04,-1.75,16.67,-2.91,32,2.4,17.06,2.79,-2.3,97.71,17.9,126.0,5.84,3.84,7.8,7.6,11.5,0.76,0.16,0.64,-2.59,-2.77,85.54,90.95,23.55,114.50,0.6,114.50,16,17,0.59,0.07,1.10,200,5.0,22
